SPECIES,longitude,latitude
Sorbus sitchensis,-122.646399,49.108797
Sorbus sitchensis,-117.976144,51.276487
Sorbus sitchensis,-120.860939,49.226939
Sorbus sitchensis,-125.570137,49.487231
Sorbus sitchensis,-120.855789,49.114951
Sorbus sitchensis,-123.99115,48.49598
Sorbus sitchensis,-126.893013,52.289608
Sorbus sitchensis,-119.293928,49.708799
Sorbus sitchensis,-122.468543,50.427859
Sorbus sitchensis,-121.70415,49.353657
Sorbus sitchensis,-125.379793,49.697165
Sorbus sitchensis,-120.111214,50.748817
Sorbus sitchensis,-124.351438,48.645713
Sorbus sitchensis,-125.220358,49.652203
Sorbus sitchensis,-123.59,49.572778
Sorbus sitchensis,-122.943106,49.752959
Sorbus sitchensis,-115.190995,49.494492
Sorbus sitchensis,-125.565397,49.577958
Sorbus sitchensis,-124.589954,49.266438
Sorbus sitchensis,-122.964386,50.018383
Sorbus sitchensis,-125.834366,52.287266
Sorbus sitchensis,-125.573928,49.673089
Sorbus sitchensis,-117.730011,49.789368
Sorbus sitchensis,-117.039812,49.06173
Sorbus sitchensis,-120.181213,53.993009
Sorbus sitchensis,-123.141614,49.705369
Sorbus sitchensis,-123.514984,54.720524
Sorbus sitchensis,-122.496947,49.324147
Sorbus sitchensis,-119.731438,49.691017
Sorbus sitchensis,-122.702286,49.354297
Sorbus sitchensis,-123.247542,50.198061
Sorbus sitchensis,-120.213913,52.184944
Sorbus sitchensis,-120.086151,51.622025
Sorbus sitchensis,-123.205078,49.39745
Sorbus sitchensis,-122.832108,49.389142
Sorbus sitchensis,-122.166049,50.169594
Sorbus sitchensis,-117.857492,49.170478
Sorbus sitchensis,-124.82604,49.249346
Sorbus sitchensis,-117.143628,49.938858
Sorbus sitchensis,-128.125075,51.684715
Sorbus sitchensis,-121.11699,49.600023
Sorbus sitchensis,-123.262606,49.992389
Sorbus sitchensis,-123.1185,50.039836
Sorbus sitchensis,-122.600106,49.197394
Sorbus sitchensis,-117.334436,50.900358
Sorbus sitchensis,-117.581306,49.471089
Sorbus sitchensis,-123.025055,49.350647
Sorbus sitchensis,-117.943795,49.257
Sorbus sitchensis,-128.779398,55.827495
Sorbus sitchensis,-121.080299,50.778813
Sorbus sitchensis,-125.869042,49.860735
Sorbus sitchensis,-115.470475,49.89087
Sorbus sitchensis,-121.067997,49.217864
Sorbus sitchensis,-126.303614,50.163184
Sorbus sitchensis,-127.72795,52.451706
Sorbus sitchensis,-123.057872,49.945532
Sorbus sitchensis,-121.917,49.083
Sorbus sitchensis,-128.008932,51.479145
Sorbus sitchensis,-123.800392,48.560063
Sorbus sitchensis,-123.12458,50.139882
Sorbus sitchensis,-124.595937,48.659459
Sorbus sitchensis,-125.4,55.6
Sorbus sitchensis,-125,49.2
Sorbus sitchensis,-120.5,49.5
Sorbus sitchensis,-127.016361,54.382333
Sorbus sitchensis,-128.565,55.084722
Sorbus sitchensis,-128.7125,54.890833
Sorbus sitchensis,-129.458056,56.555
Sorbus sitchensis,-124.338333,49.04
Sorbus sitchensis,-126.316667,49.833333
Sorbus sitchensis,-126.056667,49.561667
Sorbus sitchensis,-126.6,49.85
Sorbus sitchensis,-125.966667,49.766667
Sorbus sitchensis,-124.133333,48.583333
Sorbus sitchensis,-130.916667,54.516667
Sorbus sitchensis,-121.341667,49.091667
Sorbus sitchensis,-117.12,49.433333
Sorbus sitchensis,-137.8,59.483333
Sorbus sitchensis,-137.783333,59.633333
Sorbus sitchensis,-130.366667,53.916667
Sorbus sitchensis,-124.082222,49.292778
Sorbus sitchensis,-118.2,50.983333
Sorbus sitchensis,-127.733333,59.655
Sorbus sitchensis,-130.766667,56.916667
Sorbus sitchensis,-129.85,57.766667
Sorbus sitchensis,-128.466667,54.516667
Sorbus sitchensis,-132.483333,53.183333
Sorbus sitchensis,-119.25,49.166667
Sorbus sitchensis,-122.583333,55.366667
Sorbus sitchensis,-125.433333,49.230556
Sorbus sitchensis,-124.95,51.133333
Sorbus sitchensis,-124.466667,48.95
Sorbus sitchensis,-121.883333,49.266667
Sorbus sitchensis,-127.85,53.216667
Sorbus sitchensis,-125.275,49.186667
Sorbus sitchensis,-117.716667,49.416667
Sorbus sitchensis,-121.354287,49.249882
Sorbus sitchensis,-120.175938,52.06557
Sorbus sitchensis,-125.906618,49.152984
Sorbus sitchensis,-138.018158,60.029031
Sorbus sitchensis,-121.584011,53.845863
Sorbus sitchensis,-123.65,56.0167
Sorbus sitchensis,-127.583,55.1167
Sorbus sitchensis,-126.4013634,57.86644558
Sorbus sitchensis,-126.75,52.3833
Sorbus sitchensis,-126.8013574,57.43303395
Sorbus sitchensis,-132.05,52.916667
Sorbus sitchensis,-113.966667,49.033333
