SPECIES,longitude,latitude
Vaccinium angustifolium,-78.355484,44.576562
Vaccinium angustifolium,-59.999279,45.888363
Vaccinium angustifolium,-70.315422,48.299495
Vaccinium angustifolium,-80.255587,48.546603
Vaccinium angustifolium,-85.845583,49.116117
Vaccinium angustifolium,-64.791038,46.041908
Vaccinium angustifolium,-81.637659,45.264781
Vaccinium angustifolium,-81.781036,45.288452
Vaccinium angustifolium,-75.509301,45.390717
Vaccinium angustifolium,-70.782051,47.668503
Vaccinium angustifolium,-65.080326,44.939033
Vaccinium angustifolium,-69.864883,48.198922
Vaccinium angustifolium,-63.55922,44.740475
Vaccinium angustifolium,-62.773972,46.297353
Vaccinium angustifolium,-60.427547,45.971408
Vaccinium angustifolium,-66.338608,50.230338
Vaccinium angustifolium,-53.837219,47.998361
Vaccinium angustifolium,-64.958062,47.559999
Vaccinium angustifolium,-64.192694,46.921073
Vaccinium angustifolium,-79.969825,45.156611
Vaccinium angustifolium,-54.091156,49.71358
Vaccinium angustifolium,-60.375873,46.133238
Vaccinium angustifolium,-79.117632,45.071753
Vaccinium angustifolium,-95.254014,50.463314
Vaccinium angustifolium,-65.567617,47.55927
Vaccinium angustifolium,-71.052287,48.394444
Vaccinium angustifolium,-65.689401,47.612328
Vaccinium angustifolium,-80.31,45.389444
Vaccinium angustifolium,-60.676582,45.938583
Vaccinium angustifolium,-55.653778,48.963525
Vaccinium angustifolium,-63.44393,44.5946
Vaccinium angustifolium,-79.865797,45.036295
Vaccinium angustifolium,-64.755194,44.489134
Vaccinium angustifolium,-71.358718,46.888131
Vaccinium angustifolium,-64.64264,46.424648
Vaccinium angustifolium,-65.51217,47.426593
Vaccinium angustifolium,-66.543595,48.070984
Vaccinium angustifolium,-80.210542,45.287881
Vaccinium angustifolium,-64.883012,47.759862
Vaccinium angustifolium,-64.830569,44.897961
Vaccinium angustifolium,-52.788183,47.451309
Vaccinium angustifolium,-69.793139,47.748935
Vaccinium angustifolium,-63.15899,44.814438
Vaccinium angustifolium,-59.821324,46.180824
Vaccinium angustifolium,-64.76265,48.233398
Vaccinium angustifolium,-66.241775,45.624083
Vaccinium angustifolium,-68.530147,48.25002
Vaccinium angustifolium,-96.147253,50.234986
Vaccinium angustifolium,-95.515263,50.013384
Vaccinium angustifolium,-61.342208,46.17735
Vaccinium angustifolium,-62.033997,45.634353
Vaccinium angustifolium,-67.088539,52.790608
Vaccinium angustifolium,-69.977263,51.000156
Vaccinium angustifolium,-78.729737,45.633505
Vaccinium angustifolium,-71.367727,47.174089
Vaccinium angustifolium,-60.828184,46.743918
Vaccinium angustifolium,-60.340634,46.683266
Vaccinium angustifolium,-53.95345,48.572873
Vaccinium angustifolium,-62.843847,44.750138
Vaccinium angustifolium,-61.454312,47.605178
Vaccinium angustifolium,-60.214625,45.903995
Vaccinium angustifolium,-64.343814,44.559178
Vaccinium angustifolium,-61.957138,45.21125
Vaccinium angustifolium,-53.360875,47.910258
Vaccinium angustifolium,-76.801262,44.60594
Vaccinium angustifolium,-64.100046,45.538229
Vaccinium angustifolium,-84.802183,47.519046
Vaccinium angustifolium,-63.885472,46.62375
Vaccinium angustifolium,-63.792863,44.735996
Vaccinium angustifolium,-60.649288,46.558942
Vaccinium angustifolium,-63.524242,44.501922
Vaccinium angustifolium,-64.863593,47.419931
Vaccinium angustifolium,-84.591812,46.541953
Vaccinium angustifolium,-81.547453,46.000633
Vaccinium angustifolium,-64.724588,44.716657
Vaccinium angustifolium,-66.774102,44.767148
Vaccinium angustifolium,-66.480658,45.648438
Vaccinium angustifolium,-65.493889,44.279722
Vaccinium angustifolium,-71.490348,46.850686
Vaccinium angustifolium,-65.602254,43.537836
Vaccinium angustifolium,-60.542017,46.284991
Vaccinium angustifolium,-68.589505,48.436653
Vaccinium angustifolium,-72.74053,46.368279
Vaccinium angustifolium,-75.824116,45.569591
Vaccinium angustifolium,-73.069939,48.987024
Vaccinium angustifolium,-82.073568,46.221473
Vaccinium angustifolium,-72.507375,46.396575
Vaccinium angustifolium,-91.156327,48.655352
Vaccinium angustifolium,-82.867394,47.534825
Vaccinium angustifolium,-80.585188,46.040839
Vaccinium angustifolium,-78.547117,45.228645
Vaccinium angustifolium,-79.485405,46.308382
Vaccinium angustifolium,-70.842473,48.587944
Vaccinium angustifolium,-93.47864,49.897673
Vaccinium angustifolium,-52.844202,47.213822
Vaccinium angustifolium,-63.789742,44.483233
Vaccinium angustifolium,-73.195234,46.413658
Vaccinium angustifolium,-60.050625,46.039678
Vaccinium angustifolium,-83.947701,46.336987
Vaccinium angustifolium,-76.098183,45.49715
Vaccinium angustifolium,-63.484283,46.409997
Vaccinium angustifolium,-78.898972,45.720767
Vaccinium angustifolium,-79.918549,46.089907
Vaccinium angustifolium,-78.017519,45.3207
Vaccinium angustifolium,-64.255666,45.832329
Vaccinium angustifolium,-54.279675,49.692933
Vaccinium angustifolium,-75.906547,44.384378
