SPECIES,longitude,latitude
Vaccinium cespitosum,-125.643442,52.360143
Vaccinium cespitosum,-116.316658,53.946933
Vaccinium cespitosum,-89.284571,48.343734
Vaccinium cespitosum,-117.792474,49.075482
Vaccinium cespitosum,-119.046708,49.044383
Vaccinium cespitosum,-100.298524,51.857269
Vaccinium cespitosum,-118.227387,53.478163
Vaccinium cespitosum,-120.932739,49.033478
Vaccinium cespitosum,-122.943106,49.752959
Vaccinium cespitosum,-123.640152,52.916679
Vaccinium cespitosum,-124.194193,48.546897
Vaccinium cespitosum,-121.595609,49.149171
Vaccinium cespitosum,-118.538353,52.854447
Vaccinium cespitosum,-123.219161,49.392294
Vaccinium cespitosum,-68.113329,51.639514
Vaccinium cespitosum,-68.124287,51.487418
Vaccinium cespitosum,-58.49406,48.794122
Vaccinium cespitosum,-125.782211,52.267994
Vaccinium cespitosum,-124.424802,55.047413
Vaccinium cespitosum,-115.269789,52.414903
Vaccinium cespitosum,-124.76918,53.827617
Vaccinium cespitosum,-70.765152,47.721349
Vaccinium cespitosum,-109.498126,49.654208
Vaccinium cespitosum,-119.26403,49.07025
Vaccinium cespitosum,-113.510308,55.568787
Vaccinium cespitosum,-113.809792,54.6469
Vaccinium cespitosum,-121.955445,53.914403
Vaccinium cespitosum,-121.577828,53.767978
Vaccinium cespitosum,-132.056432,53.64024
Vaccinium cespitosum,-118.816186,49.884891
Vaccinium cespitosum,-123.717382,48.436921
Vaccinium cespitosum,-125.195961,49.735588
Vaccinium cespitosum,-116.510971,50.290077
Vaccinium cespitosum,-119.099781,49.181529
Vaccinium cespitosum,-120.796944,49.173054
Vaccinium cespitosum,-123.319661,50.958889
Vaccinium cespitosum,-118.483316,50.049969
Vaccinium cespitosum,-117.956542,49.248775
Vaccinium cespitosum,-120.663889,51.493889
Vaccinium cespitosum,-125.326876,49.69829
Vaccinium cespitosum,-123.119222,51.024092
Vaccinium cespitosum,-136.598913,59.700934
Vaccinium cespitosum,-123.1594,51.169607
Vaccinium cespitosum,-117.729923,49.572978
Vaccinium cespitosum,-132.080217,53.870816
Vaccinium cespitosum,-129.423112,57.7985
Vaccinium cespitosum,-119.37365,52.929825
Vaccinium cespitosum,-121.643831,55.711061
Vaccinium cespitosum,-65.11806,45.562256
Vaccinium cespitosum,-120.464517,50.487838
Vaccinium cespitosum,-137.086909,60.521729
Vaccinium cespitosum,-118.921667,53.641944
Vaccinium cespitosum,-121.440262,51.490758
Vaccinium cespitosum,-122.648644,54.134971
Vaccinium cespitosum,-64.331497,50.289483
Vaccinium cespitosum,-128.141534,51.650206
Vaccinium cespitosum,-120.759665,49.059847
Vaccinium cespitosum,-122.913003,53.91567
Vaccinium cespitosum,-126.927283,54.762556
Vaccinium cespitosum,-119.183428,52.855508
Vaccinium cespitosum,-117.833333,51.5
Vaccinium cespitosum,-123.055055,49.943812
Vaccinium cespitosum,-64.978106,45.647648
Vaccinium cespitosum,-126.932119,54.859978
Vaccinium cespitosum,-119.275948,55.169251
Vaccinium cespitosum,-127.1064,54.773495
Vaccinium cespitosum,-85.766809,48.640924
Vaccinium cespitosum,-121.6,52.6
Vaccinium cespitosum,-124.7,49.25
Vaccinium cespitosum,-126.85,56.2
Vaccinium cespitosum,-130.32,54.32
Vaccinium cespitosum,-122.1,54
Vaccinium cespitosum,-130.1,54.3
Vaccinium cespitosum,-128,57
Vaccinium cespitosum,-127,54
Vaccinium cespitosum,-122.44697,53.07974
Vaccinium cespitosum,-114.4,50.3
Vaccinium cespitosum,-132.72,60.17
Vaccinium cespitosum,-125.3,54.2
Vaccinium cespitosum,-124.53,55.18
Vaccinium cespitosum,-133.64,59.5
Vaccinium cespitosum,-122.6,54.68
Vaccinium cespitosum,-126.01,54.78
Vaccinium cespitosum,-119.5,50.5
Vaccinium cespitosum,-119.5,49.3
