SPECIES,longitude,latitude
Vaccinium corymbosum,-64.874132,44.437048
Vaccinium corymbosum,-80.956773,43.480518
Vaccinium corymbosum,-64.368183,45.087459
Vaccinium corymbosum,-64.910103,44.077631
Vaccinium corymbosum,-63.48607,44.62755
Vaccinium corymbosum,-64.25,44.383364
Vaccinium corymbosum,-60.303016,46.149272
Vaccinium corymbosum,-73.356808,45.562125
Vaccinium corymbosum,-80.579077,42.702368
Vaccinium corymbosum,-66.032717,44.320244
Vaccinium corymbosum,-71.053948,46.77882
Vaccinium corymbosum,-123.253387,49.263478
Vaccinium corymbosum,-65.881389,43.912222
Vaccinium corymbosum,-63.298803,44.748277
Vaccinium corymbosum,-71.309598,46.688563
Vaccinium corymbosum,-122.99755,49.1343
Vaccinium corymbosum,-63.684227,44.825862
Vaccinium corymbosum,-79.502799,42.960662
Vaccinium corymbosum,-75.726856,45.321539
Vaccinium corymbosum,-64.984423,44.956322
Vaccinium corymbosum,-80.639711,43.183708
Vaccinium corymbosum,-75.515845,45.41409
Vaccinium corymbosum,-81.324192,42.971782
Vaccinium corymbosum,-122.710738,49.255987
Vaccinium corymbosum,-73.909972,45.696778
Vaccinium corymbosum,-80.480819,43.359017
Vaccinium corymbosum,-71.894692,45.246015
Vaccinium corymbosum,-122.895,49.2175
Vaccinium corymbosum,-79.2875,45.225556
Vaccinium corymbosum,-72.980914,45.252632
Vaccinium corymbosum,-63.146019,44.768185
Vaccinium corymbosum,-119.39442,50.882722
Vaccinium corymbosum,-81.70555,43.526064
Vaccinium corymbosum,-65.964722,45.402222
Vaccinium corymbosum,-72.508464,45.341237
Vaccinium corymbosum,-72.846744,45.342264
Vaccinium corymbosum,-76.764564,44.760544
Vaccinium corymbosum,-80.07406,43.404445
Vaccinium corymbosum,-79.126971,43.017023
Vaccinium corymbosum,-122.488617,49.157764
Vaccinium corymbosum,-77.327814,45.899748
Vaccinium corymbosum,-78.205977,44.618807
Vaccinium corymbosum,-63.666936,44.687158
Vaccinium corymbosum,-74.459915,45.556695
Vaccinium corymbosum,-75.296389,45.383056
Vaccinium corymbosum,-74.86263,45.49047
Vaccinium corymbosum,-71.35574,47.21165
Vaccinium corymbosum,-72.506283,45.890864
Vaccinium corymbosum,-80.375133,43.545212
Vaccinium corymbosum,-79.551456,43.093843
Vaccinium corymbosum,-74.22632,45.126768
Vaccinium corymbosum,-75.187222,45.571667
Vaccinium corymbosum,-71.310153,46.834656
Vaccinium corymbosum,-80.339305,42.701513
Vaccinium corymbosum,-74.963516,45.138941
Vaccinium corymbosum,-75.884087,45.118042
Vaccinium corymbosum,-65.772969,43.800622
Vaccinium corymbosum,-65.204583,44.334104
Vaccinium corymbosum,-72.172211,45.281572
Vaccinium corymbosum,-81.793128,42.658842
Vaccinium corymbosum,-79.662555,43.007178
Vaccinium corymbosum,-75.532764,45.250576
Vaccinium corymbosum,-74.691234,45.27386
Vaccinium corymbosum,-75.243186,45.152052
Vaccinium corymbosum,-79.279362,42.927475
Vaccinium corymbosum,-79.859167,48.381389
Vaccinium corymbosum,-123.133333,49.15
Vaccinium corymbosum,-122.35,49.006944
Vaccinium corymbosum,-73.216667,45.966667
Vaccinium corymbosum,-80.983982,42.771891
Vaccinium corymbosum,-76.581848,44.499011
Vaccinium corymbosum,-80.052401,43.230071
Vaccinium corymbosum,-65.862153,44.241191
Vaccinium corymbosum,-65.761414,44.614912
Vaccinium corymbosum,-65.888786,44.07719
Vaccinium corymbosum,-65.719,43.5054
Vaccinium corymbosum,-65.459504,43.806932
Vaccinium corymbosum,-65.980239,44.192626
Vaccinium corymbosum,-76.20668,44.53283
Vaccinium corymbosum,-76.4167,44.5
Vaccinium corymbosum,-76.05,44.3667
Vaccinium corymbosum,-79.75,43.75
Vaccinium corymbosum,-75.7,45.4167
Vaccinium corymbosum,-79.872501,43.035865
Vaccinium corymbosum,-80.285805,43.336821
Vaccinium corymbosum,-80.397998,43.284674
Vaccinium corymbosum,-81.19549,42.895678
Vaccinium corymbosum,-71.821747,46.376307
Vaccinium corymbosum,-77.778917,48.094028
Vaccinium corymbosum,-71.533333,46.466667
Vaccinium corymbosum,-71.590278,46.583333
Vaccinium corymbosum,-73.4814,45.5292
Vaccinium corymbosum,-73.8935,45.4027
Vaccinium corymbosum,-73.074107,45.028079
Vaccinium corymbosum,-71.5,46
Vaccinium corymbosum,-73.2479,45.0634
Vaccinium corymbosum,-73.743056,45.700833
Vaccinium corymbosum,-64.9849,44.33412
Vaccinium corymbosum,-66.02987,43.846617
Vaccinium corymbosum,-66.161673,44.188354
Vaccinium corymbosum,-66.142302,43.997917
Vaccinium corymbosum,-63.54654,44.5371
Vaccinium corymbosum,-65.99649,43.95778
Vaccinium corymbosum,-66.02781,44.0956
Vaccinium corymbosum,-73.00806,45.52783
Vaccinium corymbosum,-73.899047,45.122542
Vaccinium corymbosum,-65.257353,44.242715
Vaccinium corymbosum,-65.3325,43.766667
Vaccinium corymbosum,-65.666081,43.607512
Vaccinium corymbosum,-73.762203,45.101434
Vaccinium corymbosum,-64.902778,43.973889
