SPECIES,longitude,latitude
Vaccinium deliciosum,-120.761085,49.100656
Vaccinium deliciosum,-123.175833,49.377228
Vaccinium deliciosum,-123.13548,49.852945
Vaccinium deliciosum,-123.515081,50.512681
Vaccinium deliciosum,-122.688819,49.342717
Vaccinium deliciosum,-121.42,49.17
Vaccinium deliciosum,-121.708,49.083
Vaccinium deliciosum,-122.9,49.4
Vaccinium deliciosum,-123,49
Vaccinium deliciosum,-121.44,49.38
Vaccinium deliciosum,-122.8,50
Vaccinium deliciosum,-122.3,49.4
Vaccinium deliciosum,-132.27,53.21
Vaccinium deliciosum,-123.2,49.5
Vaccinium deliciosum,-121.2,49.5
Vaccinium deliciosum,-126.7,54.57
Vaccinium deliciosum,-125,51
Vaccinium deliciosum,-121.291667,49.05
Vaccinium deliciosum,-127.133333,52.933333
Vaccinium deliciosum,-127.733333,50.145
Vaccinium deliciosum,-127.2,50.233333
Vaccinium deliciosum,-121.143333,49.066667
Vaccinium deliciosum,-125.553333,49.461667
Vaccinium deliciosum,-125.45,49.227778
Vaccinium deliciosum,-125.666667,49.666667
Vaccinium deliciosum,-125.3,49.733333
