SPECIES,longitude,latitude
Vaccinium macrocarpon,-65.129482,43.660635
Vaccinium macrocarpon,-63.910135,44.914802
Vaccinium macrocarpon,-65.56447,43.492807
Vaccinium macrocarpon,-64.882263,47.759788
Vaccinium macrocarpon,-63.257198,44.728432
Vaccinium macrocarpon,-62.419988,45.137625
Vaccinium macrocarpon,-65.284178,46.465162
Vaccinium macrocarpon,-65.809561,44.546147
Vaccinium macrocarpon,-59.82486,46.18154
Vaccinium macrocarpon,-65.144038,44.690041
Vaccinium macrocarpon,-63.52273,44.507872
Vaccinium macrocarpon,-63.452555,44.590712
Vaccinium macrocarpon,-60.166095,46.150057
Vaccinium macrocarpon,-61.612211,45.213199
Vaccinium macrocarpon,-65.327727,43.764977
Vaccinium macrocarpon,-76.207003,45.627114
Vaccinium macrocarpon,-64.563847,44.429324
Vaccinium macrocarpon,-61.332983,45.754928
Vaccinium macrocarpon,-62.454027,46.014519
Vaccinium macrocarpon,-52.749785,47.410892
Vaccinium macrocarpon,-65.969297,43.899121
Vaccinium macrocarpon,-64.727803,44.374558
Vaccinium macrocarpon,-60.629525,46.156772
Vaccinium macrocarpon,-84.697246,47.684086
Vaccinium macrocarpon,-84.784683,47.46353
Vaccinium macrocarpon,-66.183435,44.164619
Vaccinium macrocarpon,-65.29255,44.412495
Vaccinium macrocarpon,-58.757438,48.252292
Vaccinium macrocarpon,-65.058822,44.138992
Vaccinium macrocarpon,-74.176423,45.392654
Vaccinium macrocarpon,-62.887812,44.716317
Vaccinium macrocarpon,-63.63258,44.623888
Vaccinium macrocarpon,-65.565648,44.067372
Vaccinium macrocarpon,-84.897755,47.586075
Vaccinium macrocarpon,-63.89319,46.622035
Vaccinium macrocarpon,-62.983747,45.438349
Vaccinium macrocarpon,-64.629658,46.298193
Vaccinium macrocarpon,-60.717964,46.890167
Vaccinium macrocarpon,-61.957042,45.211358
Vaccinium macrocarpon,-65.51847,43.57975
Vaccinium macrocarpon,-66.802406,45.041495
Vaccinium macrocarpon,-62.336698,45.313679
Vaccinium macrocarpon,-66.43765,45.24436
Vaccinium macrocarpon,-61.277553,46.159347
Vaccinium macrocarpon,-55.064917,49.27125
Vaccinium macrocarpon,-122.997414,49.133928
Vaccinium macrocarpon,-84.585902,47.297307
Vaccinium macrocarpon,-78.028161,45.094292
Vaccinium macrocarpon,-76.029394,45.769589
Vaccinium macrocarpon,-65.126337,46.263037
Vaccinium macrocarpon,-64.788801,47.824483
Vaccinium macrocarpon,-72.511093,46.401857
Vaccinium macrocarpon,-64.764283,47.676712
Vaccinium macrocarpon,-64.182609,46.62789
Vaccinium macrocarpon,-72.602227,46.597151
Vaccinium macrocarpon,-63.015156,44.777905
Vaccinium macrocarpon,-66.178487,44.408183
Vaccinium macrocarpon,-62.628667,45.62563
Vaccinium macrocarpon,-62.520878,45.367345
Vaccinium macrocarpon,-63.13041,46.301758
Vaccinium macrocarpon,-63.394278,44.670867
Vaccinium macrocarpon,-81.32275,42.970785
Vaccinium macrocarpon,-60.401865,46.646095
Vaccinium macrocarpon,-52.828403,47.23407
Vaccinium macrocarpon,-64.746667,45.041111
Vaccinium macrocarpon,-65.992758,45.374832
Vaccinium macrocarpon,-80.012049,45.250873
Vaccinium macrocarpon,-76.368133,45.776645
Vaccinium macrocarpon,-52.923546,47.316183
Vaccinium macrocarpon,-61.480962,46.079414
Vaccinium macrocarpon,-75.517917,45.406762
Vaccinium macrocarpon,-75.957756,45.397176
Vaccinium macrocarpon,-76.363624,45.615129
Vaccinium macrocarpon,-78.952137,45.017651
Vaccinium macrocarpon,-70.98305,46.590376
Vaccinium macrocarpon,-64.930539,45.343744
Vaccinium macrocarpon,-53.148364,46.638623
Vaccinium macrocarpon,-63.84399,45.927912
Vaccinium macrocarpon,-52.666798,47.62992
Vaccinium macrocarpon,-60.110955,45.822047
Vaccinium macrocarpon,-62.769975,45.735625
Vaccinium macrocarpon,-72.669487,45.536109
Vaccinium macrocarpon,-62.161505,45.70155
Vaccinium macrocarpon,-92.250785,48.357982
Vaccinium macrocarpon,-60.99382,45.330955
Vaccinium macrocarpon,-64.700218,46.47289
Vaccinium macrocarpon,-61.822525,45.065608
Vaccinium macrocarpon,-79.835731,44.886488
Vaccinium macrocarpon,-72.274431,48.729358
Vaccinium macrocarpon,-59.972119,46.080208
Vaccinium macrocarpon,-64.209703,44.559105
Vaccinium macrocarpon,-64.433679,45.315042
Vaccinium macrocarpon,-66.653887,45.082514
Vaccinium macrocarpon,-66.025088,43.717216
Vaccinium macrocarpon,-64.872847,44.438042
Vaccinium macrocarpon,-122.947069,49.365225
Vaccinium macrocarpon,-123.139062,49.16369
Vaccinium macrocarpon,-53.165694,47.480223
Vaccinium macrocarpon,-61.980873,47.265451
Vaccinium macrocarpon,-62.200928,44.89086
Vaccinium macrocarpon,-64.330059,48.895816
Vaccinium macrocarpon,-63.631131,45.873428
Vaccinium macrocarpon,-66.306114,45.178208
