SPECIES,longitude,latitude
Vaccinium membranaceum,-119.268953,50.457588
Vaccinium membranaceum,-121.797356,49.111303
Vaccinium membranaceum,-129.307419,56.083758
Vaccinium membranaceum,-128.565126,54.144288
Vaccinium membranaceum,-121.164306,53.051146
Vaccinium membranaceum,-116.317542,53.946495
Vaccinium membranaceum,-126.466433,53.342329
Vaccinium membranaceum,-116.413431,51.64713
Vaccinium membranaceum,-117.691386,49.428246
Vaccinium membranaceum,-117.82335,52.568569
Vaccinium membranaceum,-121.140743,49.596627
Vaccinium membranaceum,-125.394112,49.68978
Vaccinium membranaceum,-116.598207,50.363083
Vaccinium membranaceum,-122.65799,50.560181
Vaccinium membranaceum,-120.959075,49.098747
Vaccinium membranaceum,-115.979269,49.697178
Vaccinium membranaceum,-119.099044,49.182159
Vaccinium membranaceum,-117.803322,49.089997
Vaccinium membranaceum,-127.198594,54.746164
Vaccinium membranaceum,-122.279344,56.160672
Vaccinium membranaceum,-113.837578,49.008858
Vaccinium membranaceum,-122.995605,50.538197
Vaccinium membranaceum,-120.759339,49.133581
Vaccinium membranaceum,-120.835555,49.054153
Vaccinium membranaceum,-118.247428,53.489987
Vaccinium membranaceum,-115.933625,50.673742
Vaccinium membranaceum,-115.148689,50.593808
Vaccinium membranaceum,-122.473223,50.430333
Vaccinium membranaceum,-125.521537,49.553929
Vaccinium membranaceum,-121.007806,49.435008
Vaccinium membranaceum,-122.477575,50.554056
Vaccinium membranaceum,-120.767222,51.495
Vaccinium membranaceum,-124.351438,48.645713
Vaccinium membranaceum,-117.042419,49.059578
Vaccinium membranaceum,-122.563837,55.496012
Vaccinium membranaceum,-118.804743,52.935346
Vaccinium membranaceum,-121.018669,49.539288
Vaccinium membranaceum,-125.173539,49.658933
Vaccinium membranaceum,-125.106503,49.571849
Vaccinium membranaceum,-115.18885,49.499278
Vaccinium membranaceum,-115.390388,49.632587
Vaccinium membranaceum,-120.188624,51.959484
Vaccinium membranaceum,-125.355979,49.162717
Vaccinium membranaceum,-118.483305,49.93082
Vaccinium membranaceum,-124.600768,49.237878
Vaccinium membranaceum,-122.261669,55.819371
Vaccinium membranaceum,-123.076989,49.385897
Vaccinium membranaceum,-116.133249,51.109075
Vaccinium membranaceum,-117.457418,51.253422
Vaccinium membranaceum,-117.157821,49.458405
Vaccinium membranaceum,-125.791939,52.274933
Vaccinium membranaceum,-120.587503,51.864517
Vaccinium membranaceum,-119.325531,51.916748
Vaccinium membranaceum,-117.734305,49.804558
Vaccinium membranaceum,-118.08953,50.833867
Vaccinium membranaceum,-122.07641,50.186375
Vaccinium membranaceum,-119.294045,52.114495
Vaccinium membranaceum,-119.214012,53.053397
Vaccinium membranaceum,-119.876633,50.883803
Vaccinium membranaceum,-117.329675,50.0839
Vaccinium membranaceum,-117.350212,49.993153
Vaccinium membranaceum,-115.911985,54.751565
Vaccinium membranaceum,-121.06668,49.217085
Vaccinium membranaceum,-122.817154,50.294399
Vaccinium membranaceum,-123.060067,50.1529
Vaccinium membranaceum,-128.367168,54.869771
Vaccinium membranaceum,-126.947694,54.858236
Vaccinium membranaceum,-122.356577,52.878908
Vaccinium membranaceum,-126.889984,52.284756
Vaccinium membranaceum,-120.1931,53.988194
Vaccinium membranaceum,-121.213745,53.759651
Vaccinium membranaceum,-123.017594,49.768281
Vaccinium membranaceum,-123.601355,49.5183
Vaccinium membranaceum,-123.217736,49.519622
Vaccinium membranaceum,-120.189369,52.160366
Vaccinium membranaceum,-119.938103,51.759239
Vaccinium membranaceum,-115.446177,49.851997
Vaccinium membranaceum,-122.832017,49.385914
Vaccinium membranaceum,-121.168953,54.714622
Vaccinium membranaceum,-117.764693,53.128742
Vaccinium membranaceum,-119.101538,50.360325
Vaccinium membranaceum,-121.164466,54.570923
Vaccinium membranaceum,-122.441833,53.077267
Vaccinium membranaceum,-128.765832,54.590123
Vaccinium membranaceum,-121.566803,53.76479
Vaccinium membranaceum,-125.575189,49.673928
Vaccinium membranaceum,-114.144175,49.147308
Vaccinium membranaceum,-122.696136,49.360144
Vaccinium membranaceum,-122.980133,50.011883
Vaccinium membranaceum,-121.072158,49.045386
Vaccinium membranaceum,-116.06375,51.261078
Vaccinium membranaceum,-118.938888,49.71978
Vaccinium membranaceum,-122.845258,50.169128
Vaccinium membranaceum,-122.811372,53.932575
Vaccinium membranaceum,-123.533158,50.483742
Vaccinium membranaceum,-123.11863,50.044945
Vaccinium membranaceum,-123.462898,50.5761
Vaccinium membranaceum,-114.423575,49.3145
Vaccinium membranaceum,-123.2557,49.986547
Vaccinium membranaceum,-115.839233,51.263181
Vaccinium membranaceum,-123.322149,53.855421
Vaccinium membranaceum,-121.985121,50.359821
Vaccinium membranaceum,-123.207403,49.417561
Vaccinium membranaceum,-123.089281,49.949981
Vaccinium membranaceum,-117.334436,50.900358
Vaccinium membranaceum,-123.40961,54.646669
Vaccinium membranaceum,-125.871537,49.854825
Vaccinium membranaceum,-117.950583,49.250308
Vaccinium membranaceum,-116.583333,51.466667
Vaccinium membranaceum,-121.390162,55.279425
Vaccinium membranaceum,-121.959464,53.911653
Vaccinium membranaceum,-117.198013,51.507234
Vaccinium membranaceum,-116.852133,49.71095
Vaccinium membranaceum,-119.245293,52.883656
Vaccinium membranaceum,-123.164882,54.054232
Vaccinium membranaceum,-120.405067,51.487953
Vaccinium membranaceum,-126.684369,54.31968
Vaccinium membranaceum,-126.593313,54.488822
Vaccinium membranaceum,-130.135444,57.372167
Vaccinium membranaceum,-125.370306,54.895639
Vaccinium membranaceum,-126.61,57.802222
Vaccinium membranaceum,-114.883333,49.583333
Vaccinium membranaceum,-128.593333,56.804444
Vaccinium membranaceum,-127.786667,56.063056
Vaccinium membranaceum,-128.7125,54.890833
Vaccinium membranaceum,-128.565,55.084722
Vaccinium membranaceum,-129.472222,56.561389
Vaccinium membranaceum,-128.453611,54.511667
Vaccinium membranaceum,-124.343333,49.055278
Vaccinium membranaceum,-126.6075,50.609444
Vaccinium membranaceum,-124.166667,48.533333
Vaccinium membranaceum,-114.35,49.108333
Vaccinium membranaceum,-127.133333,52.95
Vaccinium membranaceum,-127.283333,50.333333
Vaccinium membranaceum,-127.216667,50.183333
Vaccinium membranaceum,-126.093333,52.76
Vaccinium membranaceum,-122.633333,55.333333
Vaccinium membranaceum,-128.2,54.966667
Vaccinium membranaceum,-125.033333,51.183333
Vaccinium membranaceum,-125.553333,49.461667
Vaccinium membranaceum,-123.137725,49.829108
Vaccinium membranaceum,-114.783333,55.15
Vaccinium membranaceum,-123.108803,49.676186
Vaccinium membranaceum,-124.12194,60.24194
Vaccinium membranaceum,-124.5965,60.2139
Vaccinium membranaceum,-121.648315,53.934182
Vaccinium membranaceum,-117.123871,49.607417
Vaccinium membranaceum,-114.05,49.066667
Vaccinium membranaceum,-118.05,52.683333
Vaccinium membranaceum,-114.7496,50.0018
Vaccinium membranaceum,-119.6008,54.5546
Vaccinium membranaceum,-119.934994,54.114281
Vaccinium membranaceum,-117,55.05
Vaccinium membranaceum,-117.733308,53.935625
Vaccinium membranaceum,-116.548611,54.0625
Vaccinium membranaceum,-117.566667,53.383333
