SPECIES,longitude,latitude
Vaccinium myrtilloides,-88.0136,49.013077
Vaccinium myrtilloides,-80.335175,44.264461
Vaccinium myrtilloides,-91.66195,51.24547
Vaccinium myrtilloides,-80.883547,48.57445
Vaccinium myrtilloides,-93.481613,49.899343
Vaccinium myrtilloides,-91.263388,50.243613
Vaccinium myrtilloides,-94.46154,49.885315
Vaccinium myrtilloides,-86.363483,52.615817
Vaccinium myrtilloides,-88.644722,48.517555
Vaccinium myrtilloides,-94.751846,49.708851
Vaccinium myrtilloides,-66.055969,45.30508
Vaccinium myrtilloides,-114.767097,55.281692
Vaccinium myrtilloides,-78.73828,51.487151
Vaccinium myrtilloides,-78.513071,51.399673
Vaccinium myrtilloides,-78.425116,51.312393
Vaccinium myrtilloides,-64.110719,46.605241
Vaccinium myrtilloides,-65.8385,47.1511
Vaccinium myrtilloides,-63.589333,44.885456
Vaccinium myrtilloides,-79.380432,45.030785
Vaccinium myrtilloides,-71.338923,46.792355
Vaccinium myrtilloides,-66.644981,45.919666
Vaccinium myrtilloides,-66.680556,47.989722
Vaccinium myrtilloides,-114.663898,53.709496
Vaccinium myrtilloides,-104.807833,54.190071
Vaccinium myrtilloides,-60.639225,46.163962
Vaccinium myrtilloides,-62.036758,45.772461
Vaccinium myrtilloides,-67.440624,45.40432
Vaccinium myrtilloides,-79.295941,45.232343
Vaccinium myrtilloides,-95.592942,50.104464
Vaccinium myrtilloides,-113.473203,54.199267
Vaccinium myrtilloides,-71.103806,48.62899
Vaccinium myrtilloides,-60.378408,53.432505
Vaccinium myrtilloides,-71.261269,46.556931
Vaccinium myrtilloides,-61.62129,45.213747
Vaccinium myrtilloides,-70.41803,47.83928
Vaccinium myrtilloides,-114.561343,54.408328
Vaccinium myrtilloides,-116.669964,54.817819
Vaccinium myrtilloides,-79.776293,47.059645
Vaccinium myrtilloides,-76.97094,45.2304
Vaccinium myrtilloides,-78.884752,46.28913
Vaccinium myrtilloides,-95.384083,50.670911
Vaccinium myrtilloides,-110.819437,57.133825
Vaccinium myrtilloides,-60.427636,45.965753
Vaccinium myrtilloides,-107.818487,58.592275
Vaccinium myrtilloides,-107.833943,58.118986
Vaccinium myrtilloides,-123.34548,54.83225
Vaccinium myrtilloides,-123.139427,55.296864
Vaccinium myrtilloides,-75.205315,46.299966
Vaccinium myrtilloides,-73.132624,46.377698
Vaccinium myrtilloides,-122.797502,53.91951
Vaccinium myrtilloides,-100.304875,51.860977
Vaccinium myrtilloides,-72.60054,46.59853
Vaccinium myrtilloides,-79.098686,46.716835
Vaccinium myrtilloides,-64.883151,44.742379
Vaccinium myrtilloides,-65.499404,47.429703
Vaccinium myrtilloides,-65.598673,44.557334
Vaccinium myrtilloides,-65.478774,45.724834
Vaccinium myrtilloides,-80.553053,43.939658
Vaccinium myrtilloides,-62.631042,46.110061
Vaccinium myrtilloides,-66.167192,45.915078
Vaccinium myrtilloides,-79.349633,45.540925
Vaccinium myrtilloides,-66.324081,45.595844
Vaccinium myrtilloides,-74.063309,46.282578
Vaccinium myrtilloides,-109.305647,54.456185
Vaccinium myrtilloides,-71.307072,46.947478
Vaccinium myrtilloides,-61.958072,45.355575
Vaccinium myrtilloides,-75.790654,45.516159
Vaccinium myrtilloides,-107.447154,55.123937
Vaccinium myrtilloides,-76.279999,46.099998
Vaccinium myrtilloides,-75.621831,45.486171
Vaccinium myrtilloides,-110.865143,57.573188
Vaccinium myrtilloides,-92.127137,50.001303
Vaccinium myrtilloides,-113.184105,53.350762
Vaccinium myrtilloides,-102.772884,54.997344
Vaccinium myrtilloides,-80.102997,45.742925
Vaccinium myrtilloides,-87.43158,48.854465
Vaccinium myrtilloides,-91.160885,48.65311
Vaccinium myrtilloides,-63.913822,44.62032
Vaccinium myrtilloides,-75.604863,45.312037
Vaccinium myrtilloides,-91.963905,51.124825
Vaccinium myrtilloides,-80.856308,46.503952
Vaccinium myrtilloides,-113.214017,55.185831
Vaccinium myrtilloides,-66.477699,45.758583
Vaccinium myrtilloides,-63.908605,46.444164
Vaccinium myrtilloides,-63.845306,44.822286
Vaccinium myrtilloides,-73.170356,45.542856
Vaccinium myrtilloides,-84.60018,47.198907
Vaccinium myrtilloides,-83.94772,46.336989
Vaccinium myrtilloides,-63.429731,45.414027
Vaccinium myrtilloides,-105.365975,55.266637
Vaccinium myrtilloides,-106.292416,53.593747
Vaccinium myrtilloides,-78.905,45.391564
Vaccinium myrtilloides,-79.91164,46.085269
Vaccinium myrtilloides,-73.703894,46.395929
Vaccinium myrtilloides,-75.947998,45.32793
Vaccinium myrtilloides,-79.202398,45.388673
Vaccinium myrtilloides,-65.267981,44.455227
Vaccinium myrtilloides,-75.821389,45.384167
Vaccinium myrtilloides,-76.22431,45.204538
Vaccinium myrtilloides,-71.46137,46.833725
Vaccinium myrtilloides,-62.317425,45.288345
Vaccinium myrtilloides,-64.0017,44.93612
Vaccinium myrtilloides,-77.864095,45.064985
Vaccinium myrtilloides,-70.758422,47.095596
Vaccinium myrtilloides,-78.012671,45.104972
Vaccinium myrtilloides,-75.383662,45.349929
Vaccinium myrtilloides,-59.905296,46.054214
Vaccinium myrtilloides,-66.238838,46.018439
Vaccinium myrtilloides,-91.174147,51.246508
Vaccinium myrtilloides,-60.404037,46.235165
Vaccinium myrtilloides,-63.496034,45.097362
Vaccinium myrtilloides,-72.19502,45.322087
Vaccinium myrtilloides,-79.214714,44.943874
Vaccinium myrtilloides,-73.677376,46.194553
Vaccinium myrtilloides,-64.800979,44.618986
Vaccinium myrtilloides,-84.512055,47.530563
Vaccinium myrtilloides,-79.728858,43.434645
Vaccinium myrtilloides,-103.948299,55.858115
Vaccinium myrtilloides,-65.369339,44.725094
Vaccinium myrtilloides,-70.909774,47.463631
Vaccinium myrtilloides,-81.642645,46.913458
Vaccinium myrtilloides,-79.117632,45.071753
Vaccinium myrtilloides,-120.03746,51.889091
Vaccinium myrtilloides,-65.775324,44.541394
Vaccinium myrtilloides,-123.408484,54.640805
Vaccinium myrtilloides,-67.029753,45.775088
Vaccinium myrtilloides,-119.129501,52.123085
Vaccinium myrtilloides,-123.152733,53.888462
Vaccinium myrtilloides,-89.249557,48.449629
Vaccinium myrtilloides,-95.17207,49.78374
Vaccinium myrtilloides,-79.865305,48.221905
Vaccinium myrtilloides,-67.237427,45.933231
Vaccinium myrtilloides,-119.239709,53.029951
Vaccinium myrtilloides,-74.358897,45.883115
Vaccinium myrtilloides,-90.219972,51.194185
Vaccinium myrtilloides,-78.978237,48.154811
Vaccinium myrtilloides,-77.52788,45.612278
Vaccinium myrtilloides,-84.916105,47.639895
Vaccinium myrtilloides,-114.41257,54.442393
Vaccinium myrtilloides,-86.293056,48.574879
Vaccinium myrtilloides,-87.779921,51.638368
Vaccinium myrtilloides,-64.67074,44.952487
Vaccinium myrtilloides,-74.215147,46.317453
Vaccinium myrtilloides,-73.928558,45.659756
Vaccinium myrtilloides,-76.233005,45.710599
Vaccinium myrtilloides,-75.188348,45.442906
Vaccinium myrtilloides,-62.588903,45.2977
Vaccinium myrtilloides,-62.493573,45.402365
Vaccinium myrtilloides,-61.958349,45.104336
Vaccinium myrtilloides,-66.399722,45.105
Vaccinium myrtilloides,-66.033056,46.848611
Vaccinium myrtilloides,-74.243902,46.053487
Vaccinium myrtilloides,-63.913236,45.357596
Vaccinium myrtilloides,-64.366404,45.830172
Vaccinium myrtilloides,-123.098745,49.172639
Vaccinium myrtilloides,-71.898606,45.024814
Vaccinium myrtilloides,-117.467162,50.092771
Vaccinium myrtilloides,-122.933742,49.14355
Vaccinium myrtilloides,-116.534123,51.450213
Vaccinium myrtilloides,-95.351716,50.068039
Vaccinium myrtilloides,-107.7708,54.6453
Vaccinium myrtilloides,-93.560686,51.247095
Vaccinium myrtilloides,-78.770057,45.612595
Vaccinium myrtilloides,-93.820062,51.065003
Vaccinium myrtilloides,-71.563185,45.06118
Vaccinium myrtilloides,-81.213539,46.157064
Vaccinium myrtilloides,-64.935524,46.826448
Vaccinium myrtilloides,-74.506103,46.346528
Vaccinium myrtilloides,-70.628478,47.667392
Vaccinium myrtilloides,-114.96255,53.52272
Vaccinium myrtilloides,-75.88015,46.06185
Vaccinium myrtilloides,-115.911985,54.751565
Vaccinium myrtilloides,-95.681678,50.881472
Vaccinium myrtilloides,-111.833333,59.966666
Vaccinium myrtilloides,-64.888755,45.434185
