SPECIES,longitude,latitude
Vaccinium ovatum,-123.560936,49.000574
Vaccinium ovatum,-123.558945,48.383705
Vaccinium ovatum,-125.658897,49.003394
Vaccinium ovatum,-125.022575,48.858039
Vaccinium ovatum,-124.277496,49.76997
Vaccinium ovatum,-123.395006,48.840964
Vaccinium ovatum,-125.111362,48.729535
Vaccinium ovatum,-123.684812,48.446412
Vaccinium ovatum,-124.471322,48.560293
Vaccinium ovatum,-125.499528,49.047967
Vaccinium ovatum,-124.840728,48.668012
Vaccinium ovatum,-124.608371,48.568149
Vaccinium ovatum,-123.761131,49.16215
Vaccinium ovatum,-124.629441,49.342754
Vaccinium ovatum,-124.235312,49.572993
Vaccinium ovatum,-123.555445,48.870949
Vaccinium ovatum,-123.820905,49.041222
Vaccinium ovatum,-123.300528,48.42025
Vaccinium ovatum,-124.222535,48.603917
Vaccinium ovatum,-124.94826,49.25185
Vaccinium ovatum,-123.652169,49.075878
Vaccinium ovatum,-125.781504,49.105408
Vaccinium ovatum,-124.79997,49.216981
Vaccinium ovatum,-123.113176,49.354829
Vaccinium ovatum,-123.649952,48.317269
Vaccinium ovatum,-123.408071,48.678564
Vaccinium ovatum,-125.391751,48.989847
Vaccinium ovatum,-125.914295,49.140649
Vaccinium ovatum,-124.581815,48.684346
Vaccinium ovatum,-124.623817,49.794599
Vaccinium ovatum,-123.776558,48.38025
Vaccinium ovatum,-125.317237,50.070058
Vaccinium ovatum,-124.473831,49.374244
Vaccinium ovatum,-124.590789,49.521008
Vaccinium ovatum,-125.420858,49.144337
Vaccinium ovatum,-124.35,49.243333
Vaccinium ovatum,-123.947033,48.394636
Vaccinium ovatum,-124.810013,49.93843
Vaccinium ovatum,-123.921447,48.777292
Vaccinium ovatum,-123.150183,49.266628
Vaccinium ovatum,-125.217354,49.971607
Vaccinium ovatum,-125.380381,48.885129
Vaccinium ovatum,-125.245512,48.91245
Vaccinium ovatum,-123.749022,49.504851
Vaccinium ovatum,-125.619613,49.127553
Vaccinium ovatum,-125.152467,48.827533
Vaccinium ovatum,-123.964996,49.146111
Vaccinium ovatum,-123.250751,48.857678
Vaccinium ovatum,-126.665027,49.582378
Vaccinium ovatum,-125.53833,48.931667
Vaccinium ovatum,-123.996054,49.56954
Vaccinium ovatum,-123.467182,48.464393
Vaccinium ovatum,-125.091213,48.989977
Vaccinium ovatum,-124.4,49.67
Vaccinium ovatum,-126.7,54.57
Vaccinium ovatum,-124.29,49.49
Vaccinium ovatum,-123,49
Vaccinium ovatum,-124.14,49.7
Vaccinium ovatum,-126.066667,49.283333
Vaccinium ovatum,-124.808333,49.533333
Vaccinium ovatum,-124.825,49.108333
Vaccinium ovatum,-125.933333,49.55
Vaccinium ovatum,-126.75,49.75
