SPECIES,longitude,latitude
Vaccinium oxycoccos,-80.074928,43.496508
Vaccinium oxycoccos,-128.565872,54.144192
Vaccinium oxycoccos,-71.902141,48.681199
Vaccinium oxycoccos,-71.242361,48.197184
Vaccinium oxycoccos,-80.852282,48.572635
Vaccinium oxycoccos,-84.723533,51.728372
Vaccinium oxycoccos,-71.533351,46.895076
Vaccinium oxycoccos,-54.192257,49.686576
Vaccinium oxycoccos,-60.952045,46.058783
Vaccinium oxycoccos,-65.513075,43.578792
Vaccinium oxycoccos,-125.259008,49.732823
Vaccinium oxycoccos,-71.333023,46.793188
Vaccinium oxycoccos,-73.257613,47.086346
Vaccinium oxycoccos,-65.513699,47.428607
Vaccinium oxycoccos,-123.197116,49.254448
Vaccinium oxycoccos,-61.958875,45.360253
Vaccinium oxycoccos,-66.725976,44.666469
Vaccinium oxycoccos,-84.565127,47.278443
Vaccinium oxycoccos,-66.880365,44.603491
Vaccinium oxycoccos,-83.398532,47.709467
Vaccinium oxycoccos,-79.798538,46.045326
Vaccinium oxycoccos,-57.410847,50.698783
Vaccinium oxycoccos,-64.519295,45.760933
Vaccinium oxycoccos,-63.6931,45.750462
Vaccinium oxycoccos,-63.784373,44.773483
Vaccinium oxycoccos,-64.117016,45.915426
Vaccinium oxycoccos,-61.271506,46.171732
Vaccinium oxycoccos,-62.848556,45.40639
Vaccinium oxycoccos,-61.21218,45.264555
Vaccinium oxycoccos,-66.739167,45.118611
Vaccinium oxycoccos,-95.341667,51.013889
Vaccinium oxycoccos,-67.201461,45.602915
Vaccinium oxycoccos,-114.626624,54.252936
Vaccinium oxycoccos,-61.26555,50.1754
Vaccinium oxycoccos,-58.92942,48.522413
Vaccinium oxycoccos,-94.346917,58.300075
Vaccinium oxycoccos,-63.380031,44.794527
Vaccinium oxycoccos,-124.637179,48.577085
Vaccinium oxycoccos,-93.552958,48.5751
Vaccinium oxycoccos,-84.687429,47.17586
Vaccinium oxycoccos,-68.458613,47.651649
Vaccinium oxycoccos,-123.315655,50.536104
Vaccinium oxycoccos,-62.434431,46.362935
Vaccinium oxycoccos,-56.945184,51.047838
Vaccinium oxycoccos,-89.556433,50.44537
Vaccinium oxycoccos,-64.006111,47.044936
Vaccinium oxycoccos,-106.075149,52.958774
Vaccinium oxycoccos,-122.997811,49.134564
Vaccinium oxycoccos,-124.240625,49.575182
Vaccinium oxycoccos,-79.522802,43.945666
