SPECIES,longitude,latitude
Vaccinium pallidum,-80.335061,42.708878
Vaccinium pallidum,-76.098611,45.500278
Vaccinium pallidum,-76.016858,45.347398
Vaccinium pallidum,-81.676325,42.477832
Vaccinium pallidum,-77.24432,45.887136
Vaccinium pallidum,-83.07031,42.258931
Vaccinium pallidum,-80.387666,42.850306
Vaccinium pallidum,-75.846667,44.488056
Vaccinium pallidum,-80.474407,42.951802
Vaccinium pallidum,-79.468393,43.648241
Vaccinium pallidum,-80.691085,42.847718
Vaccinium pallidum,-76.964742,44.604467
Vaccinium pallidum,-80.451318,42.768941
Vaccinium pallidum,-79.739179,43.406478
Vaccinium pallidum,-82.58,42.07
Vaccinium pallidum,-76.097222,44.304167
Vaccinium pallidum,-79.65,43.5333
Vaccinium pallidum,-79.1333,43.8
Vaccinium pallidum,-80.495882,42.669436
Vaccinium pallidum,-79.880902,43.293078
Vaccinium pallidum,-80.577671,42.741924
Vaccinium pallidum,-82.739099,42.036503
