SPECIES,longitude,latitude
Vaccinium parvifolium,-123.71887,48.440548
Vaccinium parvifolium,-128.552167,53.449682
Vaccinium parvifolium,-128.604568,54.119473
Vaccinium parvifolium,-128.789397,53.6976
Vaccinium parvifolium,-122.275108,49.168716
Vaccinium parvifolium,-125.222795,49.950353
Vaccinium parvifolium,-121.952118,49.936073
Vaccinium parvifolium,-122.324903,49.731493
Vaccinium parvifolium,-128.615829,54.420216
Vaccinium parvifolium,-124.812252,49.553954
Vaccinium parvifolium,-129.215805,53.046413
Vaccinium parvifolium,-128.68222,53.246365
Vaccinium parvifolium,-128.835251,53.469887
Vaccinium parvifolium,-127.19477,51.680267
Vaccinium parvifolium,-128.355789,54.878948
Vaccinium parvifolium,-125.035417,49.613864
Vaccinium parvifolium,-117.941575,49.259522
Vaccinium parvifolium,-123.612473,49.446163
Vaccinium parvifolium,-124.661962,49.290154
Vaccinium parvifolium,-123.519562,48.793247
Vaccinium parvifolium,-125.8712,49.834469
Vaccinium parvifolium,-127.963184,50.34037
Vaccinium parvifolium,-126.785387,50.54161
Vaccinium parvifolium,-117.456769,50.049113
Vaccinium parvifolium,-124.591084,48.651914
Vaccinium parvifolium,-127.367508,50.024514
Vaccinium parvifolium,-123.362686,48.727447
Vaccinium parvifolium,-125.636586,49.568944
Vaccinium parvifolium,-129.77266,53.454384
Vaccinium parvifolium,-125.923427,49.743566
Vaccinium parvifolium,-123.942802,48.393218
Vaccinium parvifolium,-124.003935,48.880967
Vaccinium parvifolium,-121.404358,49.014904
Vaccinium parvifolium,-124.506793,49.293147
Vaccinium parvifolium,-124.337491,48.909094
Vaccinium parvifolium,-124.993,50.03421
Vaccinium parvifolium,-125.406845,49.39155
Vaccinium parvifolium,-125.909025,49.208503
Vaccinium parvifolium,-124.99633,49.789143
Vaccinium parvifolium,-124.217791,50.145876
Vaccinium parvifolium,-125.437455,49.149711
Vaccinium parvifolium,-124.676926,50.142427
Vaccinium parvifolium,-126.027779,50.144409
Vaccinium parvifolium,-125.500832,49.047443
Vaccinium parvifolium,-124.941528,49.345371
Vaccinium parvifolium,-118.897397,51.078359
Vaccinium parvifolium,-123.01553,49.357177
Vaccinium parvifolium,-124.546111,48.90095
Vaccinium parvifolium,-119.024026,51.013524
Vaccinium parvifolium,-118.644118,50.996828
Vaccinium parvifolium,-124.196786,48.838914
Vaccinium parvifolium,-122.54297,49.245658
Vaccinium parvifolium,-124.799773,49.940323
Vaccinium parvifolium,-125.172203,50.053627
Vaccinium parvifolium,-122.216239,49.365936
Vaccinium parvifolium,-122.931464,49.142089
Vaccinium parvifolium,-125.875303,49.096185
Vaccinium parvifolium,-125.484932,50.125805
Vaccinium parvifolium,-125.518271,50.337237
Vaccinium parvifolium,-123.830589,49.025589
Vaccinium parvifolium,-125.351242,49.280692
Vaccinium parvifolium,-122.638978,49.388489
Vaccinium parvifolium,-127.894291,50.21296
Vaccinium parvifolium,-123.53785,48.382005
Vaccinium parvifolium,-124.215133,48.69635
Vaccinium parvifolium,-125.584908,49.247078
Vaccinium parvifolium,-122.469672,49.015367
Vaccinium parvifolium,-124.798305,50.056667
Vaccinium parvifolium,-123.639525,48.319333
Vaccinium parvifolium,-124.452489,48.647433
Vaccinium parvifolium,-121.775897,49.293592
Vaccinium parvifolium,-125.617303,49.133656
Vaccinium parvifolium,-123.303695,48.460638
Vaccinium parvifolium,-125.391751,48.989847
Vaccinium parvifolium,-123.467746,49.404093
Vaccinium parvifolium,-125.56022,48.938095
Vaccinium parvifolium,-123.209175,49.248586
Vaccinium parvifolium,-126.296392,49.505805
Vaccinium parvifolium,-122.894534,49.274156
Vaccinium parvifolium,-126.494417,50.751055
Vaccinium parvifolium,-124.951317,49.251587
Vaccinium parvifolium,-125.325037,50.373178
Vaccinium parvifolium,-123.832278,49.17257
Vaccinium parvifolium,-129.018588,55.168179
Vaccinium parvifolium,-127.934374,50.858098
Vaccinium parvifolium,-120.759003,49.111592
Vaccinium parvifolium,-125.976893,50.4459
Vaccinium parvifolium,-123.574836,48.569817
Vaccinium parvifolium,-123.437622,48.615913
Vaccinium parvifolium,-125.032731,50.255992
Vaccinium parvifolium,-127.828553,52.062697
Vaccinium parvifolium,-126.311097,50.165642
Vaccinium parvifolium,-128.041869,52.281303
Vaccinium parvifolium,-127.61348,50.745303
Vaccinium parvifolium,-125.624164,49.839947
Vaccinium parvifolium,-121.072511,49.043011
Vaccinium parvifolium,-125.333819,50.040762
Vaccinium parvifolium,-128.674923,54.644483
Vaccinium parvifolium,-131.846879,54.064247
Vaccinium parvifolium,-126.166367,50.170647
Vaccinium parvifolium,-128.481719,51.915
Vaccinium parvifolium,-127.727775,52.451406
Vaccinium parvifolium,-124.269167,49.323611
Vaccinium parvifolium,-131.827239,53.223339
Vaccinium parvifolium,-123.114239,50.053108
Vaccinium parvifolium,-122.814847,50.293866
Vaccinium parvifolium,-130.132506,54.240659
Vaccinium parvifolium,-127.473953,50.534655
Vaccinium parvifolium,-131.666686,54.152364
Vaccinium parvifolium,-127.856278,51.866608
Vaccinium parvifolium,-128.380772,54.598292
Vaccinium parvifolium,-131.644473,53.061559
Vaccinium parvifolium,-125.101122,49.848456
Vaccinium parvifolium,-132.284727,53.355776
Vaccinium parvifolium,-126.55766,50.3083
Vaccinium parvifolium,-121.411895,49.707047
Vaccinium parvifolium,-123.25131,49.361697
Vaccinium parvifolium,-123.524236,48.478036
Vaccinium parvifolium,-122.97432,50.117216
Vaccinium parvifolium,-123.402842,48.526728
Vaccinium parvifolium,-122.768642,49.117103
Vaccinium parvifolium,-128.536018,54.518238
Vaccinium parvifolium,-118.820256,50.900187
Vaccinium parvifolium,-123.707767,48.750524
Vaccinium parvifolium,-123.041771,49.212943
Vaccinium parvifolium,-122.450828,49.353506
Vaccinium parvifolium,-124.016396,49.863326
Vaccinium parvifolium,-121.741797,49.387096
Vaccinium parvifolium,-122.927603,50.023467
Vaccinium parvifolium,-125.898412,50.3454
Vaccinium parvifolium,-128.238642,50.682227
Vaccinium parvifolium,-127.36439,50.354555
Vaccinium parvifolium,-132.1557,54.030164
Vaccinium parvifolium,-126.915283,50.296327
Vaccinium parvifolium,-125.299683,49.183575
Vaccinium parvifolium,-125.198628,49.595992
Vaccinium parvifolium,-123.737537,48.912751
Vaccinium parvifolium,-126.653966,49.92638
Vaccinium parvifolium,-122.852037,49.041055
Vaccinium parvifolium,-122.885299,50.212657
Vaccinium parvifolium,-124.010613,49.641186
Vaccinium parvifolium,-125.290137,50.253707
Vaccinium parvifolium,-125.558778,49.672958
Vaccinium parvifolium,-121.415336,49.514239
Vaccinium parvifolium,-123.094847,49.440143
Vaccinium parvifolium,-123.7352,48.647011
Vaccinium parvifolium,-125.237564,50.135758
Vaccinium parvifolium,-123.993058,49.09192
Vaccinium parvifolium,-124.071331,49.183428
Vaccinium parvifolium,-123.977179,49.543118
Vaccinium parvifolium,-124.203597,48.594706
Vaccinium parvifolium,-124.785702,49.226423
Vaccinium parvifolium,-128.375732,50.784538
Vaccinium parvifolium,-122.31258,49.077885
Vaccinium parvifolium,-123.244958,49.532892
Vaccinium parvifolium,-124.938464,49.703614
Vaccinium parvifolium,-123.27997,48.806083
Vaccinium parvifolium,-124.027528,49.7361
Vaccinium parvifolium,-124.1643,49.251983
Vaccinium parvifolium,-122.380158,49.2412
Vaccinium parvifolium,-124.648835,48.797067
Vaccinium parvifolium,-123.966094,48.784794
Vaccinium parvifolium,-119.006447,51.207003
Vaccinium parvifolium,-128.78755,54.853247
Vaccinium parvifolium,-127.009301,50.556663
Vaccinium parvifolium,-123.557663,48.669178
Vaccinium parvifolium,-124.48331,49.921985
Vaccinium parvifolium,-121.459572,49.108422
Vaccinium parvifolium,-123.82531,48.838905
Vaccinium parvifolium,-122.509775,49.156621
Vaccinium parvifolium,-132.03041,53.162875
Vaccinium parvifolium,-123.0991,49.7347
Vaccinium parvifolium,-131.932907,53.579591
Vaccinium parvifolium,-123.119492,49.957877
Vaccinium parvifolium,-132.077545,53.927897
Vaccinium parvifolium,-125.291152,48.911118
Vaccinium parvifolium,-124.620925,49.39032
Vaccinium parvifolium,-124.34845,49.242906
Vaccinium parvifolium,-124.781756,49.453361
Vaccinium parvifolium,-122.858856,49.385617
Vaccinium parvifolium,-124.034746,48.571027
Vaccinium parvifolium,-122.746819,49.314847
Vaccinium parvifolium,-124.596275,49.519475
Vaccinium parvifolium,-123.708236,49.085742
Vaccinium parvifolium,-122.661247,49.024975
Vaccinium parvifolium,-124.888237,48.902328
