SPECIES,longitude,latitude
Viburnum acerifolium,-77.149703,43.935864
Viburnum acerifolium,-79.7771,44.447021
Viburnum acerifolium,-79.863838,45.17825
Viburnum acerifolium,-77.797303,44.615288
Viburnum acerifolium,-77.190767,44.89835
Viburnum acerifolium,-79.019098,44.051948
Viburnum acerifolium,-79.800169,43.747297
Viburnum acerifolium,-79.767412,43.4865
Viburnum acerifolium,-75.175466,45.598984
Viburnum acerifolium,-79.712717,45.178994
Viburnum acerifolium,-76.894507,45.22451
Viburnum acerifolium,-75.859806,46.07595
Viburnum acerifolium,-80.132457,43.417565
Viburnum acerifolium,-79.519997,44.040001
Viburnum acerifolium,-76.218779,45.487838
Viburnum acerifolium,-76.801262,44.60594
Viburnum acerifolium,-81.649694,42.611929
Viburnum acerifolium,-81.549594,42.553389
Viburnum acerifolium,-76.90029,44.742894
Viburnum acerifolium,-77.052406,44.870207
Viburnum acerifolium,-75.511359,45.468259
Viburnum acerifolium,-79.978164,43.517283
Viburnum acerifolium,-78.378053,44.818838
Viburnum acerifolium,-76.816161,45.70415
Viburnum acerifolium,-77.819032,45.714026
Viburnum acerifolium,-78.013291,45.105939
Viburnum acerifolium,-81.064476,42.887501
Viburnum acerifolium,-79.1169,43.254845
Viburnum acerifolium,-76.571478,44.455379
Viburnum acerifolium,-78.08998,44.684053
Viburnum acerifolium,-79.843855,43.352268
Viburnum acerifolium,-76.91691,45.887959
Viburnum acerifolium,-79.006056,43.211111
Viburnum acerifolium,-76.234014,44.333098
Viburnum acerifolium,-78.210734,44.770797
Viburnum acerifolium,-76.033508,44.521503
Viburnum acerifolium,-78.890325,45.210089
Viburnum acerifolium,-77.631258,44.118893
Viburnum acerifolium,-79.430863,43.838677
Viburnum acerifolium,-80.011998,43.991702
Viburnum acerifolium,-77.982911,44.097763
Viburnum acerifolium,-81.788052,43.293105
Viburnum acerifolium,-81.791825,42.721787
Viburnum acerifolium,-79.427422,43.936475
Viburnum acerifolium,-77.248547,45.891518
Viburnum acerifolium,-80.429956,42.80878
Viburnum acerifolium,-77.82922,44.122007
Viburnum acerifolium,-80.843509,42.7273
Viburnum acerifolium,-76.221423,45.654969
Viburnum acerifolium,-76.328285,45.725172
Viburnum acerifolium,-76.67949,45.03179
Viburnum acerifolium,-78.952137,45.017651
Viburnum acerifolium,-75.817434,45.057391
Viburnum acerifolium,-79.381,44.850161
Viburnum acerifolium,-79.713708,44.36463
Viburnum acerifolium,-78.591702,44.057387
Viburnum acerifolium,-79.6149,43.9586
Viburnum acerifolium,-77.671883,44.599996
Viburnum acerifolium,-80.044333,44.542828
Viburnum acerifolium,-75.674528,45.660045
Viburnum acerifolium,-75.935356,45.812481
Viburnum acerifolium,-80.23026,43.341606
Viburnum acerifolium,-76.056167,45.602733
Viburnum acerifolium,-79.638442,45.016656
Viburnum acerifolium,-79.806038,44.303616
Viburnum acerifolium,-80.364261,43.296225
Viburnum acerifolium,-76.767967,45.256333
Viburnum acerifolium,-77.793853,44.296319
Viburnum acerifolium,-78.98845,44.872039
Viburnum acerifolium,-77.861292,44.819946
Viburnum acerifolium,-78.443308,44.481342
Viburnum acerifolium,-81.172043,42.668621
Viburnum acerifolium,-76.378698,44.428856
Viburnum acerifolium,-76.23616,44.75245
Viburnum acerifolium,-78.89943,44.799492
Viburnum acerifolium,-82.445452,42.08837
Viburnum acerifolium,-76.512274,44.749752
Viburnum acerifolium,-78.71016,45.073831
Viburnum acerifolium,-76.134472,44.441816
Viburnum acerifolium,-75.941425,45.527967
