SPECIES,longitude,latitude
Viburnum lantanoides,-73.244381,45.452734
Viburnum lantanoides,-78.970765,45.147487
Viburnum lantanoides,-79.865005,45.177842
Viburnum lantanoides,-77.430763,45.976375
Viburnum lantanoides,-73.554985,46.269969
Viburnum lantanoides,-78.754745,45.680737
Viburnum lantanoides,-79.315335,44.758196
Viburnum lantanoides,-78.193803,45.681525
Viburnum lantanoides,-78.725799,46.01608
Viburnum lantanoides,-77.714582,45.634119
Viburnum lantanoides,-75.187859,45.449949
Viburnum lantanoides,-78.819769,45.251743
Viburnum lantanoides,-79.502236,44.719197
Viburnum lantanoides,-79.272502,45.145193
Viburnum lantanoides,-78.2747,44.972806
Viburnum lantanoides,-77.901218,45.259906
Viburnum lantanoides,-79.443604,45.102685
Viburnum lantanoides,-78.735952,44.744581
Viburnum lantanoides,-79.707723,44.561005
Viburnum lantanoides,-79.719249,46.061314
Viburnum lantanoides,-76.317378,45.543695
Viburnum lantanoides,-79.914474,46.085702
Viburnum lantanoides,-63.743761,45.074016
Viburnum lantanoides,-65.523353,44.609336
Viburnum lantanoides,-67.539748,47.09362
Viburnum lantanoides,-66.306944,47.985278
Viburnum lantanoides,-63.363626,46.171211
Viburnum lantanoides,-63.000649,45.340168
Viburnum lantanoides,-79.5154,44.936701
Viburnum lantanoides,-63.851146,44.897808
Viburnum lantanoides,-76.361812,45.44199
Viburnum lantanoides,-75.917253,45.512885
Viburnum lantanoides,-76.682578,45.032314
Viburnum lantanoides,-78.83485,45.478495
Viburnum lantanoides,-60.961758,46.059742
Viburnum lantanoides,-65.765503,44.541742
Viburnum lantanoides,-67.099167,46.123272
Viburnum lantanoides,-65.996653,45.759833
Viburnum lantanoides,-78.439136,45.432149
Viburnum lantanoides,-63.920991,45.446653
Viburnum lantanoides,-68.326674,47.369013
Viburnum lantanoides,-79.390966,46.296453
Viburnum lantanoides,-71.236412,47.277088
Viburnum lantanoides,-72.9756,46.64592
Viburnum lantanoides,-75.716656,45.567804
Viburnum lantanoides,-66.648796,45.88084
Viburnum lantanoides,-73.114039,46.761806
Viburnum lantanoides,-77.973533,45.122017
Viburnum lantanoides,-73.099801,46.958478
Viburnum lantanoides,-65.942266,44.182282
Viburnum lantanoides,-65.810138,45.623397
Viburnum lantanoides,-71.741303,46.300278
Viburnum lantanoides,-62.854268,46.086488
Viburnum lantanoides,-65.744338,44.7061
Viburnum lantanoides,-78.631325,45.225272
Viburnum lantanoides,-72.690674,46.555771
Viburnum lantanoides,-77.70658,44.735967
Viburnum lantanoides,-74.892105,46.084332
Viburnum lantanoides,-74.290087,46.02396
Viburnum lantanoides,-79.610712,45.122261
Viburnum lantanoides,-79.192383,45.615555
Viburnum lantanoides,-72.739877,45.081841
Viburnum lantanoides,-62.545775,45.429517
Viburnum lantanoides,-74.251887,45.926596
Viburnum lantanoides,-66.868678,45.864825
Viburnum lantanoides,-67.641628,46.977682
Viburnum lantanoides,-74.622147,45.848251
Viburnum lantanoides,-79.20787,45.382717
Viburnum lantanoides,-67.681623,46.632158
Viburnum lantanoides,-73.704205,45.951263
Viburnum lantanoides,-74.481238,46.049307
Viburnum lantanoides,-79.406975,45.620033
Viburnum lantanoides,-73.696281,45.712475
Viburnum lantanoides,-69.51411,47.384757
Viburnum lantanoides,-62.231926,45.115969
Viburnum lantanoides,-79.79509,45.693976
Viburnum lantanoides,-63.959634,45.570753
