SPECIES,longitude,latitude
Viburnum nudum,-55.064917,49.27125
Viburnum nudum,-64.75,48.266667
Viburnum nudum,-79.766667,45.133333
Viburnum nudum,-79.45,46.705383
Viburnum nudum,-54.783333,49.45
Viburnum nudum,-51.633333,47.583333
Viburnum nudum,-72.292694,46.512972
Viburnum nudum,-71.55,48.341667
Viburnum nudum,-71.55,48.466667
Viburnum nudum,-63.244722,50.513056
Viburnum nudum,-63.6,50.276944
Viburnum nudum,-66.065833,50.3
Viburnum nudum,-72.733333,45.4
Viburnum nudum,-73.216667,45.966667
Viburnum nudum,-59.78,43.98
Viburnum nudum,-66.383333,50.2
Viburnum nudum,-68.32,48.5639
Viburnum nudum,-79.368602,43.732195
Viburnum nudum,-79.824444,43.733827
Viburnum nudum,-80.086212,47.001329
Viburnum nudum,-80.27077,44.16925
Viburnum nudum,-79.310293,43.033525
Viburnum nudum,-75.4,45.483333
Viburnum nudum,-78.406111,45.069444
Viburnum nudum,-79.57057,46.58049
Viburnum nudum,-79.382282,45.158555
Viburnum nudum,-79.67346,44.426416
Viburnum nudum,-81.25,42.983333
Viburnum nudum,-80.514961,43.025849
Viburnum nudum,-81.311641,43.887926
Viburnum nudum,-80.036165,45.348114
Viburnum nudum,-72.5891,46.3465
Viburnum nudum,-73.1333,46.0667
Viburnum nudum,-65.8333,43.8
Viburnum nudum,-80.7167,44.4167
Viburnum nudum,-77.1167,44.55
Viburnum nudum,-78.5833,45.45
Viburnum nudum,-63.9167,44.5
Viburnum nudum,-75.2167,45.55
Viburnum nudum,-75.8667,45.3167
Viburnum nudum,-76.5667,45.55
Viburnum nudum,-67.025,45.3917
Viburnum nudum,-62.55,46.55
Viburnum nudum,-77.2333,44.85
Viburnum nudum,-84.75,47
Viburnum nudum,-80.6167,45.7833
Viburnum nudum,-79.6956,45.6344
Viburnum nudum,-84.2667,46.6
Viburnum nudum,-78.8333,45.1167
Viburnum nudum,-77.5667,45.3167
Viburnum nudum,-75.3039,44.8444
Viburnum nudum,-66.3944,47.1828
Viburnum nudum,-75.5647,45.4367
Viburnum nudum,-74.366111,49.904167
Viburnum nudum,-77.066667,49.433333
Viburnum nudum,-70.616667,47.383333
Viburnum nudum,-73.85,47.866667
Viburnum nudum,-73.383333,47.783333
Viburnum nudum,-74.033333,48.516667
Viburnum nudum,-74.5,47.333333
Viburnum nudum,-69.45,47.883333
Viburnum nudum,-70.390556,47.4
Viburnum nudum,-61.861111,47.366667
Viburnum nudum,-69.433333,48.033333
Viburnum nudum,-69.744167,47.720278
Viburnum nudum,-73.54573,46.26756
Viburnum nudum,-75.70979,45.42966
Viburnum nudum,-57.95,49.633333
Viburnum nudum,-73.290339,45.430262
Viburnum nudum,-72.766389,47.446667
Viburnum nudum,-73.649367,45.352533
Viburnum nudum,-73.989833,46.292667
Viburnum nudum,-74.67125,45.656111
Viburnum nudum,-73.8925,45.49817
Viburnum nudum,-71.30264,47.06933
Viburnum nudum,-72.2187,45.81
Viburnum nudum,-61.001652,46.325647
Viburnum nudum,-63.378679,44.794649
Viburnum nudum,-78.729378,45.366147
Viburnum nudum,-72.996071,45.245759
Viburnum nudum,-64.727745,44.374645
Viburnum nudum,-61.97062,45.332005
Viburnum nudum,-62.823471,46.29739
Viburnum nudum,-63.442482,44.597408
Viburnum nudum,-65.996687,43.919391
Viburnum nudum,-65.807414,44.548917
Viburnum nudum,-65.245384,44.4097
Viburnum nudum,-58.759339,48.566043
Viburnum nudum,-65.802995,43.593091
Viburnum nudum,-64.826347,46.216591
Viburnum nudum,-66.319579,44.360242
Viburnum nudum,-75.647293,45.034457
Viburnum nudum,-63.589261,44.885308
Viburnum nudum,-64.671562,46.277183
Viburnum nudum,-64.953362,44.38398
Viburnum nudum,-60.024483,45.918708
Viburnum nudum,-59.815862,46.170338
Viburnum nudum,-66.263889,47.365556
Viburnum nudum,-65.693537,47.598689
Viburnum nudum,-60.423664,45.966389
Viburnum nudum,-64.950948,47.45008
Viburnum nudum,-63.149597,44.796303
Viburnum nudum,-64.882662,47.760303
Viburnum nudum,-66.308206,45.575192
Viburnum nudum,-64.709,46.068846
Viburnum nudum,-62.3345,45.313767
Viburnum nudum,-65.17483,47.810693
Viburnum nudum,-74.708013,46.218977
Viburnum nudum,-64.343832,44.559236
Viburnum nudum,-64.102032,46.503713
Viburnum nudum,-62.833938,44.729003
Viburnum nudum,-60.40148,46.682388
Viburnum nudum,-63.572922,44.590281
Viburnum nudum,-71.02989,46.783181
Viburnum nudum,-81.412338,45.992338
Viburnum nudum,-79.159686,48.18547
Viburnum nudum,-65.503781,47.42493
Viburnum nudum,-61.930432,47.243308
Viburnum nudum,-75.551116,47.425004
Viburnum nudum,-73.760572,45.695083
Viburnum nudum,-74.51015,46.261498
Viburnum nudum,-66.115014,46.080758
Viburnum nudum,-57.873786,48.989659
Viburnum nudum,-61.477023,47.584638
Viburnum nudum,-69.715644,48.136519
Viburnum nudum,-64.119831,46.606718
Viburnum nudum,-60.331512,46.777484
Viburnum nudum,-67.202222,45.602778
Viburnum nudum,-58.413047,48.374067
Viburnum nudum,-62.466553,46.321888
Viburnum nudum,-67.075556,45.7475
Viburnum nudum,-60.461487,46.823912
Viburnum nudum,-83.946187,46.336744
Viburnum nudum,-63.485214,46.409581
Viburnum nudum,-65.976421,44.569063
Viburnum nudum,-84.102426,46.51046
Viburnum nudum,-60.406738,46.233748
Viburnum nudum,-64.529452,47.973073
Viburnum nudum,-63.559349,44.470049
Viburnum nudum,-62.544078,44.925896
Viburnum nudum,-63.22232,45.115397
Viburnum nudum,-63.72161,45.64635
Viburnum nudum,-66.770815,44.676022
Viburnum nudum,-66.481286,45.848734
Viburnum nudum,-69.808385,47.553942
Viburnum nudum,-64.931442,46.592275
Viburnum nudum,-63.011218,46.177612
Viburnum nudum,-71.840716,46.379116
Viburnum nudum,-63.91702,44.62286
Viburnum nudum,-64.478916,45.496129
Viburnum nudum,-63.558575,45.017325
Viburnum nudum,-71.467983,46.836248
Viburnum nudum,-70.844933,48.385788
Viburnum nudum,-63.41005,45.737847
Viburnum nudum,-64.849444,47.071667
Viburnum nudum,-66.482055,45.694887
Viburnum nudum,-62.832218,46.159541
Viburnum nudum,-66.151238,44.432996
Viburnum nudum,-60.566051,46.24208
Viburnum nudum,-63.014942,44.777297
Viburnum nudum,-79.739037,45.328998
Viburnum nudum,-60.499068,46.040588
Viburnum nudum,-79.581104,45.115485
Viburnum nudum,-81.07135,46.375912
Viburnum nudum,-79.3525,46.080833
Viburnum nudum,-79.734487,47.408395
Viburnum nudum,-64.910733,45.619953
Viburnum nudum,-80.555565,45.918435
Viburnum nudum,-79.064509,45.468279
Viburnum nudum,-78.938007,45.287684
Viburnum nudum,-71.739617,45.346826
Viburnum nudum,-81.443432,46.616726
Viburnum nudum,-63.496167,45.097594
Viburnum nudum,-60.273594,46.221428
Viburnum nudum,-75.494109,46.547023
Viburnum nudum,-80.108667,43.878088
Viburnum nudum,-66.403328,46.032306
Viburnum nudum,-80.196572,45.35495
Viburnum nudum,-64.715728,45.044858
Viburnum nudum,-60.698647,46.3699
Viburnum nudum,-79.027424,45.705793
Viburnum nudum,-60.342585,46.313857
Viburnum nudum,-74.043487,45.750532
Viburnum nudum,-71.641163,45.779318
Viburnum nudum,-67.052172,45.083809
Viburnum nudum,-75.597482,45.338275
Viburnum nudum,-63.128773,46.299535
Viburnum nudum,-77.299727,45.821475
Viburnum nudum,-60.627863,46.144018
Viburnum nudum,-74.441486,45.554335
Viburnum nudum,-65.807398,44.654889
Viburnum nudum,-84.260154,46.504374
Viburnum nudum,-77.882785,44.677825
Viburnum nudum,-79.77808,47.054501
Viburnum nudum,-59.241695,47.844372
Viburnum nudum,-79.071121,45.250857
Viburnum nudum,-62.45902,46.003375
Viburnum nudum,-64.644635,47.729068
Viburnum nudum,-74.406806,46.428964
Viburnum nudum,-64.670655,44.952512
Viburnum nudum,-64.848707,43.823788
Viburnum nudum,-75.237004,46.656499
Viburnum nudum,-60.26125,46.000994
Viburnum nudum,-61.984668,45.141651
Viburnum nudum,-65.384444,44.428611
Viburnum nudum,-76.284525,45.658858
Viburnum nudum,-78.645517,44.91885
Viburnum nudum,-78.953235,45.603211
Viburnum nudum,-77.294638,45.981176
Viburnum nudum,-80.970992,46.43861
Viburnum nudum,-80.119339,46.423848
Viburnum nudum,-60.1375,45.825408
Viburnum nudum,-61.979222,46.451072
Viburnum nudum,-65.334851,47.074234
Viburnum nudum,-66.01673,43.406578
Viburnum nudum,-62.721153,45.754558
Viburnum nudum,-61.58072,45.152264
Viburnum nudum,-78.4,48.32
Viburnum nudum,-52.941559,46.915771
Viburnum nudum,-71.328692,46.758603
Viburnum nudum,-79.908443,46.079328
Viburnum nudum,-65.574346,43.599593
Viburnum nudum,-70.870243,48.581471
Viburnum nudum,-79.75665,44.913357
Viburnum nudum,-79.380965,44.850231
Viburnum nudum,-64.209838,44.560622
Viburnum nudum,-78.701232,44.752754
Viburnum nudum,-71.573709,47.041106
Viburnum nudum,-81.777617,42.521103
Viburnum nudum,-53.031893,47.409146
Viburnum nudum,-78.691971,48.431955
Viburnum nudum,-58.044686,48.750328
Viburnum nudum,-57.887128,49.433778
Viburnum nudum,-59.39356,47.882072
Viburnum nudum,-63.760847,45.8462
Viburnum nudum,-53.670348,47.565048
Viburnum nudum,-78.770435,45.6121
Viburnum nudum,-65.590837,43.452045
Viburnum nudum,-52.712028,47.462944
Viburnum nudum,-78.90548,45.390891
Viburnum nudum,-69.181818,47.45614
Viburnum nudum,-79.205228,47.893004
Viburnum nudum,-69.016655,47.435954
Viburnum nudum,-75.671105,49.143667
Viburnum nudum,-61.351361,45.241547
Viburnum nudum,-62.101083,45.020383
Viburnum nudum,-64.738227,44.046557
Viburnum nudum,-79.148821,47.747929
Viburnum nudum,-66.303292,45.182136
Viburnum nudum,-66.803903,45.043647
Viburnum nudum,-64.735708,45.755313
Viburnum nudum,-77.921203,48.78249
Viburnum nudum,-60.055308,46.041844
Viburnum nudum,-77.863304,44.821189
Viburnum nudum,-63.593795,46.213195
Viburnum nudum,-65.265,45.850278
Viburnum nudum,-63.233642,44.883117
Viburnum nudum,-64.889756,46.107717
Viburnum nudum,-79.002595,48.360578
Viburnum nudum,-64.863125,45.455686
Viburnum nudum,-64.913904,46.816031
Viburnum nudum,-77.858672,46.190292
Viburnum nudum,-84.47285,46.623414
Viburnum nudum,-66.364444,44.246944
Viburnum nudum,-65.470844,43.495309
Viburnum nudum,-76.189617,45.597167
Viburnum nudum,-60.692799,46.501293
Viburnum nudum,-73.98985,45.99159
Viburnum nudum,-76.728347,47.221563
Viburnum nudum,-63.347165,44.672991
Viburnum nudum,-79.191312,46.969755
Viburnum nudum,-75.457206,46.701263
Viburnum nudum,-68.9207,47.577183
Viburnum nudum,-74.242971,46.334388
Viburnum nudum,-71.428392,47.267772
Viburnum nudum,-71.345777,48.577743
Viburnum nudum,-72.502412,48.574447
Viburnum nudum,-65.483215,43.66674
Viburnum nudum,-66.26,46.205833
Viburnum nudum,-66.565278,46.347222
Viburnum nudum,-59.881488,45.945788
Viburnum nudum,-65.140411,44.674519
Viburnum nudum,-77.991368,46.224971
Viburnum nudum,-74.836716,46.513178
Viburnum nudum,-58.105619,49.456409
Viburnum nudum,-65.457558,44.664756
Viburnum nudum,-79.882587,47.793305
Viburnum nudum,-62.271983,46.444931
Viburnum nudum,-63.245895,46.438597
Viburnum nudum,-78.282387,48.231425
Viburnum nudum,-62.510686,45.152878
Viburnum nudum,-65.524156,44.529219
Viburnum nudum,-77.14,47.540133
Viburnum nudum,-71.925453,48.855125
Viburnum nudum,-76.102715,45.501886
Viburnum nudum,-62.562939,44.810054
Viburnum nudum,-79.747883,48.286491
Viburnum nudum,-60.640637,45.960295
Viburnum nudum,-63.277487,45.42217
Viburnum nudum,-78.887778,48.029222
Viburnum nudum,-64.587669,44.638449
Viburnum nudum,-57.755758,49.652015
Viburnum nudum,-65.782495,43.714959
Viburnum nudum,-65.7315,44.143304
Viburnum nudum,-63.71902,44.54843
Viburnum nudum,-64.956111,46.221667
Viburnum nudum,-64.649755,46.385178
Viburnum nudum,-76.445833,44.683611
Viburnum nudum,-79.302772,46.180841
Viburnum nudum,-75.773117,44.923095
Viburnum nudum,-73.413946,45.55504
Viburnum nudum,-60.466881,45.871215
Viburnum nudum,-74.866668,45.497361
Viburnum nudum,-60.380572,46.5929
Viburnum nudum,-66.09952,44.194691
Viburnum nudum,-64.859054,44.447547
Viburnum nudum,-79.214147,45.333031
Viburnum nudum,-77.75286,45.690449
Viburnum nudum,-66.169596,44.112777
Viburnum nudum,-74.177173,45.394515
Viburnum nudum,-71.778625,45.523747
Viburnum nudum,-75.922337,45.626957
Viburnum nudum,-79.117632,45.071753
Viburnum nudum,-63.669749,46.427841
Viburnum nudum,-64.794678,44.628295
Viburnum nudum,-75.183772,45.448457
Viburnum nudum,-72.476783,48.67895
Viburnum nudum,-64.231379,44.884053
Viburnum nudum,-75.255471,45.370163
Viburnum nudum,-79.115379,46.274954
Viburnum nudum,-71.235932,46.931356
Viburnum nudum,-79.533493,46.10785
Viburnum nudum,-80.323181,46.235776
