SPECIES,longitude,latitude
Viburnum opulus,-79.267347,44.921047
Viburnum opulus,-73.430602,45.846929
Viburnum opulus,-78.111217,44.440956
Viburnum opulus,-74.750583,45.066079
Viburnum opulus,-99.633695,50.769673
Viburnum opulus,-79.985183,43.541383
Viburnum opulus,-80.149167,43.394167
Viburnum opulus,-76.194824,44.891112
Viburnum opulus,-80.216905,44.500752
Viburnum opulus,-79.936226,44.076657
Viburnum opulus,-78.2747,44.972806
Viburnum opulus,-80.245318,43.050652
Viburnum opulus,-64.143932,44.988301
Viburnum opulus,-79.102225,43.252946
Viburnum opulus,-80.542976,44.258923
Viburnum opulus,-82.116907,49.533139
Viburnum opulus,-66.958331,45.178185
Viburnum opulus,-60.644762,45.646023
Viburnum opulus,-75.916048,45.273712
Viburnum opulus,-78.371518,44.384765
Viburnum opulus,-100.250693,50.73952
Viburnum opulus,-78.945004,44.129971
Viburnum opulus,-81.473262,43.631797
Viburnum opulus,-80.015219,43.32603
Viburnum opulus,-81.226528,42.949549
Viburnum opulus,-79.861467,43.414853
Viburnum opulus,-77.769758,45.701975
Viburnum opulus,-72.642334,45.075257
Viburnum opulus,-66.117692,45.826142
Viburnum opulus,-68.714555,47.248353
Viburnum opulus,-80.090637,44.317436
Viburnum opulus,-63.413351,45.081391
Viburnum opulus,-73.712329,45.966694
Viburnum opulus,-79.950125,47.900695
Viburnum opulus,-66.120763,45.448379
Viburnum opulus,-81.182313,43.048766
Viburnum opulus,-65.806191,43.631418
Viburnum opulus,-63.959316,46.563808
Viburnum opulus,-66.324422,45.597744
Viburnum opulus,-54.272231,47.929911
Viburnum opulus,-81.485467,45.237287
Viburnum opulus,-77.083873,43.8861
Viburnum opulus,-80.088136,44.166418
Viburnum opulus,-112.830335,53.673202
Viburnum opulus,-127.758605,55.437294
Viburnum opulus,-83.945384,46.066887
Viburnum opulus,-105.748951,53.195539
Viburnum opulus,-119.379762,49.847316
Viburnum opulus,-76.210226,45.24085
Viburnum opulus,-113.781517,53.379204
Viburnum opulus,-79.864936,44.852713
Viburnum opulus,-112.868643,49.680563
Viburnum opulus,-81.313067,46.377988
Viburnum opulus,-80.339084,43.574514
Viburnum opulus,-65.978482,45.452523
Viburnum opulus,-79.897408,43.636982
Viburnum opulus,-122.286384,49.138084
Viburnum opulus,-68.326674,47.369013
Viburnum opulus,-117.067343,51.413043
Viburnum opulus,-119.769433,50.727572
Viburnum opulus,-122.885,49.245833
Viburnum opulus,-124.739317,54.109722
Viburnum opulus,-123.802628,49.171749
Viburnum opulus,-113.901947,53.551895
Viburnum opulus,-73.800826,45.252849
Viburnum opulus,-80.568458,45.942183
Viburnum opulus,-80.797546,43.20689
Viburnum opulus,-64.31054,45.109
Viburnum opulus,-75.16817,45.599646
Viburnum opulus,-72.178875,45.282258
Viburnum opulus,-65.468872,45.712002
Viburnum opulus,-96.531365,49.780581
Viburnum opulus,-63.712586,44.904987
Viburnum opulus,-78.608048,44.267085
Viburnum opulus,-65.173915,47.809322
Viburnum opulus,-77.708887,45.994647
Viburnum opulus,-79.774998,46.067877
Viburnum opulus,-79.488968,44.594452
Viburnum opulus,-71.036883,48.402154
Viburnum opulus,-66.324722,47.379444
Viburnum opulus,-66.11951,47.393224
Viburnum opulus,-76.466858,45.282653
Viburnum opulus,-63.916938,44.622517
Viburnum opulus,-76.383416,45.779732
Viburnum opulus,-57.596759,49.005653
Viburnum opulus,-64.709167,46.069167
Viburnum opulus,-62.014361,46.460195
Viburnum opulus,-81.237259,44.845721
Viburnum opulus,-93.550063,48.575436
Viburnum opulus,-102.67325,51.506626
Viburnum opulus,-106.280614,53.987621
Viburnum opulus,-95.173876,49.742034
Viburnum opulus,-96.02604,50.117072
Viburnum opulus,-82.330276,42.99593
Viburnum opulus,-65.991776,47.800228
Viburnum opulus,-66.766916,44.675702
Viburnum opulus,-73.766678,45.383053
Viburnum opulus,-71.856413,46.310458
Viburnum opulus,-81.315422,43.689743
Viburnum opulus,-79.732197,42.967025
Viburnum opulus,-76.220581,45.481747
Viburnum opulus,-87.005833,48.870998
Viburnum opulus,-65.609636,44.711892
Viburnum opulus,-79.978892,43.918453
Viburnum opulus,-71.559551,45.018051
Viburnum opulus,-100.248711,51.804178
Viburnum opulus,-67.624228,46.17903
Viburnum opulus,-100.379997,51.900002
Viburnum opulus,-81.460188,44.416283
Viburnum opulus,-64.570628,46.301192
Viburnum opulus,-77.861012,48.143068
