SPECIES,longitude,latitude
Viburnum recognitum,-75.603593,45.309833
Viburnum recognitum,-79.633333,43.15
Viburnum recognitum,-75.383286,45.349219
Viburnum recognitum,-82.458998,42.116127
Viburnum recognitum,-67.424973,45.616746
Viburnum recognitum,-75.724158,44.617529
Viburnum recognitum,-63.358543,46.250102
Viburnum recognitum,-76.448955,44.122411
Viburnum recognitum,-66.823387,45.132641
Viburnum recognitum,-79.295826,42.910006
Viburnum recognitum,-67.392815,45.155413
Viburnum recognitum,-67.35,45.4
Viburnum recognitum,-80.15,42.8333
Viburnum recognitum,-74.3667,45.2167
Viburnum recognitum,-82.3833,42.9667
Viburnum recognitum,-76.4667,44.25
Viburnum recognitum,-75.7833,44.7333
Viburnum recognitum,-79.8333,43.0333
Viburnum recognitum,-79.1,42.8833
Viburnum recognitum,-74.55,45.0833
Viburnum recognitum,-75.5,45.1833
Viburnum recognitum,-79.0667,43.1
Viburnum recognitum,-76.5,44.9167
Viburnum recognitum,-79.51042,42.992571
Viburnum recognitum,-75.822473,44.49078
Viburnum recognitum,-72.164167,45.273611
Viburnum recognitum,-71.937222,45.373056
Viburnum recognitum,-67.3134,45.663631
