SPECIES,longitude,latitude
Amelanchier intermedia,-64.7579,46.092055
Amelanchier intermedia,-66.065833,50.3
Amelanchier intermedia,-65.078958,45.814476
Amelanchier intermedia,-62.073169,46.461539
Amelanchier intermedia,-70.967,46.62299
Amelanchier intermedia,-65.834839,44.466238
Amelanchier intermedia,-64.36132,45.09271
Amelanchier intermedia,-64.49592,45.07662
Amelanchier intermedia,-60.50103,46.88284
Amelanchier intermedia,-61.00746,45.33549
Amelanchier intermedia,-61.476812,45.449695
Amelanchier intermedia,-61.45736,45.34628
Amelanchier intermedia,-64.31423,44.46332
Amelanchier intermedia,-63.91471,44.49738
Amelanchier intermedia,-62.837274,45.428592
Amelanchier intermedia,-64.35427,45.55885
Amelanchier intermedia,-61.31459,45.77879
Amelanchier intermedia,-64.67913,45.05315
Amelanchier intermedia,-64.69687,44.92281
Amelanchier intermedia,-64.83703,43.86605
Amelanchier intermedia,-64.1821,45.76486
Amelanchier intermedia,-66.214832,45.993596
Amelanchier intermedia,-61.899167,45.716667
Amelanchier intermedia,-63.868255,46.432615
Amelanchier intermedia,-64.489531,45.760061
Amelanchier intermedia,-66.666667,45.945278
Amelanchier intermedia,-65.02987,44.37407
Amelanchier intermedia,-64.57973,45.88359
Amelanchier intermedia,-60.15683,46.10169
Amelanchier intermedia,-60.75111,46.09964
Amelanchier intermedia,-61.99622,45.6239
Amelanchier intermedia,-67.296389,45.180278
Amelanchier intermedia,-63.59057,44.65887
Amelanchier intermedia,-71.29,46.76
Amelanchier intermedia,-62.45362,45.28248
Amelanchier intermedia,-64.30933,44.56714
Amelanchier intermedia,-64.45841,44.73728
Amelanchier intermedia,-61.031156,45.546715
Amelanchier intermedia,-65.91735,44.30667
Amelanchier intermedia,-65.94456,44.40568
Amelanchier intermedia,-66.09767,44.35616
Amelanchier intermedia,-61.00782,46.62978
Amelanchier intermedia,-61.09725,46.33251
Amelanchier intermedia,-66.17524,44.13684
Amelanchier intermedia,-62.5384,44.92818
Amelanchier intermedia,-61.67822,45.57745
Amelanchier intermedia,-61.24319,45.61502
Amelanchier intermedia,-60.36751,46.181
Amelanchier intermedia,-61.756448,45.648705
Amelanchier intermedia,-79.476389,43.165833
Amelanchier intermedia,-66.1162,43.84564
