SPECIES,longitude,latitude
Amelanchier sanguinea,-90.088128,48.36652
Amelanchier sanguinea,-75.636165,45.326633
Amelanchier sanguinea,-70.229194,47.492889
Amelanchier sanguinea,-86.541706,49.783472
Amelanchier sanguinea,-87.518575,49.696758
Amelanchier sanguinea,-89.247066,48.272872
Amelanchier sanguinea,-68.7,48.366667
Amelanchier sanguinea,-71.904822,45.37875
Amelanchier sanguinea,-71.516667,48.216667
Amelanchier sanguinea,-71.166667,48.283333
Amelanchier sanguinea,-71.366667,48.416667
Amelanchier sanguinea,-71.95,48.4
Amelanchier sanguinea,-72.1,48.75
Amelanchier sanguinea,-78.137455,44.574107
Amelanchier sanguinea,-66.122166,48.944485
Amelanchier sanguinea,-78.825878,48.476681
Amelanchier sanguinea,-89.116667,48.366667
Amelanchier sanguinea,-86.7,50.616667
Amelanchier sanguinea,-82.166667,50.083333
Amelanchier sanguinea,-80.086212,47.001329
Amelanchier sanguinea,-85.143889,48.497976
Amelanchier sanguinea,-86.25,48.75
Amelanchier sanguinea,-84.75,47
Amelanchier sanguinea,-80.24176,43.538677
Amelanchier sanguinea,-79.521036,43.699508
Amelanchier sanguinea,-79.286056,43.669704
Amelanchier sanguinea,-94.489575,49.766694
Amelanchier sanguinea,-80.037855,44.505923
Amelanchier sanguinea,-79.15,43.8
Amelanchier sanguinea,-88.467041,49.804979
Amelanchier sanguinea,-79.468325,46.315504
Amelanchier sanguinea,-76.700361,44.682724
Amelanchier sanguinea,-81.873892,46.26459
Amelanchier sanguinea,-88.883333,49.316667
Amelanchier sanguinea,-81.759869,46.039284
Amelanchier sanguinea,-89.389493,48.307347
Amelanchier sanguinea,-88.265793,49.015766
Amelanchier sanguinea,-76.111111,44.3
Amelanchier sanguinea,-76.1875,48.304167
Amelanchier sanguinea,-79.719763,43.452551
Amelanchier sanguinea,-81.756738,43.312264
Amelanchier sanguinea,-79.929669,44.996719
Amelanchier sanguinea,-79.812927,46.253417
Amelanchier sanguinea,-76.044722,44.543056
Amelanchier sanguinea,-80.7167,46.0167
Amelanchier sanguinea,-77.4,45.6167
Amelanchier sanguinea,-81.7333,47.6833
Amelanchier sanguinea,-77.8333,45.0833
Amelanchier sanguinea,-77.7333,44
Amelanchier sanguinea,-86.3,48.5833
Amelanchier sanguinea,-88.8333,48.3333
Amelanchier sanguinea,-91.5333,49.8667
Amelanchier sanguinea,-83.9333,46.0667
Amelanchier sanguinea,-78.9333,43.85
Amelanchier sanguinea,-91.9333,50.1
Amelanchier sanguinea,-79.5333,45
Amelanchier sanguinea,-80.1167,51.2833
Amelanchier sanguinea,-87.25,48.75
Amelanchier sanguinea,-79.85,43.6833
Amelanchier sanguinea,-92.3167,49.9167
Amelanchier sanguinea,-68.3667,47.4333
Amelanchier sanguinea,-77.1333,45.1333
Amelanchier sanguinea,-67.45,46.75
Amelanchier sanguinea,-67.35,45.15
Amelanchier sanguinea,-92.2833,50.3167
Amelanchier sanguinea,-89.5333,48.3667
Amelanchier sanguinea,-79.9833,43.8
Amelanchier sanguinea,-66.1333,47.4
Amelanchier sanguinea,-80.3333,45.5833
Amelanchier sanguinea,-85.8667,47.7
Amelanchier sanguinea,-77.0167,45.5167
Amelanchier sanguinea,-86.9833,48.6833
Amelanchier sanguinea,-65.0833,47.7833
Amelanchier sanguinea,-66.2667,47.3667
Amelanchier sanguinea,-73.55,45.566667
Amelanchier sanguinea,-71.347164,46.774119
Amelanchier sanguinea,-73.116667,51.216667
Amelanchier sanguinea,-73.152222,50.948333
Amelanchier sanguinea,-73.011944,51.095556
Amelanchier sanguinea,-78.768889,51.495556
Amelanchier sanguinea,-73.05,45.433333
Amelanchier sanguinea,-75.816667,45.4
Amelanchier sanguinea,-73.163889,45.552222
Amelanchier sanguinea,-74.3,45.483333
Amelanchier sanguinea,-73.233333,45.85
Amelanchier sanguinea,-74.633333,45.65
Amelanchier sanguinea,-70.616667,47.383333
Amelanchier sanguinea,-76.683333,48.933333
Amelanchier sanguinea,-74.316667,50.366667
Amelanchier sanguinea,-77.5,51.166667
Amelanchier sanguinea,-77.116667,51.233333
Amelanchier sanguinea,-74.183333,50.966667
Amelanchier sanguinea,-77.983333,51.25
Amelanchier sanguinea,-73.116667,46.033333
Amelanchier sanguinea,-75.65,45.483333
Amelanchier sanguinea,-76.189167,45.626667
Amelanchier sanguinea,-70,47.35
Amelanchier sanguinea,-73.8935,45.4027
Amelanchier sanguinea,-73.2585,45.3652
Amelanchier sanguinea,-73.6939,45.5422
Amelanchier sanguinea,-72.757222,47.426944
Amelanchier sanguinea,-67.7125,46.983333
Amelanchier sanguinea,-64.515191,48.016502
Amelanchier sanguinea,-70.889629,46.921393
Amelanchier sanguinea,-74.089909,45.459376
Amelanchier sanguinea,-73.98194,45.762417
