SPECIES,longitude,latitude
Arbutus menziesii,-123.188304,49.257599
Arbutus menziesii,-124.789258,49.273532
Arbutus menziesii,-124.55724,50.007001
Arbutus menziesii,-123.27246,48.567687
Arbutus menziesii,-124.800255,49.457192
Arbutus menziesii,-123.819884,49.186482
Arbutus menziesii,-123.777513,48.322913
Arbutus menziesii,-123.003824,49.302311
Arbutus menziesii,-124.26422,49.323708
Arbutus menziesii,-123.952185,49.228358
Arbutus menziesii,-124.099249,49.183093
Arbutus menziesii,-124.058267,49.611637
Arbutus menziesii,-123.784043,49.591281
Arbutus menziesii,-123.087922,48.797711
Arbutus menziesii,-125.113228,49.63763
Arbutus menziesii,-124.504852,49.29111
Arbutus menziesii,-124.719779,49.357553
Arbutus menziesii,-124.612891,49.795112
Arbutus menziesii,-123.732903,48.653099
Arbutus menziesii,-124.945663,49.251297
Arbutus menziesii,-124.193932,48.838722
Arbutus menziesii,-124.98742,50.034503
Arbutus menziesii,-124.971654,49.704438
Arbutus menziesii,-123.593973,48.839345
Arbutus menziesii,-125.124807,49.870724
Arbutus menziesii,-125.224838,50.126013
Arbutus menziesii,-123.822235,49.018947
Arbutus menziesii,-123.574832,49.01043
Arbutus menziesii,-122.826728,49.272878
Arbutus menziesii,-124.270443,49.462718
Arbutus menziesii,-123.94365,49.126336
Arbutus menziesii,-124.840761,50.12487
Arbutus menziesii,-124.881567,49.592605
Arbutus menziesii,-123.346448,48.491943
Arbutus menziesii,-122.667275,49.329789
Arbutus menziesii,-122.927055,49.199383
Arbutus menziesii,-122.754494,49.032069
Arbutus menziesii,-123.754308,49.470848
Arbutus menziesii,-124.120024,49.275549
Arbutus menziesii,-123.431796,49.34018
Arbutus menziesii,-124.348056,49.246111
Arbutus menziesii,-123.236078,49.556983
Arbutus menziesii,-123.739153,48.495312
Arbutus menziesii,-123.472405,49.433543
Arbutus menziesii,-125.007929,49.79439
Arbutus menziesii,-123.540206,48.74723
Arbutus menziesii,-124.215461,49.726569
Arbutus menziesii,-123.658478,48.409007
Arbutus menziesii,-123.468508,48.927175
Arbutus menziesii,-124.135188,49.517419
Arbutus menziesii,-124.857109,49.944401
Arbutus menziesii,-123.952583,49.67788
Arbutus menziesii,-125.157433,50.238998
Arbutus menziesii,-125.043769,50.184925
Arbutus menziesii,-124.759099,49.5436
Arbutus menziesii,-124.906889,50.239228
Arbutus menziesii,-124.675305,50.109147
Arbutus menziesii,-124.000533,48.815353
Arbutus menziesii,-123.82518,48.839146
Arbutus menziesii,-123.592651,48.652922
Arbutus menziesii,-124.125182,48.444963
Arbutus menziesii,-123.854696,48.43574
Arbutus menziesii,-124.034549,48.53836
Arbutus menziesii,-124.587494,49.517319
Arbutus menziesii,-123.288831,49.374699
Arbutus menziesii,-123.243155,48.42298
Arbutus menziesii,-123.702842,49.127914
Arbutus menziesii,-123.312456,48.871931
Arbutus menziesii,-123.396657,48.766442
Arbutus menziesii,-124.467912,49.808137
Arbutus menziesii,-125.113289,49.27887
Arbutus menziesii,-124.476472,49.90467
Arbutus menziesii,-123.641739,49.418468
Arbutus menziesii,-125.540035,49.674653
Arbutus menziesii,-124.726419,49.990798
Arbutus menziesii,-123.641747,48.317063
Arbutus menziesii,-123.989988,49.494312
Arbutus menziesii,-123.51535,48.521053
Arbutus menziesii,-123.249489,48.761292
Arbutus menziesii,-124.7,50.3
Arbutus menziesii,-124,49
Arbutus menziesii,-123,49
Arbutus menziesii,-123.46,49.53
Arbutus menziesii,-124.4,50.18
Arbutus menziesii,-124,49.333333
Arbutus menziesii,-122.58998,49.511573
Arbutus menziesii,-124.586267,49.382917
Arbutus menziesii,-123.277674,48.662453
Arbutus menziesii,-125.5,49.5
Arbutus menziesii,-123.71667,48.916667
Arbutus menziesii,-123.453659,48.612843
Arbutus menziesii,-123.45119,48.433978
