SPECIES,longitude,latitude
Arctostaphylos alpinus,-95.00020506,55.13328496
Arctostaphylos alpinus,-101.196389,51.550556
Arctostaphylos alpinus,-94.691972,56.257417
Arctostaphylos alpinus,-95.83357804,55.91662712
Arctostaphylos alpinus,-95.21021487,55.31995378
Arctostaphylos alpinus,-96.69225842,54.38293587
Arctostaphylos alpinus,-94.208333,56.458333
Arctostaphylos alpinus,-96.135606,49.099553
Arctostaphylos alpinus,-101.2401344,53.79685198
Arctostaphylos alpinus,-94.183333,58.783333
Arctostaphylos alpinus,-94.433333,54.85
Arctostaphylos alpinus,-92.305833,57.001667
Arctostaphylos alpinus,-95.21687752,54.89994805
Arctostaphylos alpinus,-94.085389,56.816722
Arctostaphylos alpinus,-97.8336504,55.73328224
Arctostaphylos alpinus,-77.383333,62.533333
Arctostaphylos alpinus,-63.216667,55.333333
Arctostaphylos alpinus,-58.966667,55.1
Arctostaphylos alpinus,-129.133333,59.85
Arctostaphylos alpinus,-139.366667,63.616667
Arctostaphylos alpinus,-140.05,63.7
Arctostaphylos alpinus,-85,66.833333
Arctostaphylos alpinus,-115.570444,51.178129
Arctostaphylos alpinus,-70.007967,60.016367
Arctostaphylos alpinus,-94.08,57.75
Arctostaphylos alpinus,-140.943164,68.655874
Arctostaphylos alpinus,-125.1,58.9
Arctostaphylos alpinus,-129.8,59.3
Arctostaphylos alpinus,-129.5,70
Arctostaphylos alpinus,-136.42,68.83
Arctostaphylos alpinus,-133.6,69.5
Arctostaphylos alpinus,-138.2,64.5
Arctostaphylos alpinus,-133.07,61.67
Arctostaphylos alpinus,-122.9,57.1
Arctostaphylos alpinus,-73.4,59.3
Arctostaphylos alpinus,-135.01,68.22
Arctostaphylos alpinus,-117.666667,70.666667
Arctostaphylos alpinus,-63.444167,51.283611
Arctostaphylos alpinus,-128.238611,58.729444
Arctostaphylos alpinus,-125.508333,59.002778
Arctostaphylos alpinus,-125.909444,59.035556
Arctostaphylos alpinus,-121.816667,58.291667
Arctostaphylos alpinus,-130.537222,59.239167
Arctostaphylos alpinus,-130.666667,57.733333
Arctostaphylos alpinus,-130.066667,58.633333
Arctostaphylos alpinus,-125.05,59.55
Arctostaphylos alpinus,-118.55,52.883333
Arctostaphylos alpinus,-72.5,64
Arctostaphylos alpinus,-55.78,53.45
Arctostaphylos alpinus,-114.77,68.78
Arctostaphylos alpinus,-136.13,68.27
Arctostaphylos alpinus,-65.5,62.5
Arctostaphylos alpinus,-65.45,61.6
Arctostaphylos alpinus,-68.38,58.12
Arctostaphylos alpinus,-94.0886,61.1121
Arctostaphylos alpinus,-101.7507453,66.83349302
Arctostaphylos alpinus,-128.933,69.9333
Arctostaphylos alpinus,-68.4917,63.7417
Arctostaphylos alpinus,-95.6614,64.1167
Arctostaphylos alpinus,-63.8,59.3667
Arctostaphylos alpinus,-90.75012028,63.33343392
Arctostaphylos alpinus,-70.9,53.2
Arctostaphylos alpinus,-64.71549205,66.75018288
Arctostaphylos alpinus,-118.033,71.1
Arctostaphylos alpinus,-76.52053871,64.23295881
