SPECIES,longitude,latitude
Cornus nuttallii,-123.965327,49.712877
Cornus nuttallii,-122.646441,49.1086
Cornus nuttallii,-122.922778,49.288333
Cornus nuttallii,-122.809607,50.300954
Cornus nuttallii,-124.270839,49.318631
Cornus nuttallii,-123.61145,49.430113
Cornus nuttallii,-123.822328,49.030322
Cornus nuttallii,-123.789335,49.157775
Cornus nuttallii,-125.618331,49.791439
Cornus nuttallii,-125.572703,49.673016
Cornus nuttallii,-124.674359,49.501559
Cornus nuttallii,-123.480956,49.39176
Cornus nuttallii,-123.234139,49.459253
Cornus nuttallii,-124.921373,49.334988
Cornus nuttallii,-124.896961,49.684776
Cornus nuttallii,-125.312924,50.044472
Cornus nuttallii,-125.436627,49.42234
Cornus nuttallii,-124.949135,49.246979
Cornus nuttallii,-123.737403,48.651522
Cornus nuttallii,-121.719545,49.246276
Cornus nuttallii,-122.915229,50.218641
Cornus nuttallii,-124.786273,49.273112
Cornus nuttallii,-121.413772,49.706947
Cornus nuttallii,-123.712445,48.429897
Cornus nuttallii,-125.189636,49.621501
Cornus nuttallii,-122.547081,49.341378
Cornus nuttallii,-122.453918,50.195766
Cornus nuttallii,-121.840212,49.430112
Cornus nuttallii,-124.446533,48.928317
Cornus nuttallii,-121.862407,49.554118
Cornus nuttallii,-125.153404,49.870323
Cornus nuttallii,-124.842584,49.518255
Cornus nuttallii,-123.17406,49.907954
Cornus nuttallii,-123.411605,48.760947
Cornus nuttallii,-123.391415,48.508158
Cornus nuttallii,-123.148938,49.187782
Cornus nuttallii,-123.589789,48.827515
Cornus nuttallii,-121.948851,49.25828
Cornus nuttallii,-121.435159,49.389397
Cornus nuttallii,-123.258567,49.268525
Cornus nuttallii,-123.3293,48.420297
Cornus nuttallii,-123.92482,48.7774
Cornus nuttallii,-123.42866,48.648103
Cornus nuttallii,-123.705414,49.077553
Cornus nuttallii,-123.76271,49.480476
Cornus nuttallii,-125.549555,49.576898
Cornus nuttallii,-124.18598,49.09427
Cornus nuttallii,-125.07193,49.71331
Cornus nuttallii,-123.566358,48.461539
Cornus nuttallii,-123.113823,49.740949
Cornus nuttallii,-124.681057,50.108081
Cornus nuttallii,-122.481447,49.021024
Cornus nuttallii,-122.365608,49.925888
Cornus nuttallii,-121.748642,49.352605
Cornus nuttallii,-123.642765,48.735684
Cornus nuttallii,-125.003048,49.606351
Cornus nuttallii,-123.956023,49.140054
Cornus nuttallii,-123.765663,48.779787
Cornus nuttallii,-124.580301,49.291524
Cornus nuttallii,-124.054167,48.825812
Cornus nuttallii,-125.198771,53.710305
Cornus nuttallii,-123.549272,48.557603
Cornus nuttallii,-123.548554,48.362114
Cornus nuttallii,-124.205872,48.841795
Cornus nuttallii,-125.652328,49.893047
Cornus nuttallii,-125.134383,48.834236
Cornus nuttallii,-125.207662,49.28802
Cornus nuttallii,-123.387012,48.878028
Cornus nuttallii,-122,49
Cornus nuttallii,-121,49
Cornus nuttallii,-123.1,49.3
Cornus nuttallii,-124,49
Cornus nuttallii,-123,49
Cornus nuttallii,-122,49.1
Cornus nuttallii,-121.1,52.3
Cornus nuttallii,-124.5,49.9
Cornus nuttallii,-123.3,48.616667
Cornus nuttallii,-123.333333,50.608333
Cornus nuttallii,-123.33,49.38
Cornus nuttallii,-122.724607,49.282078
Cornus nuttallii,-123.542719,48.97064
Cornus nuttallii,-124.098644,49.240382
