SPECIES,longitude,latitude
Cornus sericea,-124.416566,48.576849
Cornus sericea,-128.571656,54.354492
Cornus sericea,-119.563714,49.447372
Cornus sericea,-127.03965,54.703908
Cornus sericea,-122.340653,56.1436
Cornus sericea,-83.946111,46.063611
Cornus sericea,-95.388278,50.671267
Cornus sericea,-122.726363,49.19135
Cornus sericea,-119.145802,50.218591
Cornus sericea,-121.951347,49.936069
Cornus sericea,-122.353234,50.386933
Cornus sericea,-122.307608,49.047097
Cornus sericea,-73.168312,45.979733
Cornus sericea,-129.189911,56.066093
Cornus sericea,-128.353972,54.868814
Cornus sericea,-83.75424,46.961938
Cornus sericea,-128.607911,54.1111
Cornus sericea,-119.475506,49.52523
Cornus sericea,-129.053253,59.391972
Cornus sericea,-128.308381,55.001756
Cornus sericea,-66.306944,47.985278
Cornus sericea,-124.010506,54.025775
Cornus sericea,-112.369913,54.175012
Cornus sericea,-127.686569,55.197201
Cornus sericea,-125.770058,58.938717
Cornus sericea,-60.908458,46.084797
Cornus sericea,-112.943262,51.301013
Cornus sericea,-122.702301,54.483402
Cornus sericea,-97.244655,49.854683
Cornus sericea,-122.662422,50.560841
Cornus sericea,-125.895859,59.161003
Cornus sericea,-114.356924,50.751805
Cornus sericea,-122.554749,55.502148
Cornus sericea,-122.721717,55.449394
Cornus sericea,-113.79985,52.390767
Cornus sericea,-121.408369,50.531388
Cornus sericea,-81.619745,45.298692
Cornus sericea,-119.019146,50.661735
Cornus sericea,-112.791912,53.481126
Cornus sericea,-121.876119,49.313269
Cornus sericea,-79.025215,47.429855
Cornus sericea,-73.678323,45.605052
Cornus sericea,-111.310822,56.562996
Cornus sericea,-122.758965,50.322551
Cornus sericea,-60.312378,53.294427
Cornus sericea,-121.757141,49.988239
Cornus sericea,-119.0495,49.045597
Cornus sericea,-64.879618,47.674903
Cornus sericea,-122.608635,49.340901
Cornus sericea,-122.901727,58.826629
Cornus sericea,-121.697845,55.810429
Cornus sericea,-73.58007,45.511478
Cornus sericea,-139.431381,64.065558
Cornus sericea,-120.986496,56.306122
Cornus sericea,-70.837544,46.892386
Cornus sericea,-97.485495,50.333237
Cornus sericea,-68.396446,47.436199
Cornus sericea,-100.17468,49.813078
Cornus sericea,-99.285112,49.665122
Cornus sericea,-117.395701,60.886241
Cornus sericea,-120.578353,49.339058
Cornus sericea,-98.293847,49.96722
Cornus sericea,-79.224992,45.553688
Cornus sericea,-112.86274,51.508822
Cornus sericea,-80.547767,42.682544
Cornus sericea,-119.673876,50.439094
Cornus sericea,-114.354711,53.446499
Cornus sericea,-77.447746,43.977253
Cornus sericea,-106.651328,52.276188
Cornus sericea,-115.736267,49.788064
Cornus sericea,-114.093247,52.311372
Cornus sericea,-79.430068,43.94869
Cornus sericea,-110.074938,54.720704
Cornus sericea,-76.249352,44.897994
Cornus sericea,-70.780579,47.076904
Cornus sericea,-76.270677,44.79363
Cornus sericea,-106.016342,53.33688
Cornus sericea,-121.512222,50.638908
Cornus sericea,-134.687929,60.1795
Cornus sericea,-116.093964,49.080081
Cornus sericea,-83.146654,45.872269
Cornus sericea,-119.445183,50.175322
Cornus sericea,-73.34513,45.315413
Cornus sericea,-119.233025,53.028525
Cornus sericea,-80.860055,48.555593
Cornus sericea,-62.033981,45.636731
Cornus sericea,-115.932419,50.782025
Cornus sericea,-115.233628,49.244819
Cornus sericea,-119.042553,49.322928
Cornus sericea,-79.699038,47.740138
Cornus sericea,-75.882233,46.058167
Cornus sericea,-69.797734,47.525552
Cornus sericea,-125.5513,53.977539
Cornus sericea,-96.392783,50.452853
Cornus sericea,-114.364667,62.462322
Cornus sericea,-114.133764,50.927522
Cornus sericea,-95.307748,50.472562
Cornus sericea,-55.952517,49.585899
Cornus sericea,-120.027615,55.53113
Cornus sericea,-113.403736,53.470568
Cornus sericea,-80.528908,43.421508
Cornus sericea,-114.066261,53.682148
Cornus sericea,-125.534303,49.597678
Cornus sericea,-110.232635,54.6331
Cornus sericea,-77.266997,49.890509
Cornus sericea,-95.998213,50.399975
Cornus sericea,-52.722758,47.675645
Cornus sericea,-126.657188,54.401747
Cornus sericea,-95.510857,50.038901
Cornus sericea,-114.458183,53.566816
Cornus sericea,-114.907272,60.715625
Cornus sericea,-115.834544,49.371917
Cornus sericea,-88.544017,48.80552
Cornus sericea,-116.436006,51.422565
Cornus sericea,-124.195044,48.838108
Cornus sericea,-89.492582,48.456149
Cornus sericea,-66.240278,47.366944
Cornus sericea,-99.961078,50.654584
Cornus sericea,-128.559959,53.450376
Cornus sericea,-73.332087,45.639644
Cornus sericea,-80.527705,45.401559
Cornus sericea,-97.910966,49.221997
Cornus sericea,-80.97812,46.600932
Cornus sericea,-111.438409,56.749092
Cornus sericea,-93.862708,51.035058
Cornus sericea,-102.297452,50.657846
Cornus sericea,-120.613562,49.624426
Cornus sericea,-110.137561,54.462635
Cornus sericea,-128.576805,54.495588
Cornus sericea,-64.761508,48.229322
Cornus sericea,-122.352128,49.139011
Cornus sericea,-79.647225,43.992156
Cornus sericea,-118.975759,55.269031
Cornus sericea,-106.581375,52.16275
Cornus sericea,-64.156386,46.695039
Cornus sericea,-124.801566,49.481647
Cornus sericea,-123.362458,48.730122
Cornus sericea,-116.902205,55.406552
Cornus sericea,-103.588956,52.494094
Cornus sericea,-113.005768,53.377903
Cornus sericea,-61.927828,47.244375
Cornus sericea,-121.415244,49.315567
Cornus sericea,-81.63136,49.282742
Cornus sericea,-84.827497,47.583133
Cornus sericea,-84.711088,46.966258
Cornus sericea,-113.973893,52.967533
Cornus sericea,-110.640422,50.044724
Cornus sericea,-136.279281,62.053644
Cornus sericea,-63.934341,45.608277
Cornus sericea,-70.963333,46.976389
Cornus sericea,-120.20198,51.426996
Cornus sericea,-100.31237,51.839559
Cornus sericea,-114.150133,52.959217
Cornus sericea,-60.388444,46.025767
Cornus sericea,-64.037238,46.948761
Cornus sericea,-120.279663,49.695983
Cornus sericea,-65.818292,47.752751
Cornus sericea,-113.618792,53.665323
Cornus sericea,-64.968613,47.790272
Cornus sericea,-97.246679,49.958415
Cornus sericea,-96.930725,50.017053
Cornus sericea,-100.229874,51.944901
Cornus sericea,-97.477347,49.861838
Cornus sericea,-139.866667,67.562575
Cornus sericea,-99.905812,51.13443
Cornus sericea,-96.364807,51.179452
Cornus sericea,-88.97445,48.508812
Cornus sericea,-125.969901,49.736182
Cornus sericea,-60.8144,45.968516
Cornus sericea,-114.233499,51.116878
Cornus sericea,-114.03208,53.054045
Cornus sericea,-95.524799,49.928832
Cornus sericea,-120.615745,50.017097
Cornus sericea,-101.289825,49.091003
Cornus sericea,-99.855077,51.249873
Cornus sericea,-66.88832,45.87532
Cornus sericea,-95.579805,51.855443
Cornus sericea,-60.347242,46.231617
Cornus sericea,-67.628724,46.178956
Cornus sericea,-80.797147,42.669432
Cornus sericea,-99.766403,50.488697
Cornus sericea,-96.635271,51.172845
Cornus sericea,-112.801275,52.477328
Cornus sericea,-100.052439,51.156417
Cornus sericea,-108.961035,53.391065
Cornus sericea,-96.873886,51.111864
Cornus sericea,-66.773791,44.684434
Cornus sericea,-113.425505,50.831194
Cornus sericea,-99.86985,51.030228
Cornus sericea,-83.575576,46.288189
Cornus sericea,-76.942275,44.255078
Cornus sericea,-137.02623,63.5039
Cornus sericea,-76.6232,44.175556
Cornus sericea,-65.079167,45.625556
Cornus sericea,-113.923462,53.555813
Cornus sericea,-62.850632,46.016623
Cornus sericea,-78.200615,44.356537
Cornus sericea,-64.192694,46.921073
Cornus sericea,-58.4067,48.370853
Cornus sericea,-65.509266,44.744971
Cornus sericea,-80.585572,44.372493
Cornus sericea,-113.953628,53.318283
Cornus sericea,-90.469891,48.83685
Cornus sericea,-77.431816,44.140121
Cornus sericea,-71.741704,46.679923
Cornus sericea,-77.3126,44.473903
Cornus sericea,-120.225331,52.211833
Cornus sericea,-91.553078,49.466938
Cornus sericea,-98.777605,51.012021
Cornus sericea,-88.650398,48.669258
Cornus sericea,-115.859345,60.743008
Cornus sericea,-78.2747,44.972806
Cornus sericea,-82.00091,45.964171
Cornus sericea,-112.424164,54.630568
Cornus sericea,-66.779259,44.793397
Cornus sericea,-70.54052,47.479797
Cornus sericea,-79.941396,43.774738
Cornus sericea,-121.143934,53.725838
Cornus sericea,-74.153969,45.236443
Cornus sericea,-140.533346,64.420532
Cornus sericea,-129.975234,55.951675
Cornus sericea,-63.869155,45.722565
Cornus sericea,-106.712769,51.977803
Cornus sericea,-125.421932,49.412625
Cornus sericea,-83.651384,49.681888
Cornus sericea,-106.293692,53.971672
Cornus sericea,-123.705261,49.078486
Cornus sericea,-124.942604,49.346245
Cornus sericea,-82.355776,48.707157
Cornus sericea,-121.751953,49.19695
Cornus sericea,-114.027144,49.130706
Cornus sericea,-80.9888,42.774558
Cornus sericea,-117.883757,52.665226
Cornus sericea,-79.908933,46.079479
Cornus sericea,-139.905273,64.299798
Cornus sericea,-106.561489,52.051855
Cornus sericea,-81.625267,42.594853
Cornus sericea,-124.46429,49.654315
Cornus sericea,-62.078747,45.45575
Cornus sericea,-115.115271,52.375717
Cornus sericea,-113.784327,53.609518
Cornus sericea,-119.295012,50.113821
Cornus sericea,-135.801513,62.162292
Cornus sericea,-87.287884,51.27073
Cornus sericea,-124.487421,49.914739
Cornus sericea,-124.642222,49.894722
Cornus sericea,-60.520393,45.914137
Cornus sericea,-64.77742,45.778184
Cornus sericea,-70.878194,45.575957
Cornus sericea,-63.607605,45.060423
Cornus sericea,-60.640648,46.147065
Cornus sericea,-117.601016,53.391365
Cornus sericea,-107.620367,53.279685
Cornus sericea,-61.819198,45.60566
Cornus sericea,-64.850433,46.12825
Cornus sericea,-80.242542,48.186391
Cornus sericea,-106.694433,52.094919
Cornus sericea,-71.373889,46.794722
Cornus sericea,-76.444934,44.847286
Cornus sericea,-67.312131,46.205074
Cornus sericea,-63.734817,44.5677
Cornus sericea,-63.477772,46.237445
Cornus sericea,-119.581808,49.684986
Cornus sericea,-76.32466,45.434713
Cornus sericea,-119.739998,49.700001
Cornus sericea,-123.039374,49.013487
Cornus sericea,-65.869087,47.90662
Cornus sericea,-81.257351,44.626045
Cornus sericea,-76.137563,44.444097
Cornus sericea,-64.910629,45.619579
Cornus sericea,-125.590231,50.03256
Cornus sericea,-65.210967,47.802377
Cornus sericea,-114.989762,53.217912
Cornus sericea,-92.27938,51.38852
Cornus sericea,-80.140944,43.3891
Cornus sericea,-81.290761,48.604783
Cornus sericea,-113.536331,53.422344
Cornus sericea,-122.933226,49.148342
Cornus sericea,-63.476573,44.663233
Cornus sericea,-128.696762,54.034767
Cornus sericea,-125.576546,50.12544
