SPECIES,longitude,latitude
Crataegus crus-galli,-79.108527,43.046764
Crataegus crus-galli,-78.742034,44.339271
Crataegus crus-galli,-79.89979,43.285323
Crataegus crus-galli,-81.9488,42.994536
Crataegus crus-galli,-79.805442,43.207
Crataegus crus-galli,-81.166725,42.81181
Crataegus crus-galli,-79.730098,42.999608
Crataegus crus-galli,-81.625896,42.978415
Crataegus crus-galli,-82.25522,42.999987
Crataegus crus-galli,-73.419966,45.022796
Crataegus crus-galli,-79.380653,43.132739
Crataegus crus-galli,-79.218072,43.087667
Crataegus crus-galli,-78.319747,44.309032
Crataegus crus-galli,-79.066667,43.25
Crataegus crus-galli,-82.97,42.12
Crataegus crus-galli,-81.796128,43.077973
Crataegus crus-galli,-80.501632,43.508655
Crataegus crus-galli,-79.535767,43.790264
Crataegus crus-galli,-81.776037,42.631897
Crataegus crus-galli,-81.051983,42.712101
Crataegus crus-galli,-80.235125,43.523953
Crataegus crus-galli,-82.377778,42.939444
Crataegus crus-galli,-81.533333,42.8
Crataegus crus-galli,-79.342232,43.748683
Crataegus crus-galli,-82.996254,42.287125
Crataegus crus-galli,-82.52269,41.950327
Crataegus crus-galli,-79.054344,43.15932
Crataegus crus-galli,-81.270696,42.971292
Crataegus crus-galli,-76.900445,43.932344
Crataegus crus-galli,-77.6667,44
Crataegus crus-galli,-82.633255,41.755378
Crataegus crus-galli,-74.130786,45.308714
Crataegus crus-galli,-81.67,42.72
Crataegus crus-galli,-81.93,42.65
Crataegus crus-galli,-81.8,42.78
Crataegus crus-galli,-81.42,43.15
Crataegus crus-galli,-81.72,42.48
Crataegus crus-galli,-75.100306,45.847878
Crataegus crus-galli,-73.724291,45.372716
Crataegus crus-galli,-73.5,45.41667
Crataegus crus-galli,-73.49008,45.54048
