SPECIES,longitude,latitude
Crataegus holmesiana,-73.419476,45.527423
Crataegus holmesiana,-73.780106,45.339519
Crataegus holmesiana,-79.827632,43.235375
Crataegus holmesiana,-73.423089,45.023194
Crataegus holmesiana,-73.844428,45.515103
Crataegus holmesiana,-73.527888,45.399842
Crataegus holmesiana,-73.263912,45.4525
Crataegus holmesiana,-79.966667,45.25
Crataegus holmesiana,-79.65,43.6
Crataegus holmesiana,-77.12,43.85
Crataegus holmesiana,-81.48,42.75
Crataegus holmesiana,-81.42,42.95
Crataegus holmesiana,-81.67,44.1
Crataegus holmesiana,-79.3,42.97
Crataegus holmesiana,-81.63,45.08
Crataegus holmesiana,-81.87,42.75
Crataegus holmesiana,-74.63,45.08
Crataegus holmesiana,-81.45,44.37
Crataegus holmesiana,-79.97,80.25
Crataegus holmesiana,-73.637119,45.648492
Crataegus holmesiana,-73.681487,45.410785
