SPECIES,longitude,latitude
Crataegus macracantha,-73.628333,45.659631
Crataegus macracantha,-118.274978,49.010547
Crataegus macracantha,-73.780639,45.340574
Crataegus macracantha,-73.932158,45.470039
Crataegus macracantha,-73.539283,45.372364
Crataegus macracantha,-72.921654,45.630225
Crataegus macracantha,-75.74075,45.372483
Crataegus macracantha,-79.500285,47.375312
Crataegus macracantha,-73.806617,45.452122
Crataegus macracantha,-73.037775,45.07804
Crataegus macracantha,-73.393761,45.033803
Crataegus macracantha,-79.405916,47.250322
Crataegus macracantha,-119.113956,50.550616
Crataegus macracantha,-119.228429,50.408014
Crataegus macracantha,-73.469287,45.543815
Crataegus macracantha,-67.07924,45.094945
Crataegus macracantha,-71.916516,45.369014
Crataegus macracantha,-84.75,47
Crataegus macracantha,-78.438398,44.477042
Crataegus macracantha,-71.214966,46.836416
