SPECIES,longitude,latitude
Crataegus rubribracteolata,-109.481001,49.813827
Crataegus rubribracteolata,-109.479167,49.9825
Crataegus rubribracteolata,-109.030833,49.869167
Crataegus rubribracteolata,-110.416667,49.625
Crataegus rubribracteolata,-109.458333,49.68
Crataegus rubribracteolata,-109.186111,49.550556
Crataegus rubribracteolata,-110.050278,49.735472
Crataegus rubribracteolata,-109.638056,49.772222
Crataegus rubribracteolata,-109.785833,49.603611
Crataegus rubribracteolata,-109.867222,49.686667
Crataegus rubribracteolata,-113.833583,53.1116
Crataegus rubribracteolata,-110.616667,49.45
Crataegus rubribracteolata,-110.916667,49.616667
