SPECIES,longitude,latitude
Gaultheria hispidula,-52.690956,47.532994
Gaultheria hispidula,-65.168661,44.098915
Gaultheria hispidula,-71.295263,48.778538
Gaultheria hispidula,-64.373267,49.82669
Gaultheria hispidula,-63.847866,44.899993
Gaultheria hispidula,-76.2125,46.788278
Gaultheria hispidula,-53.519955,47.630088
Gaultheria hispidula,-84.808116,47.541621
Gaultheria hispidula,-70.811119,47.672261
Gaultheria hispidula,-64.727873,44.374726
Gaultheria hispidula,-80.191357,45.357735
Gaultheria hispidula,-86.305173,48.589081
Gaultheria hispidula,-121.696606,54.011171
Gaultheria hispidula,-79.710756,44.875637
Gaultheria hispidula,-52.808117,47.729058
Gaultheria hispidula,-82.814069,47.136637
Gaultheria hispidula,-122.717108,54.485067
Gaultheria hispidula,-70.277849,49.122842
Gaultheria hispidula,-81.446547,46.920488
Gaultheria hispidula,-60.34927,46.818153
Gaultheria hispidula,-60.292022,46.088997
Gaultheria hispidula,-81.833801,46.248173
Gaultheria hispidula,-61.951388,45.348195
Gaultheria hispidula,-80.563563,44.202822
Gaultheria hispidula,-79.422732,46.343207
Gaultheria hispidula,-70.548302,47.607422
Gaultheria hispidula,-74.162619,46.110672
Gaultheria hispidula,-95.602346,49.628983
Gaultheria hispidula,-79.774713,47.060153
Gaultheria hispidula,-84.633159,47.46025
Gaultheria hispidula,-63.850022,44.765892
Gaultheria hispidula,-80.444382,47.771767
Gaultheria hispidula,-62.103292,46.46972
Gaultheria hispidula,-64.175338,44.595992
Gaultheria hispidula,-78.575745,45.010883
Gaultheria hispidula,-78.549908,45.142422
Gaultheria hispidula,-70.503502,46.263657
Gaultheria hispidula,-79.767189,47.155631
Gaultheria hispidula,-96.220151,50.185984
Gaultheria hispidula,-60.766667,46.216667
Gaultheria hispidula,-62.588191,45.299167
Gaultheria hispidula,-90.407769,48.639685
Gaultheria hispidula,-61.356583,45.630878
Gaultheria hispidula,-79.878732,48.323485
Gaultheria hispidula,-66.228133,44.364328
Gaultheria hispidula,-63.729655,44.575702
Gaultheria hispidula,-63.029329,45.414336
Gaultheria hispidula,-81.553437,45.144303
Gaultheria hispidula,-78.369492,45.589955
Gaultheria hispidula,-64.166633,48.493212
Gaultheria hispidula,-84.565332,47.276111
Gaultheria hispidula,-78.712297,45.937688
Gaultheria hispidula,-80.235542,47.760905
Gaultheria hispidula,-65.505255,47.424492
Gaultheria hispidula,-52.859876,47.219917
Gaultheria hispidula,-64.053013,44.553148
Gaultheria hispidula,-88.770473,48.439388
Gaultheria hispidula,-62.633422,46.109211
Gaultheria hispidula,-60.158253,46.127389
Gaultheria hispidula,-60.836253,46.712955
Gaultheria hispidula,-53.784405,48.10463
Gaultheria hispidula,-60.648955,46.5588
Gaultheria hispidula,-83.682037,49.710637
Gaultheria hispidula,-70.473265,47.877735
Gaultheria hispidula,-75.174728,49.608713
Gaultheria hispidula,-65.334425,47.652352
Gaultheria hispidula,-62.336898,45.313262
Gaultheria hispidula,-80.232742,48.51758
Gaultheria hispidula,-71.886085,47.05012
Gaultheria hispidula,-61.950603,45.199207
Gaultheria hispidula,-83.398606,47.709472
Gaultheria hispidula,-66.725777,44.666422
Gaultheria hispidula,-60.538461,46.378506
Gaultheria hispidula,-64.630041,46.303259
Gaultheria hispidula,-76.564313,44.832438
Gaultheria hispidula,-73.878411,46.14211
Gaultheria hispidula,-61.53374,45.325781
Gaultheria hispidula,-100.25,50.883333
Gaultheria hispidula,-95.9,49.866667
Gaultheria hispidula,-93.633333,54.216667
Gaultheria hispidula,-94.782417,53.604694
Gaultheria hispidula,-94.945833,53.908333
Gaultheria hispidula,-95.188056,49.032222
Gaultheria hispidula,-97.870278,53.696944
Gaultheria hispidula,-78.696847,45.18652
Gaultheria hispidula,-89.014754,48.815384
Gaultheria hispidula,-77.401297,47.716553
Gaultheria hispidula,-79.115669,47.849432
Gaultheria hispidula,-79.819345,46.722533
Gaultheria hispidula,-74.478722,46.045338
Gaultheria hispidula,-89.215767,50.537464
Gaultheria hispidula,-78.809789,47.892387
Gaultheria hispidula,-87.398318,48.84654
Gaultheria hispidula,-60.572563,45.956008
Gaultheria hispidula,-60.50227,46.040303
Gaultheria hispidula,-62.235486,45.113867
Gaultheria hispidula,-79.701822,43.910819
Gaultheria hispidula,-66.491996,45.404128
Gaultheria hispidula,-82.867967,47.536282
Gaultheria hispidula,-96.566993,50.419295
Gaultheria hispidula,-76.127548,47.12797
Gaultheria hispidula,-71.477836,47.34288
Gaultheria hispidula,-91.156243,48.656188
Gaultheria hispidula,-93.479917,49.899278
Gaultheria hispidula,-92.126262,49.999968
Gaultheria hispidula,-63.91307,44.619575
Gaultheria hispidula,-81.754661,45.374245
Gaultheria hispidula,-79.186958,46.846428
Gaultheria hispidula,-63.909713,46.442475
Gaultheria hispidula,-73.195179,46.413703
Gaultheria hispidula,-84.686526,47.176114
Gaultheria hispidula,-68.839536,47.751628
Gaultheria hispidula,-68.460124,47.650335
Gaultheria hispidula,-74.712905,46.313922
Gaultheria hispidula,-71.034745,46.783498
Gaultheria hispidula,-79.36777,45.892593
Gaultheria hispidula,-121.162852,53.048202
Gaultheria hispidula,-72.32175,45.309636
Gaultheria hispidula,-83.846787,46.252032
Gaultheria hispidula,-70.659619,48.712746
Gaultheria hispidula,-91.47902,51.1769
Gaultheria hispidula,-91.652663,51.247142
Gaultheria hispidula,-64.882681,47.761159
Gaultheria hispidula,-71.84097,46.379615
Gaultheria hispidula,-74.649788,46.475288
Gaultheria hispidula,-86.534376,49.789238
Gaultheria hispidula,-76.050072,45.241792
Gaultheria hispidula,-90.575937,48.234712
Gaultheria hispidula,-96.905898,50.033703
Gaultheria hispidula,-62.769772,46.320553
Gaultheria hispidula,-66.484138,45.622905
Gaultheria hispidula,-69.97757,51.000472
Gaultheria hispidula,-78.334987,46.222868
Gaultheria hispidula,-70.178208,50.708687
Gaultheria hispidula,-92.08783,51.231911
Gaultheria hispidula,-67.315745,46.198015
Gaultheria hispidula,-80.012458,44.5143
Gaultheria hispidula,-70.750695,47.097606
Gaultheria hispidula,-60.274083,46.2227
Gaultheria hispidula,-72.0998,46.813278
Gaultheria hispidula,-64.98529,47.526632
Gaultheria hispidula,-113.494627,55.60974
Gaultheria hispidula,-65.912151,44.616497
Gaultheria hispidula,-60.672805,46.326908
Gaultheria hispidula,-96.281208,50.017296
Gaultheria hispidula,-65.588015,44.510594
Gaultheria hispidula,-64.58714,44.435398
Gaultheria hispidula,-87.115839,52.875849
Gaultheria hispidula,-70.501892,47.406597
Gaultheria hispidula,-84.80918,47.72567
Gaultheria hispidula,-59.973433,46.080972
Gaultheria hispidula,-63.685836,44.733761
Gaultheria hispidula,-65.608204,44.723906
Gaultheria hispidula,-67.34607,46.40495
Gaultheria hispidula,-60.245955,45.979338
Gaultheria hispidula,-63.285625,45.406447
Gaultheria hispidula,-79.318953,45.203793
Gaultheria hispidula,-84.511597,47.531625
Gaultheria hispidula,-65.426772,43.918053
Gaultheria hispidula,-79.137854,44.998999
Gaultheria hispidula,-74.401817,45.548258
Gaultheria hispidula,-60.635132,46.161912
Gaultheria hispidula,-62.658907,44.789278
Gaultheria hispidula,-84.790997,48.934662
Gaultheria hispidula,-63.56775,44.83547
Gaultheria hispidula,-64.801982,44.619641
Gaultheria hispidula,-79.488335,44.593887
Gaultheria hispidula,-78.86639,45.024145
Gaultheria hispidula,-60.538262,46.235088
Gaultheria hispidula,-61.16663,45.952142
Gaultheria hispidula,-72.192061,47.104372
Gaultheria hispidula,-64.885343,43.847573
Gaultheria hispidula,-64.670807,44.952843
Gaultheria hispidula,-76.227159,45.70822
Gaultheria hispidula,-53.337001,48.36903
Gaultheria hispidula,-115.868613,54.75337
Gaultheria hispidula,-61.266453,45.867195
Gaultheria hispidula,-61.943455,45.10835
Gaultheria hispidula,-62.531808,45.660887
Gaultheria hispidula,-90.200625,48.941193
Gaultheria hispidula,-60.128722,45.821595
Gaultheria hispidula,-90.090494,49.084219
Gaultheria hispidula,-89.534281,48.029897
Gaultheria hispidula,-65.636131,45.478964
Gaultheria hispidula,-71.14326,47.323404
Gaultheria hispidula,-60.021725,45.97662
Gaultheria hispidula,-74.235562,49.386579
Gaultheria hispidula,-71.74933,45.344972
Gaultheria hispidula,-79.955555,43.44031
Gaultheria hispidula,-56.945444,50.860722
Gaultheria hispidula,-68.113581,51.639473
Gaultheria hispidula,-68.541239,48.26414
Gaultheria hispidula,-77.22743,45.153387
Gaultheria hispidula,-62.698283,46.237663
Gaultheria hispidula,-73.012435,46.660346
Gaultheria hispidula,-69.807888,47.556943
Gaultheria hispidula,-78.984257,46.783861
Gaultheria hispidula,-121.557024,53.89082
Gaultheria hispidula,-63.313242,44.944435
Gaultheria hispidula,-60.020222,45.87905
Gaultheria hispidula,-70.278261,48.162808
Gaultheria hispidula,-69.529337,47.834913
Gaultheria hispidula,-75.768964,45.684358
Gaultheria hispidula,-66.062103,45.316945
Gaultheria hispidula,-66.095216,43.936631
Gaultheria hispidula,-59.853486,45.960856
Gaultheria hispidula,-73.715052,46.402156
Gaultheria hispidula,-54.179872,49.613776
Gaultheria hispidula,-60.375796,53.434041
Gaultheria hispidula,-70.502634,46.927028
Gaultheria hispidula,-70.521986,47.732056
Gaultheria hispidula,-72.147075,49.025524
Gaultheria hispidula,-71.379095,47.017989
Gaultheria hispidula,-71.891458,48.679982
Gaultheria hispidula,-61.919705,47.356243
