SPECIES,longitude,latitude
Gaylussacia bigeloviana,-65.082445,43.997127
Gaylussacia bigeloviana,-64.047321,45.907958
Gaylussacia bigeloviana,-65.41928,44.717328
Gaylussacia bigeloviana,-66.230931,44.364383
Gaylussacia bigeloviana,-65.49598,43.680273
Gaylussacia bigeloviana,-65.516472,43.580013
Gaylussacia bigeloviana,-66.205849,44.100784
Gaylussacia bigeloviana,-61.925897,47.24214
Gaylussacia bigeloviana,-65.299379,46.976389
Gaylussacia bigeloviana,-66.765337,44.674258
Gaylussacia bigeloviana,-64.799054,44.427399
Gaylussacia bigeloviana,-64.150296,45.967241
Gaylussacia bigeloviana,-65.853329,44.584886
Gaylussacia bigeloviana,-60.137719,45.832613
Gaylussacia bigeloviana,-64.814667,45.013069
Gaylussacia bigeloviana,-52.987778,47.425835
Gaylussacia bigeloviana,-63.93248,44.50608
Gaylussacia bigeloviana,-56.747064,47.579759
Gaylussacia bigeloviana,-63.449108,44.593729
Gaylussacia bigeloviana,-63.718849,44.458796
Gaylussacia bigeloviana,-62.146289,46.404705
Gaylussacia bigeloviana,-65.042006,46.809824
Gaylussacia bigeloviana,-60.639365,45.961127
Gaylussacia bigeloviana,-64.863838,45.457746
Gaylussacia bigeloviana,-64.530617,47.96405
Gaylussacia bigeloviana,-64.845017,43.830475
Gaylussacia bigeloviana,-63.429895,44.46585
Gaylussacia bigeloviana,-63.764966,44.639745
Gaylussacia bigeloviana,-64.580666,44.944759
Gaylussacia bigeloviana,-65.743181,43.980743
Gaylussacia bigeloviana,-60.828056,46.741665
Gaylussacia bigeloviana,-64.583333,47.833333
Gaylussacia bigeloviana,-64.1833,48.625
Gaylussacia bigeloviana,-65.055956,43.791251
Gaylussacia bigeloviana,-66.365833,44.266667
Gaylussacia bigeloviana,-59.97093,45.92275
Gaylussacia bigeloviana,-58.5833,48.55
Gaylussacia bigeloviana,-65.342094,44.346795
Gaylussacia bigeloviana,-69.95,47.47
Gaylussacia bigeloviana,-57.86562158,49.78318175
Gaylussacia bigeloviana,-59.69907,46.02682
