SPECIES,longitude,latitude
Mahonia nervosa,-121.37165,49.376397
Mahonia nervosa,-122.024529,49.151325
Mahonia nervosa,-121.819788,49.105238
Mahonia nervosa,-125.647208,50.284503
Mahonia nervosa,-121.45945,49.104694
Mahonia nervosa,-123.37078,48.772038
Mahonia nervosa,-122.81575,50.296055
Mahonia nervosa,-124.323295,48.634792
Mahonia nervosa,-123.233941,49.468481
Mahonia nervosa,-122.812888,49.051711
Mahonia nervosa,-123.739339,48.645366
Mahonia nervosa,-124.661081,49.291947
Mahonia nervosa,-123.671455,49.43927
Mahonia nervosa,-125.531508,49.583889
Mahonia nervosa,-123.717222,48.896532
Mahonia nervosa,-124.614088,49.400405
Mahonia nervosa,-123.494845,49.384832
Mahonia nervosa,-126.038391,50.140293
Mahonia nervosa,-121.399513,49.021122
Mahonia nervosa,-125.406916,49.391776
Mahonia nervosa,-125.472557,50.124344
Mahonia nervosa,-125.59601,49.79878
Mahonia nervosa,-123.278897,48.662946
Mahonia nervosa,-124.741913,49.435764
Mahonia nervosa,-125.932967,49.70592
Mahonia nervosa,-124.202819,48.833606
Mahonia nervosa,-125.171982,50.045677
Mahonia nervosa,-122.165161,49.186122
Mahonia nervosa,-124.949294,49.251203
Mahonia nervosa,-125.534718,49.684908
Mahonia nervosa,-123.466628,48.929203
Mahonia nervosa,-123.967222,49.514444
Mahonia nervosa,-124.995793,49.788463
Mahonia nervosa,-124.546616,48.900352
Mahonia nervosa,-122.003717,49.030408
Mahonia nervosa,-123.822342,49.023094
Mahonia nervosa,-124.456823,49.64962
Mahonia nervosa,-121.895243,49.192051
Mahonia nervosa,-124.947556,49.349453
Mahonia nervosa,-123.093492,49.171119
Mahonia nervosa,-122.984494,49.232618
Mahonia nervosa,-123.532535,48.798207
Mahonia nervosa,-124.896332,49.602714
Mahonia nervosa,-125.06114,49.6223
Mahonia nervosa,-124.486915,48.798145
Mahonia nervosa,-123.690071,48.772186
Mahonia nervosa,-121.268433,49.133656
Mahonia nervosa,-123.305655,49.344045
Mahonia nervosa,-123.32698,48.878743
Mahonia nervosa,-123.645294,48.31965
Mahonia nervosa,-122.914947,49.117711
Mahonia nervosa,-122.469728,49.013778
Mahonia nervosa,-121.419375,49.708256
Mahonia nervosa,-123.204536,49.257436
Mahonia nervosa,-123.915238,49.133717
Mahonia nervosa,-125.199253,49.595873
Mahonia nervosa,-122.690544,49.298492
Mahonia nervosa,-124.120257,49.275607
Mahonia nervosa,-123.221486,48.748478
Mahonia nervosa,-122.842239,49.334739
Mahonia nervosa,-123.927095,48.777655
Mahonia nervosa,-126.244851,50.187152
Mahonia nervosa,-121.416328,49.508781
Mahonia nervosa,-125.416715,49.826925
Mahonia nervosa,-124.352372,49.246304
Mahonia nervosa,-125.097488,49.852774
Mahonia nervosa,-123.009494,50.097129
Mahonia nervosa,-125.642105,49.887641
Mahonia nervosa,-123.084913,49.010142
Mahonia nervosa,-121.062522,49.00125
Mahonia nervosa,-123.364726,49.436599
Mahonia nervosa,-125.328551,50.04768
Mahonia nervosa,-123.134923,49.794684
Mahonia nervosa,-122.233078,49.2956
Mahonia nervosa,-124.156984,49.175242
Mahonia nervosa,-124.602094,49.522754
Mahonia nervosa,-124.460413,49.320952
Mahonia nervosa,-123.69677,49.132946
Mahonia nervosa,-123.87463,48.390677
Mahonia nervosa,-121.670852,49.080699
Mahonia nervosa,-125.277695,50.259182
Mahonia nervosa,-125.032731,50.256039
Mahonia nervosa,-124.027367,49.735878
Mahonia nervosa,-125.23187,50.129242
Mahonia nervosa,-123.706039,48.471554
Mahonia nervosa,-125.515201,49.457939
Mahonia nervosa,-121.067398,49.21846
Mahonia nervosa,-122.531817,49.101657
Mahonia nervosa,-123.574919,48.689502
Mahonia nervosa,-122.480408,50.246083
Mahonia nervosa,-123.823799,48.83902
Mahonia nervosa,-124.689427,50.12458
Mahonia nervosa,-124.553433,49.895033
Mahonia nervosa,-123.437478,48.622364
Mahonia nervosa,-125.483083,49.981767
Mahonia nervosa,-123.567184,48.576187
Mahonia nervosa,-121.59791,49.267795
Mahonia nervosa,-121.711538,49.349492
Mahonia nervosa,-124.361658,49.053531
Mahonia nervosa,-125.872105,49.857305
Mahonia nervosa,-124.26853,49.325195
Mahonia nervosa,-123.157436,49.354528
Mahonia nervosa,-124.98927,50.028246
Mahonia nervosa,-123.822955,49.506519
Mahonia nervosa,-125.373567,49.280581
Mahonia nervosa,-123.902351,48.480026
Mahonia nervosa,-122.818611,49.206111
Mahonia nervosa,-122.662239,49.028819
Mahonia nervosa,-123.304245,48.461553
Mahonia nervosa,-118.678252,50.56126
Mahonia nervosa,-123.156989,49.671197
Mahonia nervosa,-123.55693,48.482083
Mahonia nervosa,-124.056495,49.612293
Mahonia nervosa,-124.468803,49.809813
Mahonia nervosa,-124.812584,49.178391
Mahonia nervosa,-125.801602,49.778995
Mahonia nervosa,-122.999053,49.33082
Mahonia nervosa,-123.086852,48.797527
Mahonia nervosa,-122.637456,53.417183
Mahonia nervosa,-123.615692,49.042392
Mahonia nervosa,-125.207662,49.28802
Mahonia nervosa,-125.225909,49.951788
Mahonia nervosa,-122.67073,49.151846
Mahonia nervosa,-123.430113,48.518963
Mahonia nervosa,-126.128126,49.866723
Mahonia nervosa,-118.132778,49.919722
Mahonia nervosa,-123.132306,50.018722
Mahonia nervosa,-125.117508,49.211462
Mahonia nervosa,-122.538003,49.275483
Mahonia nervosa,-125.139667,49.740278
Mahonia nervosa,-124.181103,49.779159
Mahonia nervosa,-124.759788,49.542042
Mahonia nervosa,-123.516627,48.385865
Mahonia nervosa,-123.948242,49.222197
Mahonia nervosa,-122.382706,49.248675
Mahonia nervosa,-122.454956,49.351947
Mahonia nervosa,-118,50.3
Mahonia nervosa,-124.81,49.94
Mahonia nervosa,-121.4,51.1
Mahonia nervosa,-124.82,50.04
Mahonia nervosa,-121.133889,49.101389
Mahonia nervosa,-123.875,48.580556
Mahonia nervosa,-124.914169,49.692223
Mahonia nervosa,-117.915556,49.963056
Mahonia nervosa,-122.226657,49.055219
Mahonia nervosa,-118.20833,49.043056
Mahonia nervosa,-124.039912,48.828417
