SPECIES,longitude,latitude
Malus coronaria,-78.171583,44.124142
Malus coronaria,-81.323937,42.993778
Malus coronaria,-81.179978,42.966238
Malus coronaria,-82.197912,42.420699
Malus coronaria,-81.867467,42.624831
Malus coronaria,-83.068536,42.262447
Malus coronaria,-79.913113,43.284391
Malus coronaria,-81.335545,42.854475
Malus coronaria,-80.00652,43.701402
Malus coronaria,-80.444349,42.800847
Malus coronaria,-80.151117,43.339363
Malus coronaria,-79.97525,43.511319
Malus coronaria,-81.657755,43.16329
Malus coronaria,-80.308588,43.159492
Malus coronaria,-79.973428,43.037791
Malus coronaria,-80.340289,43.376608
Malus coronaria,-80.565441,42.66032
Malus coronaria,-79.231842,43.173328
Malus coronaria,-79.521036,43.699508
Malus coronaria,-81.866667,42.283333
Malus coronaria,-80.345646,43.274441
Malus coronaria,-82.600499,42.046813
Malus coronaria,-79.970661,42.82741
Malus coronaria,-81.698343,43.022441
Malus coronaria,-81.823065,42.376989
Malus coronaria,-79.476473,43.165822
Malus coronaria,-80.123189,43.115672
Malus coronaria,-79.513278,43.591438
Malus coronaria,-82.409469,42.773842
Malus coronaria,-81.885933,43.223316
Malus coronaria,-79.500935,42.993483
Malus coronaria,-80.672506,43.163923
Malus coronaria,-81.18265,42.77772
