SPECIES,longitude,latitude
Physalis longifolia,-79.387674,43.666582
Physalis longifolia,-81.267175,43.015092
Physalis longifolia,-82.745627,42.064082
Physalis longifolia,-80.708493,43.591924
Physalis longifolia,-79.607971,43.726095
Physalis longifolia,-82.02198,42.32012
Physalis longifolia,-81.616195,43.182189
Physalis longifolia,-81.407983,42.739246
Physalis longifolia,-78.746873,44.345839
Physalis longifolia,-78.29844,44.349187
Physalis longifolia,-119.3,50.3
Physalis longifolia,-81.48983,43.02453
Physalis longifolia,-82.5167,41.9667
Physalis longifolia,-82.411633,42.767749
Physalis longifolia,-79.925758,43.250213
Physalis longifolia,-81.259144,42.911212
Physalis longifolia,-80.4,42.666667
