SPECIES,longitude,latitude
Prunus depressa,-73.848589,45.5755
Prunus depressa,-77.279008,43.906053
Prunus depressa,-81.89982,46.096936
Prunus depressa,-84.617712,47.335732
Prunus depressa,-82.729332,45.780267
Prunus depressa,-84.574957,50.903286
Prunus depressa,-71.952121,48.673771
Prunus depressa,-79.572971,46.277951
Prunus depressa,-81.462868,45.044707
Prunus depressa,-82.117687,45.597343
Prunus depressa,-83.223842,45.890753
Prunus depressa,-82.939275,45.827647
Prunus depressa,-82.268477,45.667103
Prunus depressa,-68.5833,47.2833
Prunus depressa,-86.3,48.5833
Prunus depressa,-80.1667,46.0833
Prunus depressa,-65.784722,49.226389
Prunus depressa,-70.967,46.62299
Prunus depressa,-68.65,47.57
Prunus depressa,-73.642106,45.616832
Prunus depressa,-72.983333,45.283333
Prunus depressa,-65.483333,48.05
Prunus depressa,-75.916667,46.616667
Prunus depressa,-79.232433,48.489817
Prunus depressa,-86.25,48.75
Prunus depressa,-84.75,47
Prunus depressa,-81.58679,44.28732
Prunus depressa,-81.28072,44.63074
Prunus depressa,-73.933333,45.466667
Prunus depressa,-66.666667,45.945278
Prunus depressa,-77.905556,43.795555
Prunus depressa,-71.211668,46.587424
Prunus depressa,-72.500447,45.881325
Prunus depressa,-71.21833,45.90167
