SPECIES,longitude,latitude
Prunus susquehanae,-95.48317262,50.01690473
Prunus susquehanae,-70.609566,47.044982
Prunus susquehanae,-82.069628,46.218488
Prunus susquehanae,-76.095858,45.50318
Prunus susquehanae,-76.987782,45.795552
Prunus susquehanae,-77.945189,44.146406
Prunus susquehanae,-81.805069,43.284778
Prunus susquehanae,-94.675017,48.889729
Prunus susquehanae,-92.616667,48.75
Prunus susquehanae,-78.227972,44.566428
Prunus susquehanae,-78.004282,44.61508
Prunus susquehanae,-77.818127,44.712171
Prunus susquehanae,-71.95,48.683333
Prunus susquehanae,-74.083333,45.466667
Prunus susquehanae,-76.7125,45.803056
