SPECIES,longitude,latitude
Ribes hirtellum,-63.922813,44.626073
Ribes hirtellum,-64.105157,46.505256
Ribes hirtellum,-66.271131,44.346042
Ribes hirtellum,-62.095929,45.486724
Ribes hirtellum,-64.543067,47.999787
Ribes hirtellum,-65.094108,45.526383
Ribes hirtellum,-63.82378,46.163773
Ribes hirtellum,-60.875642,46.796367
Ribes hirtellum,-63.427497,45.750205
Ribes hirtellum,-62.775447,45.762787
Ribes hirtellum,-65.211111,47.802512
Ribes hirtellum,-77.603231,45.383711
Ribes hirtellum,-89.989095,48.041981
Ribes hirtellum,-62.691292,45.458255
Ribes hirtellum,-80.137065,43.373688
Ribes hirtellum,-70.2417,47.4975
Ribes hirtellum,-93.45,50.4333
Ribes hirtellum,-62.469902,46.06402
Ribes hirtellum,-65.45307,47.050444
Ribes hirtellum,-86.509261,49.779343
Ribes hirtellum,-90.709827,49.295107
Ribes hirtellum,-76.139786,45.254795
Ribes hirtellum,-64.197341,46.916433
Ribes hirtellum,-80.516363,43.746953
Ribes hirtellum,-89.328278,48.434963
Ribes hirtellum,-79.40277,43.670002
Ribes hirtellum,-63.368392,44.643342
Ribes hirtellum,-68.747243,47.293474
Ribes hirtellum,-76.388753,44.141409
Ribes hirtellum,-62.937302,46.555072
Ribes hirtellum,-63.557875,45.581369
Ribes hirtellum,-66.808136,45.044717
Ribes hirtellum,-61.39607,45.421245
Ribes hirtellum,-60.546353,45.943722
Ribes hirtellum,-61.400579,46.190404
Ribes hirtellum,-62.390171,45.432221
Ribes hirtellum,-66.491371,45.134586
Ribes hirtellum,-83.9813,46.335751
Ribes hirtellum,-114.96162,53.52264
Ribes hirtellum,-62.688893,46.455819
Ribes hirtellum,-62.837214,46.432033
Ribes hirtellum,-64.344985,45.262027
Ribes hirtellum,-78.257651,44.269637
Ribes hirtellum,-64.848321,43.821621
Ribes hirtellum,-80.736328,43.405175
Ribes hirtellum,-84.307982,46.766562
Ribes hirtellum,-79.476395,46.442597
Ribes hirtellum,-80.363708,43.301147
Ribes hirtellum,-97.368306,51.129861
Ribes hirtellum,-62.424402,46.45469
Ribes hirtellum,-113.5,53.3
Ribes hirtellum,-74.09,45.47
Ribes hirtellum,-76.9,55.333333
Ribes hirtellum,-78.083333,54.25
Ribes hirtellum,-63.629444,50.284167
Ribes hirtellum,-63.809722,50.285
Ribes hirtellum,-86.306481,48.588504
Ribes hirtellum,-113.328202,55.34419
Ribes hirtellum,-78.719273,45.553848
Ribes hirtellum,-79.57346,44.006274
Ribes hirtellum,-84.75,47
Ribes hirtellum,-92.284052,52.60742
Ribes hirtellum,-89.418515,52.649466
Ribes hirtellum,-88.347072,54.18147
Ribes hirtellum,-85,48
Ribes hirtellum,-81.573997,45.156578
Ribes hirtellum,-77.759535,44.202184
Ribes hirtellum,-79.460444,46.32762
Ribes hirtellum,-81.370255,48.56105
Ribes hirtellum,-66.366667,50.183333
Ribes hirtellum,-66.250921,45.186737
Ribes hirtellum,-64.999427,45.250923
Ribes hirtellum,-59.69907,46.02682
Ribes hirtellum,-61.1428,46.28218
Ribes hirtellum,-64.995834,45.605835
Ribes hirtellum,-89.6833,48.4667
Ribes hirtellum,-83.7333,48.4
Ribes hirtellum,-80.6167,46.0167
Ribes hirtellum,-98.7833,52.9167
Ribes hirtellum,-80.6333,51.25
Ribes hirtellum,-89.5833,48.3667
Ribes hirtellum,-77.8333,45.5
Ribes hirtellum,-80.1167,51.2833
Ribes hirtellum,-75.8833,45.1167
Ribes hirtellum,-88.8,49.2667
Ribes hirtellum,-80.05,44.9667
Ribes hirtellum,-75.55,45.3
Ribes hirtellum,-84.6333,47.3667
Ribes hirtellum,-98.75,51.7
Ribes hirtellum,-80.4167,45.6333
Ribes hirtellum,-86.6167,48.7833
Ribes hirtellum,-82.1333,45.6333
Ribes hirtellum,-79.85,44.8667
Ribes hirtellum,-79,51.4333
Ribes hirtellum,-75.5,45.1833
Ribes hirtellum,-75.8833,45.35
Ribes hirtellum,-89.9167,48.8833
Ribes hirtellum,-66.5833,47.3833
Ribes hirtellum,-62.55,46.1667
Ribes hirtellum,-99.6167,50.6167
Ribes hirtellum,-89.2833,48.3333
Ribes hirtellum,-54.75,49.4667
Ribes hirtellum,-84.6333,54.5667
Ribes hirtellum,-85.8,47.7167
Ribes hirtellum,-80.126917,43.871145
Ribes hirtellum,-98.301558,49.152008
Ribes hirtellum,-98.082511,49.055775
Ribes hirtellum,-100.8539705,50.89932989
Ribes hirtellum,-96.61821246,50.26790157
Ribes hirtellum,-100.7833661,51.59989063
Ribes hirtellum,-95.59418175,50.63490721
Ribes hirtellum,-95.82880454,51.06268677
Ribes hirtellum,-101.1333825,51.94989138
Ribes hirtellum,-101.1673776,51.499888
Ribes hirtellum,-66.81314,44.65046
Ribes hirtellum,-113.75658,53.39489
Ribes hirtellum,-89.454381,48.043959
Ribes hirtellum,-66.630336,45.879925
Ribes hirtellum,-74.517443,45.112983
Ribes hirtellum,-80.397316,42.582781
Ribes hirtellum,-78.05,49.183333
Ribes hirtellum,-81.88,47.58
Ribes hirtellum,-113.016667,49.016667
Ribes hirtellum,-78.568889,53.750833
Ribes hirtellum,-70.616667,47.383333
Ribes hirtellum,-66.7,50.2
Ribes hirtellum,-74.916667,50.1
Ribes hirtellum,-75,50.183333
Ribes hirtellum,-78.333333,53.833333
Ribes hirtellum,-68.7,48.366667
Ribes hirtellum,-71.43,45.7
Ribes hirtellum,-70.142,47.321
Ribes hirtellum,-70.28199,47.2
Ribes hirtellum,-73.471111,50.9625
Ribes hirtellum,-73.712413,50.82152
Ribes hirtellum,-73.866942,50.647965
Ribes hirtellum,-68.55,48.433333
Ribes hirtellum,-76.488056,52.451389
Ribes hirtellum,-77.083333,51.25
Ribes hirtellum,-78.316667,50.216667
Ribes hirtellum,-79.358333,51.148056
Ribes hirtellum,-78.25,52.55
Ribes hirtellum,-78.993889,53.833333
Ribes hirtellum,-77.383333,51.3
Ribes hirtellum,-73.65,45.516667
Ribes hirtellum,-111,54
Ribes hirtellum,-77.666667,51.216667
Ribes hirtellum,-78.7,52.616667
Ribes hirtellum,-74.359167,49.909444
Ribes hirtellum,-78.533333,50.416667
Ribes hirtellum,-114.465833,53.285
Ribes hirtellum,-115,54.766667
Ribes hirtellum,-112.114801,55.77353
Ribes hirtellum,-112.9694,53.9217
Ribes hirtellum,-116.004035,53.650228
Ribes hirtellum,-116.6333,53.4712
Ribes hirtellum,-115.055367,52.933567
Ribes hirtellum,-61.26152,46.36252
Ribes hirtellum,-64.124444,50.210833
Ribes hirtellum,-70.543056,47.059444
Ribes hirtellum,-78.956667,53.126389
Ribes hirtellum,-70.966667,46.916667
Ribes hirtellum,-64.166667,48.5
Ribes hirtellum,-69.75,47.729167
Ribes hirtellum,-57.933333,49.708333
Ribes hirtellum,-67.166667,47.333333
Ribes hirtellum,-67.183333,46.516667
Ribes hirtellum,-65.05,46.533333
Ribes hirtellum,-66.983333,44.933333
Ribes hirtellum,-66.883333,46
Ribes hirtellum,-56.183333,47.666667
Ribes hirtellum,-66.362226,44.259135
Ribes hirtellum,-63.35226,45.13876
Ribes hirtellum,-65.21249,44.87167
Ribes hirtellum,-65.64531,44.70987
Ribes hirtellum,-65.749167,43.466667
Ribes hirtellum,-66.015833,43.7
Ribes hirtellum,-61.516667,47.616667
Ribes hirtellum,-74.069872,46.350602
Ribes hirtellum,-72.132104,45.463454
Ribes hirtellum,-69.25,48.133333
Ribes hirtellum,-67.553248,46.235339
Ribes hirtellum,-65.476017,45.845769
Ribes hirtellum,-61.09477,46.45059
Ribes hirtellum,-65.004939,45.841816
Ribes hirtellum,-64.559733,44.099578
Ribes hirtellum,-66.507416,46.37777
Ribes hirtellum,-65.381004,45.77626
Ribes hirtellum,-59.965833,45.916667
Ribes hirtellum,-60.53025,46.37296
Ribes hirtellum,-64.773701,45.30522
Ribes hirtellum,-63.25274,45.4246
Ribes hirtellum,-61.67822,45.57745
Ribes hirtellum,-60.36751,46.181
Ribes hirtellum,-65.44884,43.5569
Ribes hirtellum,-61.11398,45.84406
Ribes hirtellum,-60.686297,46.766261
Ribes hirtellum,-66.016096,43.400081
Ribes hirtellum,-60.9606,46.672211
Ribes hirtellum,-61.799167,45.25
Ribes hirtellum,-64.635438,45.06294
Ribes hirtellum,-62.66652,46.120508
Ribes hirtellum,-60.71773,46.891246
Ribes hirtellum,-60.50103,46.88284
Ribes hirtellum,-60.598287,47.041408
Ribes hirtellum,-64.921881,45.420313
Ribes hirtellum,-66.176944,44.132778
Ribes hirtellum,-61.07943,45.51855
Ribes hirtellum,-64.36132,45.09271
Ribes hirtellum,-67.540253,46.463232
Ribes hirtellum,-63.60534,45.22727
Ribes hirtellum,-61.313889,45.6925
Ribes hirtellum,-60.46243,46.99831
Ribes hirtellum,-75.49917,45.4
