SPECIES,longitude,latitude
Ribes hudsonianum,-113.867151,62.573363
Ribes hudsonianum,-135.945708,60.823458
Ribes hudsonianum,-139.741547,63.185978
Ribes hudsonianum,-134.513229,60.256245
Ribes hudsonianum,-111.448551,56.741975
Ribes hudsonianum,-134.219386,60.089664
Ribes hudsonianum,-119.554542,49.040919
Ribes hudsonianum,-91.177788,51.25172
Ribes hudsonianum,-117.414488,50.066106
Ribes hudsonianum,-122.9606,51.045486
Ribes hudsonianum,-135.916031,60.953122
Ribes hudsonianum,-87.5167,49.6833
Ribes hudsonianum,-121.303265,61.302595
Ribes hudsonianum,-136.141831,62.297642
Ribes hudsonianum,-87.92184,51.556548
Ribes hudsonianum,-132.37109,60.098305
Ribes hudsonianum,-123.410571,54.646346
Ribes hudsonianum,-120.314798,49.857342
Ribes hudsonianum,-99.95,49.833333
Ribes hudsonianum,-84.216667,53.033333
Ribes hudsonianum,-91.922672,50.095652
Ribes hudsonianum,-88.784859,48.341888
Ribes hudsonianum,-88.187591,48.97572
Ribes hudsonianum,-107.620415,53.280911
Ribes hudsonianum,-134.944126,60.607191
Ribes hudsonianum,-135.162475,60.791338
Ribes hudsonianum,-136.213325,60.7804
Ribes hudsonianum,-103.616667,56.333333
Ribes hudsonianum,-133.95,60.3
Ribes hudsonianum,-93.794889,58.634194
Ribes hudsonianum,-114.15,58.85
Ribes hudsonianum,-94.08,57.75
Ribes hudsonianum,-111.62,59.87
Ribes hudsonianum,-127.12,59.62
Ribes hudsonianum,-115.7,60.85
Ribes hudsonianum,-134.239533,63.975545
Ribes hudsonianum,-101.090334,56.825384
Ribes hudsonianum,-100.04,56.42
Ribes hudsonianum,-100.883333,56.863333
Ribes hudsonianum,-128.916869,60.061658
Ribes hudsonianum,-119.161962,50.076
Ribes hudsonianum,-119.67252,49.129671
Ribes hudsonianum,-132.715828,60.185893
Ribes hudsonianum,-114.900458,55.480603
Ribes hudsonianum,-81.321535,48.492715
Ribes hudsonianum,-105.25,53.75
Ribes hudsonianum,-133.72,68.35
Ribes hudsonianum,-121.4,62.9
Ribes hudsonianum,-133.2,60.5
Ribes hudsonianum,-121.7,50.7
Ribes hudsonianum,-116.5,50.9
Ribes hudsonianum,-120.8009322,49.09973227
Ribes hudsonianum,-121.32,50.62
Ribes hudsonianum,-94.1,58.8
Ribes hudsonianum,-124.75,54.05
Ribes hudsonianum,-119.22,49.98
Ribes hudsonianum,-122.101067,52.99973514
Ribes hudsonianum,-123.04,54.98
Ribes hudsonianum,-124.69,58.65
Ribes hudsonianum,-139.42,64.04
Ribes hudsonianum,-129.3,59.3
Ribes hudsonianum,-133.694179,59.578987
Ribes hudsonianum,-77.2,55.65
Ribes hudsonianum,-74.4,56.166667
Ribes hudsonianum,-130.678611,53.950556
Ribes hudsonianum,-125.816667,59.466667
Ribes hudsonianum,-129.733333,56.65
Ribes hudsonianum,-125.1,53.933333
Ribes hudsonianum,-121.318333,56.143333
Ribes hudsonianum,-119.186111,49.816667
Ribes hudsonianum,-122.416667,58.683333
Ribes hudsonianum,-122.9,58.816667
Ribes hudsonianum,-122.516667,51.966667
Ribes hudsonianum,-119.216667,49.066667
Ribes hudsonianum,-125.4,52.508333
Ribes hudsonianum,-121.390162,55.279425
Ribes hudsonianum,-113.04093,55.06478
Ribes hudsonianum,-82.166667,50.083333
Ribes hudsonianum,-80.75,49.5
Ribes hudsonianum,-89.315661,52.689137
Ribes hudsonianum,-92.616667,48.75
Ribes hudsonianum,-129.707386,60.158225
Ribes hudsonianum,-122.2,61.3333
Ribes hudsonianum,-107.991,63.0581
Ribes hudsonianum,-115.7,54.1333
Ribes hudsonianum,-121.5,66
Ribes hudsonianum,-135,68.2
Ribes hudsonianum,-98.7833,52.9167
Ribes hudsonianum,-113.25,61.9167
Ribes hudsonianum,-128.8729416,66.21660656
Ribes hudsonianum,-104.5677624,63.5000765
Ribes hudsonianum,-126.667,54.4
Ribes hudsonianum,-111.425901,59.12492151
Ribes hudsonianum,-126,59
Ribes hudsonianum,-99.6167,50.6167
Ribes hudsonianum,-131.167,57.9
Ribes hudsonianum,-122.583,57.0833
Ribes hudsonianum,-125.517,61.5167
Ribes hudsonianum,-88.9667,49.1
Ribes hudsonianum,-114.532,62.4592
Ribes hudsonianum,-123.417,65
Ribes hudsonianum,-134.183,60.2667
Ribes hudsonianum,-111.333,58.6667
Ribes hudsonianum,-92.2833,50.3667
Ribes hudsonianum,-130,58.5
Ribes hudsonianum,-79,51.4333
Ribes hudsonianum,-126.35,61.55
Ribes hudsonianum,-123.55,56.0333
Ribes hudsonianum,-118.333,65.6667
Ribes hudsonianum,-110.1,61
Ribes hudsonianum,-88.9833,49.45
Ribes hudsonianum,-115.042,62.175
Ribes hudsonianum,-83.6667,48.35
Ribes hudsonianum,-90.0167,48.9
Ribes hudsonianum,-80.75,51.25
Ribes hudsonianum,-117.333,60.95
Ribes hudsonianum,-89.8833,53.8167
Ribes hudsonianum,-89.65,48.4167
Ribes hudsonianum,-126.15,59.4333
Ribes hudsonianum,-121.366667,61.866667
Ribes hudsonianum,-93.78604594,57.52438274
Ribes hudsonianum,-92.88865571,58.11561837
Ribes hudsonianum,-93.256,58.673333
Ribes hudsonianum,-96.562778,50.702222
Ribes hudsonianum,-101.414722,52.498333
Ribes hudsonianum,-100.7833661,51.59989063
Ribes hudsonianum,-96.83356142,51.16657256
Ribes hudsonianum,-96.59799134,50.43045841
Ribes hudsonianum,-95.59418175,50.63490721
Ribes hudsonianum,-101.0004068,53.98391133
Ribes hudsonianum,-100.7003616,51.46655714
Ribes hudsonianum,-100.888611,51.824167
Ribes hudsonianum,-124.05222,60.07167
Ribes hudsonianum,-113.92,58.95
Ribes hudsonianum,-114.364565,53.95549
Ribes hudsonianum,-115.129425,54.071642
Ribes hudsonianum,-105.879167,53.563889
Ribes hudsonianum,-121.421499,53.838595
Ribes hudsonianum,-113.016667,49.016667
Ribes hudsonianum,-76.583333,51.816667
Ribes hudsonianum,-73.630468,50.919689
Ribes hudsonianum,-73.501072,51.004999
Ribes hudsonianum,-135.05,60.716667
Ribes hudsonianum,-135.896611,63.595222
Ribes hudsonianum,-133.036552,61.47663
Ribes hudsonianum,-117.266667,53.283333
Ribes hudsonianum,-115,54.766667
Ribes hudsonianum,-113.824163,53.566562
Ribes hudsonianum,-114.468319,51.907771
Ribes hudsonianum,-112.9694,53.9217
Ribes hudsonianum,-117,61.5
Ribes hudsonianum,-119.366667,61.983333
Ribes hudsonianum,-111.883333,60
Ribes hudsonianum,-127.583333,62.083333
Ribes hudsonianum,-116.616667,60.833333
Ribes hudsonianum,-128.883333,65.633333
Ribes hudsonianum,-112.533333,60.316667
Ribes hudsonianum,-126.8973,65.3146
Ribes hudsonianum,-114.489074,53.283767
Ribes hudsonianum,-116.9859,53.2371
