SPECIES,longitude,latitude
Rosa carolina,-70.587288,48.383675
Rosa carolina,-79.598948,43.191733
Rosa carolina,-59.78,43.98
Rosa carolina,-61.26345,46.35765
Rosa carolina,-63.188705,46.2369
Rosa carolina,-62.752447,45.959757
Rosa carolina,-62.905397,46.425212
Rosa carolina,-63.999141,46.450402
Rosa carolina,-62.95,46.05
Rosa carolina,-66.1917,44.0889
Rosa carolina,-64.45,46.2333
Rosa carolina,-62.55,46.55
Rosa carolina,-71.15,46.9
Rosa carolina,-64.86666,47.46666
Rosa carolina,-65.180485,47.814947
Rosa carolina,-65.80088,44.04008
Rosa carolina,-65.251917,44.921314
Rosa carolina,-65.055732,44.430193
Rosa carolina,-61.70109,45.713172
Rosa carolina,-67.05209,45.07399
Rosa carolina,-62.093024,45.004342
Rosa carolina,-61.45884,45.73717
Rosa carolina,-63.91471,44.49738
Rosa carolina,-66.066667,45.25
Rosa carolina,-67.033333,45.916667
Rosa carolina,-64.833333,45.633333
Rosa carolina,-65.65,47.6
Rosa carolina,-65.6,46.966667
Rosa carolina,-64.616667,46.333333
Rosa carolina,-65.55,45.333333
Rosa carolina,-55.376389,46.933333
Rosa carolina,-64.3425,45.5175
Rosa carolina,-61.898972,45.719361
Rosa carolina,-64.71876,44.03548
Rosa carolina,-65.221111,44.623333
Rosa carolina,-64.834167,44.188889
Rosa carolina,-64.05491,44.9643
Rosa carolina,-65.749167,43.466667
Rosa carolina,-63.07544,45.47121
Rosa carolina,-66.12612,44.26581
Rosa carolina,-63.438422,45.04098
Rosa carolina,-63.6862,46.526242
Rosa carolina,-64.9849,44.33412
Rosa carolina,-62.90007,45.53443
Rosa carolina,-61.231667,45.667778
Rosa carolina,-68.762269,48.371838
Rosa carolina,-66.616959,45.963776
Rosa carolina,-63.1325,44.783333
Rosa carolina,-66.016801,45.348712
Rosa carolina,-67.296389,45.180278
Rosa carolina,-65.366667,47.083333
Rosa carolina,-64.57363,44.12783
Rosa carolina,-66.06467,43.82925
Rosa carolina,-60.39931,46.09734
Rosa carolina,-64.21444,45.8327
Rosa carolina,-64.72341,44.54881
Rosa carolina,-64.915833,44.416667
Rosa carolina,-62.07872,45.53998
Rosa carolina,-65.459684,48.051337
Rosa carolina,-75.033875,46.40043
Rosa carolina,-59.917778,43.930879
Rosa carolina,-61.05,45.55
Rosa carolina,-60.7678,46.84314
Rosa carolina,-60.315833,46.816667
Rosa carolina,-66.362226,44.259135
Rosa carolina,-62.59274,45.66201
Rosa carolina,-65.39562,44.80788
Rosa carolina,-66.950597,44.854793
Rosa carolina,-65.61462,44.71508
Rosa carolina,-60.925812,46.725614
Rosa carolina,-61.49954,47.78468
Rosa carolina,-61.90128,47.38779
Rosa carolina,-64.74294,48.26601
Rosa carolina,-65.83784,43.722001
Rosa carolina,-80.375028,42.850111
Rosa carolina,-76.891111,43.939167
Rosa carolina,-82.016563,42.519155
Rosa carolina,-82.137101,42.365208
Rosa carolina,-66.200545,44.384985
Rosa carolina,-65.078297,45.6243
Rosa carolina,-64.951095,45.595567
Rosa carolina,-64.264258,45.14413
Rosa carolina,-64.467203,45.01175
Rosa carolina,-80.44126,42.701068
Rosa carolina,-80.514525,43.485122
Rosa carolina,-64.765499,46.081447
Rosa carolina,-80.55614,42.638686
Rosa carolina,-79.753091,43.461081
Rosa carolina,-63.021766,46.377301
Rosa carolina,-80.364072,43.29647
Rosa carolina,-79.046766,43.139062
Rosa carolina,-66.524296,45.124142
Rosa carolina,-81.30689,43.012926
Rosa carolina,-81.832781,43.254393
Rosa carolina,-63.387679,46.495101
Rosa carolina,-65.7833,44.7
Rosa carolina,-82.5167,41.9667
Rosa carolina,-66.1,47.3833
Rosa carolina,-76.1,44.3
Rosa carolina,-79.933391,43.292763
Rosa carolina,-64.999427,45.250923
Rosa carolina,-61.89169,45.55767
Rosa carolina,-64.37201,45.22063
Rosa carolina,-63.637353,46.436664
Rosa carolina,-61.00746,45.33549
Rosa carolina,-63.687976,45.561914
Rosa carolina,-61.67169,45.62328
Rosa carolina,-60.598287,47.041408
Rosa carolina,-61.01068,46.59631
Rosa carolina,-60.40839,46.55724
Rosa carolina,-64.251667,46.654722
Rosa carolina,-64.93527,44.98241
Rosa carolina,-60.496667,46.883056
Rosa carolina,-64.749167,45.126944
Rosa carolina,-64.222778,46.858056
Rosa carolina,-61.75747,47.41356
Rosa carolina,-61.95946,47.23845
