SPECIES,longitude,latitude
Rosa nitida,-53.709582,48.142065
Rosa nitida,-65.077657,43.998883
Rosa nitida,-57.755758,49.652015
Rosa nitida,-58.231164,49.0608
Rosa nitida,-52.760834,47.572777
Rosa nitida,-52.633333,47.516667
Rosa nitida,-58.485493,48.773509
Rosa nitida,-64.095297,46.539542
Rosa nitida,-64.953816,46.013552
Rosa nitida,-71.489875,46.852097
Rosa nitida,-58.099517,49.508975
Rosa nitida,-62.903557,46.241833
Rosa nitida,-66.247794,45.191564
Rosa nitida,-59.95684,46.19149
Rosa nitida,-59.69907,46.02682
Rosa nitida,-61.27723,46.15996
Rosa nitida,-60.3761,47.2892
Rosa nitida,-54.75,49.4667
Rosa nitida,-54.75,49.65
Rosa nitida,-57.93225881,49.63314901
Rosa nitida,-64.153989,45.95764
Rosa nitida,-65.040324,45.651025
Rosa nitida,-70.3,45.92
Rosa nitida,-77.166667,50.133333
Rosa nitida,-77.203056,50.463611
Rosa nitida,-78.6,50.066667
Rosa nitida,-74.95,50.116667
Rosa nitida,-71.35,46.55
Rosa nitida,-76.166667,51.783333
Rosa nitida,-77.383333,51.116667
Rosa nitida,-77.133333,51.15
Rosa nitida,-71.144722,45.963333
Rosa nitida,-61.699444,47.276667
Rosa nitida,-64.37276,45.41111
Rosa nitida,-60.71197,45.58154
Rosa nitida,-65.78394,43.70927
Rosa nitida,-59.8632,45.95787
Rosa nitida,-64.89421,44.299994
Rosa nitida,-57.866667,49.833333
Rosa nitida,-66.40685,48.025161
Rosa nitida,-67.45,45.4
Rosa nitida,-59.257361,47.632778
Rosa nitida,-68.865438,48.293979
Rosa nitida,-60.14989,47.202882
Rosa nitida,-62.648611,46.313611
Rosa nitida,-63.985,46.718056
Rosa nitida,-64.148889,46.621944
Rosa nitida,-65.749167,43.466667
Rosa nitida,-60.40852,46.05953
Rosa nitida,-71.45937,46.737021
Rosa nitida,-66.362226,44.259135
Rosa nitida,-60.615849,46.735446
Rosa nitida,-71.37403,45.814875
Rosa nitida,-73.00806,45.52783
Rosa nitida,-64.66411,44.16729
Rosa nitida,-60.854533,45.724155
Rosa nitida,-60.813293,46.76959
Rosa nitida,-66.06651,43.91968
Rosa nitida,-59.965833,46.033333
Rosa nitida,-60.379907,46.729101
Rosa nitida,-62.02793,45.02917
Rosa nitida,-63.161559,45.261002
Rosa nitida,-63.896944,46.406389
Rosa nitida,-62.776389,46.396944
Rosa nitida,-62.534444,46.434444
Rosa nitida,-66.950597,44.854793
Rosa nitida,-65.178976,44.368853
Rosa nitida,-66.16775,44.42829
Rosa nitida,-64.97552,43.87557
Rosa nitida,-60.56386,46.819281
Rosa nitida,-66.0825,44.5
