SPECIES,longitude,latitude
Rubus allegheniensis,-79.4197,43.934247
Rubus allegheniensis,-78.773903,44.405506
Rubus allegheniensis,-65.6775,44.616667
Rubus allegheniensis,-76.489803,45.610863
Rubus allegheniensis,-79.304278,44.766374
Rubus allegheniensis,-65.470656,43.449845
Rubus allegheniensis,-79.987595,43.539903
Rubus allegheniensis,-80.968087,46.459503
Rubus allegheniensis,-78.879578,46.294367
Rubus allegheniensis,-73.725448,46.057592
Rubus allegheniensis,-79.889051,44.294725
Rubus allegheniensis,-80.300003,42.73
Rubus allegheniensis,-81.82,42.66
Rubus allegheniensis,-79.519997,44.040001
Rubus allegheniensis,-72.103065,45.010025
Rubus allegheniensis,-63.986919,45.637208
Rubus allegheniensis,-79.643381,43.99348
Rubus allegheniensis,-65.87075,43.821583
Rubus allegheniensis,-81.051604,44.84862
Rubus allegheniensis,-59.97029,46.03584
Rubus allegheniensis,-61.734829,45.598433
Rubus allegheniensis,-78.515647,45.587565
Rubus allegheniensis,-76.699975,44.516475
Rubus allegheniensis,-77.452276,46.01591
Rubus allegheniensis,-80.437478,46.153908
Rubus allegheniensis,-77.834193,44.826178
Rubus allegheniensis,-74.18491,45.390921
Rubus allegheniensis,-80.012734,43.440404
Rubus allegheniensis,-84.311843,46.769339
Rubus allegheniensis,-84.2925,46.585833
Rubus allegheniensis,-73.696969,45.662614
Rubus allegheniensis,-78.554943,45.128748
Rubus allegheniensis,-75.056053,45.601087
Rubus allegheniensis,-73.332192,45.540761
Rubus allegheniensis,-75.697193,45.42153
Rubus allegheniensis,-76.46633,45.284487
Rubus allegheniensis,-77.233393,44.693647
Rubus allegheniensis,-81.81118,43.266425
Rubus allegheniensis,-71.749292,45.344722
Rubus allegheniensis,-65.392274,44.669322
Rubus allegheniensis,-61.116562,46.121512
Rubus allegheniensis,-80.085325,44.045079
Rubus allegheniensis,-79.66032,44.575948
Rubus allegheniensis,-79.982068,43.644885
Rubus allegheniensis,-64.742677,45.039535
Rubus allegheniensis,-73.827866,45.760426
Rubus allegheniensis,-61.17212,45.947963
Rubus allegheniensis,-60.223942,45.978653
Rubus allegheniensis,-77.660853,44.821965
Rubus allegheniensis,-78.2747,44.972806
Rubus allegheniensis,-75.844397,45.495824
Rubus allegheniensis,-76.390054,45.742111
Rubus allegheniensis,-74.387372,45.53146
Rubus allegheniensis,-73.166441,45.066472
Rubus allegheniensis,-74.128918,45.902134
Rubus allegheniensis,-74.414803,45.682489
Rubus allegheniensis,-76.534845,45.797661
Rubus allegheniensis,-62.650097,45.581037
Rubus allegheniensis,-77.039479,43.957471
Rubus allegheniensis,-73.914056,45.067362
Rubus allegheniensis,-79.297,43.1
Rubus allegheniensis,-63.760847,45.8462
Rubus allegheniensis,-74.028755,45.82242
Rubus allegheniensis,-78.087143,44.687902
Rubus allegheniensis,-72.593216,45.429846
Rubus allegheniensis,-74.272849,46.286828
Rubus allegheniensis,-73.337675,45.637668
Rubus allegheniensis,-71.398438,46.740905
Rubus allegheniensis,-75.726708,46.409112
Rubus allegheniensis,-71.483549,47.115026
Rubus allegheniensis,-80.3992,43.301692
Rubus allegheniensis,-71.257219,46.739467
Rubus allegheniensis,-79.442467,47.32173
Rubus allegheniensis,-75.733629,45.572192
Rubus allegheniensis,-79.189666,46.837228
Rubus allegheniensis,-63.602246,44.879234
Rubus allegheniensis,-81.556943,45.186867
Rubus allegheniensis,-76.376122,44.428097
Rubus allegheniensis,-63.285893,45.361312
Rubus allegheniensis,-65.57753,43.495353
Rubus allegheniensis,-79.199013,44.823605
Rubus allegheniensis,-79.105472,44.886797
Rubus allegheniensis,-75.564609,45.348482
Rubus allegheniensis,-79.862187,45.308525
Rubus allegheniensis,-64.099978,46.504133
Rubus allegheniensis,-79.45898,43.648877
Rubus allegheniensis,-62.720943,45.674344
Rubus allegheniensis,-73.216667,45.966667
Rubus allegheniensis,-66.876739,45.963178
Rubus allegheniensis,-59.877714,45.940191
Rubus allegheniensis,-67.358383,45.21335
Rubus allegheniensis,-77.079057,44.981093
Rubus allegheniensis,-79.809821,44.387709
Rubus allegheniensis,-75.411372,44.890519
Rubus allegheniensis,-79.098438,45.220805
Rubus allegheniensis,-79.53505,44.952245
Rubus allegheniensis,-79.187407,43.783948
Rubus allegheniensis,-75.163651,45.461156
Rubus allegheniensis,-63.934105,45.46249
Rubus allegheniensis,-60.377133,46.0289
Rubus allegheniensis,-76.610393,44.24191
Rubus allegheniensis,-66.490022,45.403936
Rubus allegheniensis,-79.94927,43.249283
Rubus allegheniensis,-76.22431,45.204538
Rubus allegheniensis,-76.115394,45.053572
Rubus allegheniensis,-79.649887,44.89235
Rubus allegheniensis,-75.807431,45.651881
Rubus allegheniensis,-76.470408,44.839428
Rubus allegheniensis,-76.667898,45.166336
Rubus allegheniensis,-73.436451,45.429017
Rubus allegheniensis,-74.064644,45.481895
Rubus allegheniensis,-122.800383,49.233372
Rubus allegheniensis,-65.13168,46.853229
Rubus allegheniensis,-77.86746,45.062327
Rubus allegheniensis,-74.05,45.616667
Rubus allegheniensis,-77.315613,44.387911
Rubus allegheniensis,-73.745877,45.959131
Rubus allegheniensis,-80.734872,43.406355
Rubus allegheniensis,-72.975167,45.274729
Rubus allegheniensis,-71.900455,45.401422
Rubus allegheniensis,-72.830444,45.053352
Rubus allegheniensis,-76.046062,45.933396
Rubus allegheniensis,-81.558234,45.001869
Rubus allegheniensis,-76.106808,45.5858
Rubus allegheniensis,-80.112467,43.353292
Rubus allegheniensis,-77.250811,44.578551
Rubus allegheniensis,-77.198242,44.903961
Rubus allegheniensis,-75.733087,44.620834
Rubus allegheniensis,-80.628845,43.478906
Rubus allegheniensis,-67.606201,46.174881
Rubus allegheniensis,-77.886262,45.757725
Rubus allegheniensis,-78.695081,45.579988
Rubus allegheniensis,-78.231844,45.189753
Rubus allegheniensis,-78.82905,45.429893
Rubus allegheniensis,-78.392668,45.515148
Rubus allegheniensis,-60.088306,46.170021
Rubus allegheniensis,-79.912369,45.210616
Rubus allegheniensis,-61.969128,45.68652
Rubus allegheniensis,-94.269113,49.122611
Rubus allegheniensis,-64.303107,45.07949
Rubus allegheniensis,-63.618057,44.607498
Rubus allegheniensis,-64.499229,45.075267
Rubus allegheniensis,-75.823648,45.293932
Rubus allegheniensis,-62.922562,46.3725
Rubus allegheniensis,-76.29033,44.269558
Rubus allegheniensis,-66.086036,45.927927
Rubus allegheniensis,-77.702477,43.994038
Rubus allegheniensis,-79.999637,44.842855
Rubus allegheniensis,-79.023164,44.735725
Rubus allegheniensis,-77.915925,44.077164
Rubus allegheniensis,-78.127328,44.569825
Rubus allegheniensis,-78.218166,44.501168
Rubus allegheniensis,-80.196506,45.362894
Rubus allegheniensis,-81.354377,42.960964
Rubus allegheniensis,-90.75994,48.404234
Rubus allegheniensis,-71.232872,45.616467
Rubus allegheniensis,-76.219688,44.526395
Rubus allegheniensis,-64.700965,44.533675
Rubus allegheniensis,-77.671119,45.487786
Rubus allegheniensis,-76.146505,44.878369
Rubus allegheniensis,-80.552673,45.930582
Rubus allegheniensis,-79.865692,44.852078
Rubus allegheniensis,-76.065322,44.363687
Rubus allegheniensis,-79.656531,43.581266
Rubus allegheniensis,-63.741351,44.659912
Rubus allegheniensis,-78.338588,44.554832
Rubus allegheniensis,-81.263695,43.041088
Rubus allegheniensis,-76.086718,45.496266
Rubus allegheniensis,-78.052019,44.918291
Rubus allegheniensis,-78.494975,44.544587
Rubus allegheniensis,-80.395756,43.420064
Rubus allegheniensis,-80.340973,46.262947
Rubus allegheniensis,-66.655955,45.976854
Rubus allegheniensis,-63.75555,46.402538
Rubus allegheniensis,-63.058503,46.225548
Rubus allegheniensis,-83.256681,46.310482
Rubus allegheniensis,-80.847537,46.399063
Rubus allegheniensis,-78.832756,44.824782
Rubus allegheniensis,-77.820463,45.262753
Rubus allegheniensis,-65.74908,43.464373
Rubus allegheniensis,-63.558387,44.689355
Rubus allegheniensis,-91.066667,48.45
Rubus allegheniensis,-71.536215,46.460327
Rubus allegheniensis,-71.931863,45.178745
Rubus allegheniensis,-65.506311,43.89907
Rubus allegheniensis,-80.644761,43.233406
Rubus allegheniensis,-78.154182,44.196402
Rubus allegheniensis,-79.101083,44.030947
Rubus allegheniensis,-65.910187,44.512741
Rubus allegheniensis,-73.156936,45.537597
Rubus allegheniensis,-72.187347,45.330625
Rubus allegheniensis,-80.494911,42.668861
Rubus allegheniensis,-76.253965,44.770204
Rubus allegheniensis,-82.07506,46.111398
Rubus allegheniensis,-78.356767,44.657313
Rubus allegheniensis,-78.837095,44.916635
Rubus allegheniensis,-72.056675,45.267632
Rubus allegheniensis,-81.484683,42.594078
Rubus allegheniensis,-63.189393,46.290163
Rubus allegheniensis,-75.31827,45.221295
Rubus allegheniensis,-79.434478,46.2853
Rubus allegheniensis,-65.6109,47.637795
Rubus allegheniensis,-80.930422,44.328154
Rubus allegheniensis,-78.355172,45.631948
Rubus allegheniensis,-79.359355,44.926329
Rubus allegheniensis,-81.2,42.7833
Rubus allegheniensis,-75.516224,45.24992744
Rubus allegheniensis,-84.8,47.5
Rubus allegheniensis,-76.0667,46.1833
Rubus allegheniensis,-78.6333,45.8833
Rubus allegheniensis,-75.8333,45.4
Rubus allegheniensis,-75.9333,45.6167
Rubus allegheniensis,-83,42.25
Rubus allegheniensis,-81.98302015,42.54995304
Rubus allegheniensis,-79.3667,43.75
Rubus allegheniensis,-82.3167,42.9833
Rubus allegheniensis,-79.5167,45.15
Rubus allegheniensis,-75.6333,45.65
Rubus allegheniensis,-76.5167,44.55
Rubus allegheniensis,-76.45,44.3
Rubus allegheniensis,-62.7667,46.0833
Rubus allegheniensis,-75.9167,45.75
Rubus allegheniensis,-72.78273462,46.81661565
Rubus allegheniensis,-76.2,45.65
Rubus allegheniensis,-64.6167,45.8167
Rubus allegheniensis,-75.2167,45.55
Rubus allegheniensis,-81.8,43.1167
Rubus allegheniensis,-75.5194,44.7178
Rubus allegheniensis,-72.4667,45.05
Rubus allegheniensis,-65.9833,43.7333
Rubus allegheniensis,-78.9,45.2
Rubus allegheniensis,-76.25,45.5333
Rubus allegheniensis,-74.6333,45.65
Rubus allegheniensis,-73.4833,45.85
Rubus allegheniensis,-79.4167,43.15
Rubus allegheniensis,-66.1833,44.4
Rubus allegheniensis,-82.0167,42.3
Rubus allegheniensis,-71.1453,46.8906
Rubus allegheniensis,-80.14966616,42.83325021
Rubus allegheniensis,-75.5833,45.5
Rubus allegheniensis,-82.46643441,42.58325254
Rubus allegheniensis,-66.0833,44.4833
Rubus allegheniensis,-76.7503,44.6014
Rubus allegheniensis,-81.1833,44.5833
Rubus allegheniensis,-76.7167,44.9667
Rubus allegheniensis,-66,44
Rubus allegheniensis,-80.175745,44.467017
Rubus allegheniensis,-75.859847,45.934544
Rubus allegheniensis,-78.478421,45.705308
Rubus allegheniensis,-75.349629,45.522885
Rubus allegheniensis,-76.020312,44.493021
Rubus allegheniensis,-76.072095,45.335463
Rubus allegheniensis,-64.856186,43.837859
Rubus allegheniensis,-79.231613,44.20949
Rubus allegheniensis,-79.791035,44.480262
Rubus allegheniensis,-79.86022,43.315655
Rubus allegheniensis,-76.174067,44.31243
Rubus allegheniensis,-81.830361,42.794275
Rubus allegheniensis,-60.281473,46.221447
Rubus allegheniensis,-64.761612,46.061975
Rubus allegheniensis,-70.55,46.983333
Rubus allegheniensis,-70.966667,46.916667
Rubus allegheniensis,-78.029167,46.252778
Rubus allegheniensis,-71.112368,46.56297
Rubus allegheniensis,-71.783333,46.666667
Rubus allegheniensis,-75.033333,45.742778
Rubus allegheniensis,-73.65,45.516667
Rubus allegheniensis,-71.066667,46.716667
Rubus allegheniensis,-65.058219,45.627022
Rubus allegheniensis,-73.2402,45.858
Rubus allegheniensis,-66.583333,45.566667
Rubus allegheniensis,-73.933333,45.466667
Rubus allegheniensis,-73.49126,45.54086
