SPECIES,longitude,latitude
Sambucus racemosa,-113.543883,53.872605
Sambucus racemosa,-128.552642,53.449628
Sambucus racemosa,-122.304298,56.144585
Sambucus racemosa,-121.685211,49.368111
Sambucus racemosa,-128.788819,53.696781
Sambucus racemosa,-66.770629,47.646669
Sambucus racemosa,-63.000184,45.3442
Sambucus racemosa,-123.546706,48.322228
Sambucus racemosa,-121.860986,49.098781
Sambucus racemosa,-113.316626,52.469175
Sambucus racemosa,-122.93997,54.905331
Sambucus racemosa,-123.312592,48.4955
Sambucus racemosa,-122.859613,50.227193
Sambucus racemosa,-79.449135,43.771133
Sambucus racemosa,-122.663498,50.562435
Sambucus racemosa,-69.395241,48.33509
Sambucus racemosa,-77.82235,44.151767
Sambucus racemosa,-60.069786,46.036964
Sambucus racemosa,-64.368799,45.902402
Sambucus racemosa,-124.54898,49.130489
Sambucus racemosa,-122.576462,49.264887
Sambucus racemosa,-118.249333,49.127297
Sambucus racemosa,-122.999978,50.539333
Sambucus racemosa,-76.016992,45.754514
Sambucus racemosa,-119.671019,49.11155
Sambucus racemosa,-113.610556,52.390233
Sambucus racemosa,-115.181083,49.514312
Sambucus racemosa,-119.258954,52.820711
Sambucus racemosa,-79.077933,47.2915
Sambucus racemosa,-113.794687,53.385698
Sambucus racemosa,-120.683848,56.138422
Sambucus racemosa,-116.182729,51.109752
Sambucus racemosa,-116.541803,51.439931
Sambucus racemosa,-114.367592,49.58205
Sambucus racemosa,-114.187783,51.597428
Sambucus racemosa,-113.974762,52.454479
Sambucus racemosa,-124.663658,49.291486
Sambucus racemosa,-119.042503,49.322922
Sambucus racemosa,-115.053733,49.805735
Sambucus racemosa,-114.114554,50.977474
Sambucus racemosa,-120.166814,52.057969
Sambucus racemosa,-60.161395,46.126543
Sambucus racemosa,-114.25588,51.019443
Sambucus racemosa,-120.897489,52.924803
Sambucus racemosa,-112.901678,53.273256
Sambucus racemosa,-117.151519,49.715858
Sambucus racemosa,-113.96022,52.975212
Sambucus racemosa,-119.05075,49.046742
Sambucus racemosa,-118.938927,49.704649
Sambucus racemosa,-113.007801,53.744542
Sambucus racemosa,-125.527292,49.634333
Sambucus racemosa,-115.363838,50.848233
Sambucus racemosa,-66.078403,48.918355
Sambucus racemosa,-114.3097,54.42168
Sambucus racemosa,-79.146722,48.171547
Sambucus racemosa,-119.911828,50.90287
Sambucus racemosa,-122.155778,50.530208
Sambucus racemosa,-60.890699,46.750924
Sambucus racemosa,-105.230874,55.11321
Sambucus racemosa,-121.531886,53.033089
Sambucus racemosa,-61.073978,45.609692
Sambucus racemosa,-127.819882,52.732437
Sambucus racemosa,-119.290602,49.702693
Sambucus racemosa,-123.505775,48.944733
Sambucus racemosa,-63.593383,44.634503
Sambucus racemosa,-125.585886,49.512745
Sambucus racemosa,-124.820923,48.662723
Sambucus racemosa,-114.936889,50.199878
Sambucus racemosa,-61.330436,46.055469
Sambucus racemosa,-114.727633,49.121934
Sambucus racemosa,-117.932663,52.6096
Sambucus racemosa,-122.960887,50.029877
Sambucus racemosa,-122.487572,50.357796
Sambucus racemosa,-119.083105,49.613064
Sambucus racemosa,-124.567952,48.641377
Sambucus racemosa,-106.74798,52.06714
Sambucus racemosa,-106.628471,52.134228
Sambucus racemosa,-88.975778,48.50972
Sambucus racemosa,-117.892876,49.203731
Sambucus racemosa,-123.362428,48.730328
Sambucus racemosa,-114.054585,49.008034
Sambucus racemosa,-113.395492,49.733567
Sambucus racemosa,-70.4161,47.40799
Sambucus racemosa,-114.546913,49.402799
Sambucus racemosa,-60.650105,46.55748
Sambucus racemosa,-128.604754,54.528097
Sambucus racemosa,-122.542353,53.809828
Sambucus racemosa,-124.643495,48.797817
Sambucus racemosa,-60.807217,45.964212
Sambucus racemosa,-87.124528,48.780353
Sambucus racemosa,-120.108628,50.750417
Sambucus racemosa,-121.915009,54.695034
Sambucus racemosa,-81.551223,45.998174
Sambucus racemosa,-132.157708,54.020658
Sambucus racemosa,-77.542242,46.136517
Sambucus racemosa,-123.997575,55.10925
Sambucus racemosa,-60.182878,45.838814
Sambucus racemosa,-126.627258,49.915313
Sambucus racemosa,-114.804664,50.133389
Sambucus racemosa,-124.43933,48.546487
Sambucus racemosa,-114.004422,53.538738
Sambucus racemosa,-84.725097,47.448108
Sambucus racemosa,-60.459343,46.904988
Sambucus racemosa,-124.313641,49.319323
Sambucus racemosa,-64.258049,48.810448
Sambucus racemosa,-66.210462,45.147442
Sambucus racemosa,-79.211373,43.858567
Sambucus racemosa,-69.410775,48.03992
Sambucus racemosa,-66.498802,49.11845
Sambucus racemosa,-78.733128,45.049426
Sambucus racemosa,-58.156717,48.498761
Sambucus racemosa,-84.693442,49.463819
Sambucus racemosa,-80.044948,44.726727
Sambucus racemosa,-63.995123,46.387855
Sambucus racemosa,-82.868867,47.535862
Sambucus racemosa,-66.104919,45.339505
Sambucus racemosa,-79.199003,43.994178
Sambucus racemosa,-113.828365,53.564577
Sambucus racemosa,-81.029992,43.237155
Sambucus racemosa,-79.488599,44.119332
Sambucus racemosa,-74.213286,46.032898
Sambucus racemosa,-78.19252,44.877547
Sambucus racemosa,-87.399392,48.845842
Sambucus racemosa,-78.330761,44.724106
Sambucus racemosa,-121.368966,49.373984
Sambucus racemosa,-69.545185,48.243479
Sambucus racemosa,-79.468467,43.65263
Sambucus racemosa,-81.499908,43.632308
Sambucus racemosa,-71.493615,46.82946
Sambucus racemosa,-78.690857,44.669529
Sambucus racemosa,-76.629742,45.504894
Sambucus racemosa,-77.838588,44.303164
Sambucus racemosa,-78.555079,43.863318
Sambucus racemosa,-78.940315,43.970207
Sambucus racemosa,-66.580766,48.014879
Sambucus racemosa,-81.39515,46.651828
Sambucus racemosa,-76.504047,44.787362
Sambucus racemosa,-92.12621,49.996182
Sambucus racemosa,-65.406608,45.422325
Sambucus racemosa,-79.1606,43.149608
Sambucus racemosa,-79.734575,44.106955
Sambucus racemosa,-80.934056,44.53105
Sambucus racemosa,-77.36812,45.973587
Sambucus racemosa,-79.244788,43.700156
Sambucus racemosa,-130.618998,54.300168
Sambucus racemosa,-80.582715,43.493785
Sambucus racemosa,-70.470306,47.903394
Sambucus racemosa,-122.890097,53.966752
Sambucus racemosa,-63.459493,45.25051
Sambucus racemosa,-79.026172,45.258637
Sambucus racemosa,-85.667153,48.692862
Sambucus racemosa,-84.894668,47.7903
Sambucus racemosa,-62.002242,45.662528
Sambucus racemosa,-93.307283,48.65266
Sambucus racemosa,-64.766214,45.638376
Sambucus racemosa,-65.821654,47.558505
Sambucus racemosa,-120.804417,53.106888
Sambucus racemosa,-83.584395,46.869154
Sambucus racemosa,-81.140026,46.409141
Sambucus racemosa,-79.718521,47.364159
Sambucus racemosa,-79.874692,43.292948
Sambucus racemosa,-79.592035,44.562051
Sambucus racemosa,-79.139374,46.242725
Sambucus racemosa,-64.165687,45.741401
Sambucus racemosa,-113.381508,53.560982
Sambucus racemosa,-90.469891,48.83685
Sambucus racemosa,-62.177162,45.75103
Sambucus racemosa,-79.036636,44.031273
Sambucus racemosa,-76.83272,44.717192
Sambucus racemosa,-79.418578,43.934972
Sambucus racemosa,-78.41348,44.514351
Sambucus racemosa,-83.566223,46.246754
Sambucus racemosa,-62.096744,45.485969
Sambucus racemosa,-79.880325,47.799149
Sambucus racemosa,-124.334472,48.642114
Sambucus racemosa,-80.549585,45.933226
Sambucus racemosa,-84.545151,47.884074
Sambucus racemosa,-61.951958,45.352955
Sambucus racemosa,-65.819547,46.937693
Sambucus racemosa,-78.548972,44.231108
Sambucus racemosa,-126.70507,54.882467
Sambucus racemosa,-64.05565,45.052703
Sambucus racemosa,-63.078477,46.411539
Sambucus racemosa,-66.812232,47.390747
Sambucus racemosa,-63.233216,45.110127
Sambucus racemosa,-84.41664,46.541434
Sambucus racemosa,-81.050285,46.600002
Sambucus racemosa,-73.007511,46.668555
Sambucus racemosa,-84.559342,46.817967
Sambucus racemosa,-67.573062,45.83601
Sambucus racemosa,-122.705589,49.3007
Sambucus racemosa,-64.081905,46.509237
Sambucus racemosa,-63.702431,46.55925
Sambucus racemosa,-64.929987,46.590972
Sambucus racemosa,-81.84677,46.155064
Sambucus racemosa,-78.199403,44.74127
Sambucus racemosa,-113.612538,53.669006
Sambucus racemosa,-72.542533,46.668694
Sambucus racemosa,-78.985606,45.442726
Sambucus racemosa,-72.964774,46.582129
Sambucus racemosa,-124.857561,49.937834
Sambucus racemosa,-123.359005,49.398103
Sambucus racemosa,-117.920379,51.086981
Sambucus racemosa,-78.55498,45.128948
Sambucus racemosa,-72.56218,46.416122
Sambucus racemosa,-79.402531,45.626826
Sambucus racemosa,-69.939713,48.264437
Sambucus racemosa,-124.982712,48.704037
Sambucus racemosa,-76.430016,45.571778
Sambucus racemosa,-79.202439,46.836109
Sambucus racemosa,-76.478507,44.537334
Sambucus racemosa,-63.852676,45.743925
Sambucus racemosa,-84.065948,46.464958
Sambucus racemosa,-63.484675,46.409663
Sambucus racemosa,-63.959805,45.571158
Sambucus racemosa,-80.391624,43.699062
Sambucus racemosa,-63.392447,46.344005
Sambucus racemosa,-125.719268,49.38553
Sambucus racemosa,-79.913231,44.752281
Sambucus racemosa,-65.157593,45.513813
Sambucus racemosa,-79.33725,47.59517
Sambucus racemosa,-76.954133,44.037225
Sambucus racemosa,-80.03418,48.154812
Sambucus racemosa,-75.988694,44.46231
Sambucus racemosa,-75.34917,45.258706
Sambucus racemosa,-79.034119,45.031548
Sambucus racemosa,-75.626402,45.097617
Sambucus racemosa,-121.099128,53.327304
Sambucus racemosa,-76.97428,44.686879
Sambucus racemosa,-119.284226,50.113637
Sambucus racemosa,-78.379124,45.837353
Sambucus racemosa,-72.82122,45.043706
Sambucus racemosa,-66.780556,45.994167
Sambucus racemosa,-114.792658,50.508317
Sambucus racemosa,-80.098033,43.372198
Sambucus racemosa,-77.875534,44.429482
Sambucus racemosa,-75.800583,45.497329
Sambucus racemosa,-115.172428,50.950778
Sambucus racemosa,-79.165971,44.158578
Sambucus racemosa,-74.06031,45.891132
Sambucus racemosa,-75.846491,46.263353
Sambucus racemosa,-67.0484,45.082039
Sambucus racemosa,-125.159195,50.025074
Sambucus racemosa,-124.296417,48.500805
Sambucus racemosa,-76.245536,45.281821
Sambucus racemosa,-117.543908,53.249172
Sambucus racemosa,-71.43235,47.979678
Sambucus racemosa,-79.836237,43.993981
Sambucus racemosa,-74.12324,46.280445
Sambucus racemosa,-114.455597,49.488408
Sambucus racemosa,-59.225567,47.778119
Sambucus racemosa,-76.549454,44.362225
Sambucus racemosa,-123.121626,49.7807
Sambucus racemosa,-125.030044,49.61553
Sambucus racemosa,-121.957577,49.242243
Sambucus racemosa,-76.235455,44.95945
Sambucus racemosa,-64.575028,45.818443
Sambucus racemosa,-122.733758,54.166454
Sambucus racemosa,-99.966947,49.872614
Sambucus racemosa,-65.643282,47.798783
Sambucus racemosa,-122.470184,49.131897
Sambucus racemosa,-63.735553,44.560138
Sambucus racemosa,-60.563504,46.241222
Sambucus racemosa,-120.073689,51.901668
Sambucus racemosa,-119.492586,53.001466
Sambucus racemosa,-72.323494,45.299081
Sambucus racemosa,-63.281238,45.706622
Sambucus racemosa,-70.145194,50.74115
Sambucus racemosa,-78.258653,44.209753
Sambucus racemosa,-124.11976,49.275643
Sambucus racemosa,-118.761614,50.892145
Sambucus racemosa,-115.536288,51.20449
Sambucus racemosa,-83.790829,46.289377
Sambucus racemosa,-89.20008,48.312753
Sambucus racemosa,-114.675438,49.513833
Sambucus racemosa,-118.628629,50.401473
Sambucus racemosa,-71.261459,46.556652
Sambucus racemosa,-116.054886,51.016388
Sambucus racemosa,-122.943106,49.752959
Sambucus racemosa,-64.910766,45.619985
Sambucus racemosa,-68.58119,47.694475
Sambucus racemosa,-91.123404,48.673183
Sambucus racemosa,-67.323792,46.205422
Sambucus racemosa,-63.382039,46.487188
Sambucus racemosa,-64.959846,46.820717
Sambucus racemosa,-125.501038,49.048153
Sambucus racemosa,-62.775467,45.762775
Sambucus racemosa,-64.211067,45.254764
Sambucus racemosa,-124.983697,50.030883
Sambucus racemosa,-126.896161,49.845464
Sambucus racemosa,-125.389925,50.139285
Sambucus racemosa,-73.825275,45.725489
Sambucus racemosa,-72.096816,46.809365
Sambucus racemosa,-65.825583,43.723653
Sambucus racemosa,-76.662858,45.162892
Sambucus racemosa,-64.549432,45.059221
Sambucus racemosa,-84.500972,46.901305
Sambucus racemosa,-114.967378,49.03907
Sambucus racemosa,-100.051032,51.157924
Sambucus racemosa,-128.687805,54.013599
Sambucus racemosa,-77.581511,44.581786
Sambucus racemosa,-100.130497,49.828574
Sambucus racemosa,-62.548908,45.544705
Sambucus racemosa,-74.679935,46.127907
Sambucus racemosa,-70.641502,46.597047
Sambucus racemosa,-77.840895,48.127184
Sambucus racemosa,-76.182109,44.773204
Sambucus racemosa,-64.489901,44.247744
Sambucus racemosa,-65.931602,44.606635
Sambucus racemosa,-64.396463,45.008028
Sambucus racemosa,-77.688633,43.999522
Sambucus racemosa,-79.098303,44.809505
Sambucus racemosa,-70.586403,47.263905
Sambucus racemosa,-79.441798,46.328533
Sambucus racemosa,-80.24144,43.185045
Sambucus racemosa,-74.046976,45.718358
Sambucus racemosa,-76.474635,44.886753
Sambucus racemosa,-79.7933,43.893497
Sambucus racemosa,-82.257675,45.903962
Sambucus racemosa,-76.75,45.418
Sambucus racemosa,-60.6783,46.331937
Sambucus racemosa,-64.068716,44.499692
Sambucus racemosa,-79.096092,42.845445
Sambucus racemosa,-75.532556,46.544491
Sambucus racemosa,-76.372686,45.332793
Sambucus racemosa,-76.154176,45.145666
Sambucus racemosa,-79.845154,44.981667
Sambucus racemosa,-78.550747,44.341333
Sambucus racemosa,-77.070508,45.631025
Sambucus racemosa,-66.130583,44.231718
Sambucus racemosa,-80.09378,44.283978
Sambucus racemosa,-81.490075,44.41178
Sambucus racemosa,-63.917636,44.935698
Sambucus racemosa,-75.707036,45.277575
Sambucus racemosa,-60.0003,46.207713
Sambucus racemosa,-63.348588,46.162065
Sambucus racemosa,-79.585034,44.415148
Sambucus racemosa,-71.876543,45.368224
Sambucus racemosa,-122.170506,49.088957
Sambucus racemosa,-70.475242,46.631908
Sambucus racemosa,-72.097638,45.61393
Sambucus racemosa,-71.758095,48.454187
Sambucus racemosa,-71.340163,49.027083
Sambucus racemosa,-77.1304,44.006013
Sambucus racemosa,-66.81247,44.650817
Sambucus racemosa,-80.541135,42.769747
Sambucus racemosa,-80.931253,44.322792
Sambucus racemosa,-121.995423,49.134601
Sambucus racemosa,-80.960801,42.773591
Sambucus racemosa,-80.113007,43.937625
Sambucus racemosa,-77.629035,44.384968
Sambucus racemosa,-127.348244,50.677486
Sambucus racemosa,-127.510521,50.707155
Sambucus racemosa,-77.8953,44.068553
Sambucus racemosa,-79.246098,45.323166
Sambucus racemosa,-121.521313,49.363333
