SPECIES,longitude,latitude
Shepherdia argentea,-97.08846,49.899226
Shepherdia argentea,-97.113914,49.810333
Shepherdia argentea,-111.265576,52.634811
Shepherdia argentea,-97.240511,49.868609
Shepherdia argentea,-96.881453,50.040103
Shepherdia argentea,-113.622271,53.464983
Shepherdia argentea,-114.147036,50.991278
Shepherdia argentea,-108.492203,50.924647
Shepherdia argentea,-107.662117,49.205258
Shepherdia argentea,-107.228842,52.669873
Shepherdia argentea,-113.486947,53.541118
Shepherdia argentea,-112.89705,51.54677
Shepherdia argentea,-112.099664,51.121637
Shepherdia argentea,-101.0291,49.269868
Shepherdia argentea,-111.935325,50.843103
Shepherdia argentea,-95.322841,49.685205
Shepherdia argentea,-96.030523,50.118909
Shepherdia argentea,-97.005278,49.975
Shepherdia argentea,-106.77563,51.183797
Shepherdia argentea,-105.178905,50.994134
Shepherdia argentea,-99.768158,50.485163
Shepherdia argentea,-107.506804,49.154601
Shepherdia argentea,-104.591539,50.427014
Shepherdia argentea,-104.731016,50.714065
Shepherdia argentea,-113.941385,51.032983
Shepherdia argentea,-113.279266,50.996355
Shepherdia argentea,-114.025272,51.273249
Shepherdia argentea,-113.047466,51.896804
Shepherdia argentea,-113.79394,52.284159
Shepherdia argentea,-109.109969,51.923242
Shepherdia argentea,-106.593658,52.2219
Shepherdia argentea,-106.483178,51.917975
Shepherdia argentea,-106.901787,51.681062
Shepherdia argentea,-112.78917,51.479603
Shepherdia argentea,-114.218475,51.099714
Shepherdia argentea,-111.613878,49.128175
Shepherdia argentea,-106.580262,52.103825
Shepherdia argentea,-98.535683,49.240836
Shepherdia argentea,-106.981749,51.849367
Shepherdia argentea,-112.12922,51.004112
Shepherdia argentea,-112.92498,51.680772
Shepherdia argentea,-106.612244,51.118652
Shepherdia argentea,-107.996996,50.644851
Shepherdia argentea,-110.687631,50.004675
Shepherdia argentea,-105.577355,50.409072
Shepherdia argentea,-106.762714,52.097442
Shepherdia argentea,-105.410575,50.592217
Shepherdia argentea,-113.451327,50.827868
Shepherdia argentea,-112.789513,49.651162
Shepherdia argentea,-112.948322,49.663697
Shepherdia argentea,-114.093571,51.155028
Shepherdia argentea,-112.947462,51.30137
Shepherdia argentea,-111.902768,50.726901
Shepherdia argentea,-97.134266,50.177036
Shepherdia argentea,-114.0214,50.881522
Shepherdia argentea,-107.531906,50.116376
Shepherdia argentea,-113.621371,52.391512
Shepherdia argentea,-108.243683,53.021408
Shepherdia argentea,-99.815963,51.133933
Shepherdia argentea,-109.86972,50.929235
Shepherdia argentea,-113.410247,49.731788
Shepherdia argentea,-99.95,49.85
Shepherdia argentea,-108.422337,49.331325
Shepherdia argentea,-106.498849,51.039361
Shepherdia argentea,-98.380528,49.424889
Shepherdia argentea,-99.09728805,49.7008889
Shepherdia argentea,-96.060556,50.253611
Shepherdia argentea,-104.839096,50.554452
Shepherdia argentea,-112.85122,49.746431
Shepherdia argentea,-106.719003,51.9796
Shepherdia argentea,-106.071336,50.250815
Shepherdia argentea,-104.909828,50.766524
Shepherdia argentea,-99.261646,49.653189
Shepherdia argentea,-113.552902,49.716798
Shepherdia argentea,-107.150524,52.372989
Shepherdia argentea,-106.8131,51.9062
Shepherdia argentea,-110.9,49.133333
Shepherdia argentea,-107.35,52.216667
Shepherdia argentea,-111.483333,49.083333
Shepherdia argentea,-110.016667,50.95
Shepherdia argentea,-111.566667,50.75
Shepherdia argentea,-104.7215,50.0953
Shepherdia argentea,-112.066667,50.25
Shepherdia argentea,-111.6025,50.8381
Shepherdia argentea,-107.25504,50.89245
Shepherdia argentea,-106.48828,52.81287
