SPECIES,longitude,latitude
Sorbus decora,-78.872267,44.63321
Sorbus decora,-78.698379,44.733237
Sorbus decora,-65.684619,44.617311
Sorbus decora,-66.893056,47.369444
Sorbus decora,-64.220134,48.528022
Sorbus decora,-84.34514,46.547241
Sorbus decora,-78.764881,44.367099
Sorbus decora,-84.920156,47.540287
Sorbus decora,-79.771642,47.066547
Sorbus decora,-71.097272,46.878036
Sorbus decora,-88.563072,48.924063
Sorbus decora,-60.387213,46.714863
Sorbus decora,-90.468191,48.838255
Sorbus decora,-60.839595,46.719147
Sorbus decora,-75.807487,45.651755
Sorbus decora,-66.641869,45.957371
Sorbus decora,-83.922265,49.837235
Sorbus decora,-89.207162,48.317803
Sorbus decora,-71.927292,45.387275
Sorbus decora,-87.39894,48.846655
Sorbus decora,-92.125858,49.998943
Sorbus decora,-90.0839,48.389978
Sorbus decora,-73.256141,45.319553
Sorbus decora,-80.618042,51.249542
Sorbus decora,-87.286711,51.270621
Sorbus decora,-88.671813,48.788937
Sorbus decora,-84.2692,47.956487
Sorbus decora,-91.963333,48.494167
Sorbus decora,-89.546513,48.02742
Sorbus decora,-87.369096,52.970909
Sorbus decora,-56.102794,49.426803
Sorbus decora,-52.688584,47.571224
Sorbus decora,-60.309812,53.29523
Sorbus decora,-88.036533,51.620329
Sorbus decora,-78.739117,48.510135
Sorbus decora,-68.547923,48.445048
Sorbus decora,-64.445768,45.162408
Sorbus decora,-88.624552,48.360985
Sorbus decora,-89.367028,50.783562
Sorbus decora,-78.025691,45.323654
Sorbus decora,-87.25,52.1
Sorbus decora,-82.13973,49.419053
Sorbus decora,-86.618697,48.77314
Sorbus decora,-80.035747,48.157567
Sorbus decora,-81.572175,45.308712
Sorbus decora,-64.781975,45.603146
Sorbus decora,-80.937866,46.460774
Sorbus decora,-88.265786,48.982064
Sorbus decora,-71.207742,48.482056
Sorbus decora,-89.624726,48.401933
Sorbus decora,-77.583333,51.333333
Sorbus decora,-55.78,53.45
Sorbus decora,-68.38,58.12
Sorbus decora,-84.897041,47.790466
Sorbus decora,-90.446236,49.423214
Sorbus decora,-56.710815,51.592577
Sorbus decora,-57.79145,49.593033
Sorbus decora,-84.342355,46.742918
Sorbus decora,-87.872552,48.748583
Sorbus decora,-87.988961,48.697075
Sorbus decora,-91.55074,49.465838
Sorbus decora,-78.777885,43.870077
Sorbus decora,-60.375856,53.438776
Sorbus decora,-59.192572,55.090489
Sorbus decora,-85.845555,49.116107
Sorbus decora,-89.188791,48.489397
Sorbus decora,-64.318433,45.053113
Sorbus decora,-88.822983,48.475217
Sorbus decora,-78.696081,45.541963
Sorbus decora,-78.37095,45.587746
Sorbus decora,-88.207405,48.600706
Sorbus decora,-79.870767,48.289672
Sorbus decora,-79.01687,44.753163
Sorbus decora,-86.351447,48.759403
Sorbus decora,-84.710374,47.108712
Sorbus decora,-84.609955,47.323154
Sorbus decora,-83.82056,47.861665
Sorbus decora,-85.871889,47.695034
Sorbus decora,-86.940382,48.68572
Sorbus decora,-86.304406,48.58961
Sorbus decora,-63.249167,50.446389
Sorbus decora,-63.216111,50.543611
Sorbus decora,-87.556125,48.75215
Sorbus decora,-79.019268,45.94237
Sorbus decora,-66.461538,45.169383
Sorbus decora,-88.11553,48.893341
Sorbus decora,-88.495051,48.832461
Sorbus decora,-82.166667,50.083333
Sorbus decora,-80.086212,47.001329
Sorbus decora,-84.75,47
Sorbus decora,-81.298828,44.925918
Sorbus decora,-87.868414,52.242856
Sorbus decora,-80.058333,44.966667
Sorbus decora,-80.75,49.5
Sorbus decora,-93.204491,50.202651
