SPECIES,longitude,latitude
Vaccinium microcarpum,-135.315628,61.888378
Vaccinium microcarpum,-138.505339,64.269094
Vaccinium microcarpum,-128.76304,60.086523
Vaccinium microcarpum,-138.824377,64.032215
Vaccinium microcarpum,-138.912199,63.6774
Vaccinium microcarpum,-135.71367,62.113206
Vaccinium microcarpum,-133.660539,60.49765
Vaccinium microcarpum,-133.233333,68.9
Vaccinium microcarpum,-122.695459,58.501181
Vaccinium microcarpum,-118.845062,55.640377
Vaccinium microcarpum,-123.512654,54.717828
Vaccinium microcarpum,-135.047446,59.71773
Vaccinium microcarpum,-136.815111,59.930064
Vaccinium microcarpum,-136.599186,59.783817
Vaccinium microcarpum,-135.186834,60.787499
Vaccinium microcarpum,-137.062599,60.454753
Vaccinium microcarpum,-111.004033,57.321682
Vaccinium microcarpum,-139,67.65
Vaccinium microcarpum,-125.2,56.8
Vaccinium microcarpum,-129.85,59.29
Vaccinium microcarpum,-135.8,68.2
Vaccinium microcarpum,-138.2,64.5
Vaccinium microcarpum,-131.84,56.65
Vaccinium microcarpum,-134.3,68.5
Vaccinium microcarpum,-122.7,58.7
Vaccinium microcarpum,-128.49,57.83
Vaccinium microcarpum,-129.5,65.4
Vaccinium microcarpum,-119.22,49.98
Vaccinium microcarpum,-104,53.4
Vaccinium microcarpum,-130.04,63.25
Vaccinium microcarpum,-63.522778,50.268333
Vaccinium microcarpum,-63.219167,50.386667
Vaccinium microcarpum,-63.669444,50.273056
Vaccinium microcarpum,-66.060556,50.306389
Vaccinium microcarpum,-109.1,62.75
Vaccinium microcarpum,-111.579827,54.85815
Vaccinium microcarpum,-87.63323445,55.99998265
Vaccinium microcarpum,-85.29983906,53.13324911
Vaccinium microcarpum,-84.6167,54.5
Vaccinium microcarpum,-97.00039523,62.50009117
Vaccinium microcarpum,-79.8667,47.8167
Vaccinium microcarpum,-85.4167,55.0167
Vaccinium microcarpum,-98.16709797,60.00002606
Vaccinium microcarpum,-101.333,60.9667
Vaccinium microcarpum,-81.48300449,50.73323181
Vaccinium microcarpum,-87.6167,56.5667
Vaccinium microcarpum,-96.61821246,50.26790157
Vaccinium microcarpum,-123.9992,60.05361
Vaccinium microcarpum,-113.2513,55.0967
Vaccinium microcarpum,-110.149693,64.445999
Vaccinium microcarpum,-115.166667,51.75
Vaccinium microcarpum,-70.9,53.2
Vaccinium microcarpum,-135.896611,63.595222
Vaccinium microcarpum,-68.75,50.616667
Vaccinium microcarpum,-74.9,50.083333
Vaccinium microcarpum,-73.416667,47.75
Vaccinium microcarpum,-73.916667,47.966667
Vaccinium microcarpum,-76.316667,50.666667
Vaccinium microcarpum,-117.6105,56.1894
Vaccinium microcarpum,-117.495158,59.942932
Vaccinium microcarpum,-120.083333,63.866667
Vaccinium microcarpum,-113.833333,63.166667
Vaccinium microcarpum,-127.5,62.066667
Vaccinium microcarpum,-134.669359,69.024331
Vaccinium microcarpum,-119.897014,53.928117
Vaccinium microcarpum,-116.5797,54.1687
Vaccinium microcarpum,-114.516667,53.8
Vaccinium microcarpum,-116.8,54.4
Vaccinium microcarpum,-115.4,54.716667
Vaccinium microcarpum,-112.683333,52.916667
Vaccinium microcarpum,-114.15,55.116667
Vaccinium microcarpum,-112.8,54.083333
