SPECIES,longitude,latitude
Vaccinium ovalifolium,-128.604283,54.119567
Vaccinium ovalifolium,-121.239703,53.274797
Vaccinium ovalifolium,-122.831883,53.895603
Vaccinium ovalifolium,-129.060477,55.178573
Vaccinium ovalifolium,-84.331567,46.544784
Vaccinium ovalifolium,-119.113733,52.540133
Vaccinium ovalifolium,-128.662719,54.552539
Vaccinium ovalifolium,-128.681975,53.246161
Vaccinium ovalifolium,-84.088063,46.687485
Vaccinium ovalifolium,-128.60762,54.418045
Vaccinium ovalifolium,-128.297592,54.996983
Vaccinium ovalifolium,-84.166789,46.61002
Vaccinium ovalifolium,-129.273269,56.0615
Vaccinium ovalifolium,-123.049995,49.749664
Vaccinium ovalifolium,-128.783322,55.829105
Vaccinium ovalifolium,-119.29425,52.114838
Vaccinium ovalifolium,-121.662056,53.891914
Vaccinium ovalifolium,-122.562782,55.497066
Vaccinium ovalifolium,-121.456147,49.088486
Vaccinium ovalifolium,-121.145875,49.607333
Vaccinium ovalifolium,-84.579836,46.90732
Vaccinium ovalifolium,-121.735987,54.007846
Vaccinium ovalifolium,-120.851647,49.042642
Vaccinium ovalifolium,-84.135987,46.939687
Vaccinium ovalifolium,-125.436645,49.247908
Vaccinium ovalifolium,-120.651833,49.009511
Vaccinium ovalifolium,-122.789147,50.410812
Vaccinium ovalifolium,-118.24993,52.210547
Vaccinium ovalifolium,-123.663508,49.593525
Vaccinium ovalifolium,-124.594642,48.65145
Vaccinium ovalifolium,-124.925297,48.69084
Vaccinium ovalifolium,-123.047437,49.39456
Vaccinium ovalifolium,-136.424851,59.485861
Vaccinium ovalifolium,-125.498921,48.956165
Vaccinium ovalifolium,-126.503738,49.756737
Vaccinium ovalifolium,-122.446787,50.385035
Vaccinium ovalifolium,-125.997688,49.169738
Vaccinium ovalifolium,-70.657701,47.768479
Vaccinium ovalifolium,-84.033718,46.787225
Vaccinium ovalifolium,-124.329095,48.638113
Vaccinium ovalifolium,-125.407415,49.391193
Vaccinium ovalifolium,-125.52094,49.454443
Vaccinium ovalifolium,-121.882742,49.963734
Vaccinium ovalifolium,-122.839428,49.280664
Vaccinium ovalifolium,-122.93069,49.144005
Vaccinium ovalifolium,-84.471861,46.456592
Vaccinium ovalifolium,-123.197403,49.25478
Vaccinium ovalifolium,-116.926094,49.909072
Vaccinium ovalifolium,-125.72303,49.057498
Vaccinium ovalifolium,-117.548356,50.131364
Vaccinium ovalifolium,-122.64025,49.387364
Vaccinium ovalifolium,-124.986834,49.700921
Vaccinium ovalifolium,-126.60173,50.271505
Vaccinium ovalifolium,-125.112169,49.568158
Vaccinium ovalifolium,-122.699092,49.29917
Vaccinium ovalifolium,-84.882299,47.513365
Vaccinium ovalifolium,-118.81757,50.898431
Vaccinium ovalifolium,-130.107642,53.772274
Vaccinium ovalifolium,-124.729328,48.624137
Vaccinium ovalifolium,-126.1764,50.969025
Vaccinium ovalifolium,-118.199637,51.147968
Vaccinium ovalifolium,-121.55393,53.825204
Vaccinium ovalifolium,-122.16901,50.166991
Vaccinium ovalifolium,-118.089212,50.834208
Vaccinium ovalifolium,-119.201247,53.065662
Vaccinium ovalifolium,-119.128006,52.123802
Vaccinium ovalifolium,-126.298003,50.162262
Vaccinium ovalifolium,-71.028672,48.62936
Vaccinium ovalifolium,-119.876593,50.88373
Vaccinium ovalifolium,-120.198563,52.181374
Vaccinium ovalifolium,-128.430817,51.992956
Vaccinium ovalifolium,-127.848617,51.77885
Vaccinium ovalifolium,-120.872595,53.168906
Vaccinium ovalifolium,-124.389201,49.974467
Vaccinium ovalifolium,-117.907675,51.106121
Vaccinium ovalifolium,-121.164466,54.570923
Vaccinium ovalifolium,-84.612199,47.434398
Vaccinium ovalifolium,-128.95308,54.486047
Vaccinium ovalifolium,-125.586044,49.681306
Vaccinium ovalifolium,-123.211767,50.186544
Vaccinium ovalifolium,-121.214172,53.760533
Vaccinium ovalifolium,-121.056131,49.230914
Vaccinium ovalifolium,-84.365946,46.848951
Vaccinium ovalifolium,-124.132538,48.523691
Vaccinium ovalifolium,-119.32457,51.916779
Vaccinium ovalifolium,-120.201311,52.080286
Vaccinium ovalifolium,-123.204506,49.397647
Vaccinium ovalifolium,-121.128075,49.096253
Vaccinium ovalifolium,-116.540814,51.462605
Vaccinium ovalifolium,-84.698902,47.209199
Vaccinium ovalifolium,-125.311163,49.723122
Vaccinium ovalifolium,-119.088527,49.181859
Vaccinium ovalifolium,-122.832244,49.387367
Vaccinium ovalifolium,-123.114441,50.053166
Vaccinium ovalifolium,-117.284231,49.48116
Vaccinium ovalifolium,-123.930795,49.684453
Vaccinium ovalifolium,-122.456183,49.324695
Vaccinium ovalifolium,-126.240753,50.0601
Vaccinium ovalifolium,-125.302764,49.184546
Vaccinium ovalifolium,-118.215727,51.005617
Vaccinium ovalifolium,-123.213806,49.514031
Vaccinium ovalifolium,-84.563245,46.64519
Vaccinium ovalifolium,-119.779228,51.630908
Vaccinium ovalifolium,-122.971634,50.132783
Vaccinium ovalifolium,-85.508401,47.626056
Vaccinium ovalifolium,-123.97721,49.54317
Vaccinium ovalifolium,-126.951174,50.284646
Vaccinium ovalifolium,-123.975651,49.14707
Vaccinium ovalifolium,-120.751961,49.122836
Vaccinium ovalifolium,-84.270844,46.756545
Vaccinium ovalifolium,-122.238054,49.293184
Vaccinium ovalifolium,-84.285138,46.968101
Vaccinium ovalifolium,-84.498106,46.990958
Vaccinium ovalifolium,-122.380807,49.247791
Vaccinium ovalifolium,-130.134137,54.240532
Vaccinium ovalifolium,-125.594322,50.108017
Vaccinium ovalifolium,-122.543313,49.246022
Vaccinium ovalifolium,-125.564287,49.578572
Vaccinium ovalifolium,-124.581782,49.270968
Vaccinium ovalifolium,-125.648378,49.882988
Vaccinium ovalifolium,-70.829283,48.602447
Vaccinium ovalifolium,-125.907914,49.838867
Vaccinium ovalifolium,-84.55773,46.7381
Vaccinium ovalifolium,-123.055856,49.943733
Vaccinium ovalifolium,-122.508703,49.15721
Vaccinium ovalifolium,-123.349603,49.373733
Vaccinium ovalifolium,-132.201858,53.656445
Vaccinium ovalifolium,-128.35509,54.86907
Vaccinium ovalifolium,-128.671825,54.645151
Vaccinium ovalifolium,-128.144592,51.648628
Vaccinium ovalifolium,-121.939767,53.919814
Vaccinium ovalifolium,-128.04256,52.281715
Vaccinium ovalifolium,-117.833333,51.5
Vaccinium ovalifolium,-84.579816,46.534644
Vaccinium ovalifolium,-57.6576,49.465828
Vaccinium ovalifolium,-66.155891,48.939835
Vaccinium ovalifolium,-57.931351,49.493346
Vaccinium ovalifolium,-121.168904,54.71264
Vaccinium ovalifolium,-131.954067,53.549429
Vaccinium ovalifolium,-129.296853,54.337155
Vaccinium ovalifolium,-123.134359,49.671829
Vaccinium ovalifolium,-131.845327,54.061817
Vaccinium ovalifolium,-84.943289,47.619073
Vaccinium ovalifolium,-84.953595,47.739587
Vaccinium ovalifolium,-116.82412,49.687388
Vaccinium ovalifolium,-125.257495,49.99431
Vaccinium ovalifolium,-125.131728,48.832912
Vaccinium ovalifolium,-63.93,51
Vaccinium ovalifolium,-129.99,55.94
Vaccinium ovalifolium,-124.7,50.2
Vaccinium ovalifolium,-125,49.2
Vaccinium ovalifolium,-129,55.05
Vaccinium ovalifolium,-118.2,52
Vaccinium ovalifolium,-126.01,54.78
Vaccinium ovalifolium,-121.38,53.23
Vaccinium ovalifolium,-122.1,54
Vaccinium ovalifolium,-117.27,49.2
Vaccinium ovalifolium,-125.82,49.95
Vaccinium ovalifolium,-117.9,50.6
Vaccinium ovalifolium,-132.27,53.21
Vaccinium ovalifolium,-122.73,49.11
Vaccinium ovalifolium,-121,52
Vaccinium ovalifolium,-132.3,53.3
Vaccinium ovalifolium,-133.64,59.5
Vaccinium ovalifolium,-117.5,51.8
Vaccinium ovalifolium,-128.2,54.1
Vaccinium ovalifolium,-121.5,53
Vaccinium ovalifolium,-122.6,52.3
Vaccinium ovalifolium,-129.48,55.46
Vaccinium ovalifolium,-121.6,52.6
Vaccinium ovalifolium,-122,54.2
Vaccinium ovalifolium,-122.8,50
Vaccinium ovalifolium,-127.91,52.74
Vaccinium ovalifolium,-129.470278,56.560556
Vaccinium ovalifolium,-128.453611,54.511667
Vaccinium ovalifolium,-129.8625,59.269167
Vaccinium ovalifolium,-126.6075,50.609444
Vaccinium ovalifolium,-127.75,53.15
Vaccinium ovalifolium,-137.783333,59.633333
Vaccinium ovalifolium,-127.233333,52.45
Vaccinium ovalifolium,-127.15,52.933333
Vaccinium ovalifolium,-127.283333,50.333333
Vaccinium ovalifolium,-131.816667,52.566667
Vaccinium ovalifolium,-122.633333,55.333333
Vaccinium ovalifolium,-123.883333,48.891667
Vaccinium ovalifolium,-84.563832,47.293257
Vaccinium ovalifolium,-84.783333,47.033333
Vaccinium ovalifolium,-84.681502,47.3414
Vaccinium ovalifolium,-84.401721,47.117624
Vaccinium ovalifolium,-84.598754,47.100762
Vaccinium ovalifolium,-132.102767,53.254345
Vaccinium ovalifolium,-127.93369,51.619348
Vaccinium ovalifolium,-135.177155,59.738333
Vaccinium ovalifolium,-125.2565,48.960159
Vaccinium ovalifolium,-122.977967,49.235432
Vaccinium ovalifolium,-84.905856,47.410932
Vaccinium ovalifolium,-129.483,61.4
Vaccinium ovalifolium,-130.317,54.3167
Vaccinium ovalifolium,-126.717,52.3667
Vaccinium ovalifolium,-134.867,60.1
Vaccinium ovalifolium,-85.7,47.7333
Vaccinium ovalifolium,-121,52.5
Vaccinium ovalifolium,-84.85,47.9333
Vaccinium ovalifolium,-84.688334,46.727465
Vaccinium ovalifolium,-84.379837,46.670097
Vaccinium ovalifolium,-60.5561,46.94383
Vaccinium ovalifolium,-57.769074,49.599391
Vaccinium ovalifolium,-66.230556,49.091667
Vaccinium ovalifolium,-72.55,51.783333
Vaccinium ovalifolium,-73.083333,50.716667
Vaccinium ovalifolium,-72.25,52.083333
Vaccinium ovalifolium,-72.250278,52.181111
Vaccinium ovalifolium,-73.05,51.55
Vaccinium ovalifolium,-67.416667,49.8
Vaccinium ovalifolium,-125.3,49.3
Vaccinium ovalifolium,-66.733333,50.266667
Vaccinium ovalifolium,-119.73321,53.735088
Vaccinium ovalifolium,-119.777868,53.517809
Vaccinium ovalifolium,-128.133333,52.166667
Vaccinium ovalifolium,-66,48.98306
Vaccinium ovalifolium,-57.83349,48.93221
Vaccinium ovalifolium,-57.55,49.766667
Vaccinium ovalifolium,-74.816667,62.183333
Vaccinium ovalifolium,-85.85,47.716667
Vaccinium ovalifolium,-66.902618,48.780054
Vaccinium ovalifolium,-66.683333,49.1
Vaccinium ovalifolium,-66.466059,49.134759
