SPECIES,longitude,latitude
Vaccinium scoparium,-120.127511,49.90215
Vaccinium scoparium,-114.762389,50.016914
Vaccinium scoparium,-117.11033,52.188338
Vaccinium scoparium,-116.185674,51.327505
Vaccinium scoparium,-115.008587,50.63891
Vaccinium scoparium,-120.650711,49.009589
Vaccinium scoparium,-117.167847,52.656933
Vaccinium scoparium,-116.625153,52.084784
Vaccinium scoparium,-119.293928,49.708799
Vaccinium scoparium,-114.937317,50.200478
Vaccinium scoparium,-116.141146,51.051954
Vaccinium scoparium,-114.798816,50.117245
Vaccinium scoparium,-119.414186,49.305767
Vaccinium scoparium,-114.026531,49.00861
Vaccinium scoparium,-118.48185,49.928695
Vaccinium scoparium,-121.065567,49.216113
Vaccinium scoparium,-114.914003,50.53185
Vaccinium scoparium,-116.18968,51.4345
Vaccinium scoparium,-119.26468,49.06638
Vaccinium scoparium,-115.27935,50.783072
Vaccinium scoparium,-114.139853,49.137687
Vaccinium scoparium,-119.872367,49.260387
Vaccinium scoparium,-122.555241,50.945285
Vaccinium scoparium,-115.986656,49.675101
Vaccinium scoparium,-116.018036,50.983928
Vaccinium scoparium,-119.163597,50.074841
Vaccinium scoparium,-120.000751,49.37065
Vaccinium scoparium,-119.66771,49.111232
Vaccinium scoparium,-118.784093,50.339898
Vaccinium scoparium,-119.4606,49.721566
Vaccinium scoparium,-115.44277,49.85042
Vaccinium scoparium,-116.2292,51.159114
Vaccinium scoparium,-120.830103,49.027456
Vaccinium scoparium,-116.216306,50.891834
Vaccinium scoparium,-120.763533,49.140142
Vaccinium scoparium,-115.732047,49.411658
Vaccinium scoparium,-116.448479,50.321121
Vaccinium scoparium,-115.578959,49.829699
Vaccinium scoparium,-117.7319,49.792143
Vaccinium scoparium,-116.549942,50.252962
Vaccinium scoparium,-116.564222,51.442856
Vaccinium scoparium,-117.58325,50.065214
Vaccinium scoparium,-115.074308,49.473308
Vaccinium scoparium,-116.139442,49.647003
Vaccinium scoparium,-118.946883,49.718475
Vaccinium scoparium,-116.024161,51.252403
Vaccinium scoparium,-121.822514,51.091406
Vaccinium scoparium,-114.307128,49.308217
Vaccinium scoparium,-118.107886,52.846703
Vaccinium scoparium,-117.943405,49.247055
Vaccinium scoparium,-117.689392,52.808997
Vaccinium scoparium,-114.865501,50.849941
Vaccinium scoparium,-117.470762,52.612193
Vaccinium scoparium,-116.427088,51.663947
Vaccinium scoparium,-118.043781,52.680522
Vaccinium scoparium,-120.304098,49.842943
Vaccinium scoparium,-115.194642,50.640962
Vaccinium scoparium,-124.753333,48.683333
Vaccinium scoparium,-114.95,49.066667
Vaccinium scoparium,-114.75,49.116667
Vaccinium scoparium,-121.481667,50.392222
Vaccinium scoparium,-120.9,49.547222
Vaccinium scoparium,-115.9,51.3
Vaccinium scoparium,-115.333333,50.9
Vaccinium scoparium,-119.225,49.183333
Vaccinium scoparium,-116.5,50.716667
Vaccinium scoparium,-115.779013,50.455445
Vaccinium scoparium,-120.207611,49.056188
Vaccinium scoparium,-115.133333,50.75
