SPECIES,longitude,latitude
Vaccinium uliginosum,-124.701683,58.631256
Vaccinium uliginosum,-83.842161,52.827352
Vaccinium uliginosum,-89.480044,50.575489
Vaccinium uliginosum,-86.499934,52.300716
Vaccinium uliginosum,-92.191678,63.005665
Vaccinium uliginosum,-57.72308,48.251835
Vaccinium uliginosum,-60.421904,46.993297
Vaccinium uliginosum,-65.951263,58.704972
Vaccinium uliginosum,-125.764595,58.94762
Vaccinium uliginosum,-137.896728,63.807142
Vaccinium uliginosum,-94.168533,58.676737
Vaccinium uliginosum,-136.245133,63.376155
Vaccinium uliginosum,-100.249309,67.229637
Vaccinium uliginosum,-136.306019,66.565487
Vaccinium uliginosum,-66.174783,48.932839
Vaccinium uliginosum,-67.211478,52.787945
Vaccinium uliginosum,-54.295198,49.718972
Vaccinium uliginosum,-78.566603,52.244389
Vaccinium uliginosum,-135.2697,60.641225
Vaccinium uliginosum,-140.809898,64.102397
Vaccinium uliginosum,-122.283028,56.149395
Vaccinium uliginosum,-77.288241,60.034801
Vaccinium uliginosum,-56.958892,51.441905
Vaccinium uliginosum,-128.763867,60.086325
Vaccinium uliginosum,-78.1143,58.464303
Vaccinium uliginosum,-140.982392,62.609689
Vaccinium uliginosum,-125.736256,61.604447
Vaccinium uliginosum,-139.495917,61.187991
Vaccinium uliginosum,-132.604003,61.984853
Vaccinium uliginosum,-138.505339,64.269094
Vaccinium uliginosum,-140.001231,64.197147
Vaccinium uliginosum,-113.784137,62.125972
Vaccinium uliginosum,-138.314571,64.417617
Vaccinium uliginosum,-135.277607,63.894427
Vaccinium uliginosum,-127.6588,62.10453
Vaccinium uliginosum,-138.823714,64.033026
Vaccinium uliginosum,-70.526667,47.733056
Vaccinium uliginosum,-122.983567,49.139156
Vaccinium uliginosum,-139.798142,64.535383
Vaccinium uliginosum,-89.522888,50.428147
Vaccinium uliginosum,-66.886703,48.77738
Vaccinium uliginosum,-122.616185,49.190646
Vaccinium uliginosum,-138.232222,64.508842
Vaccinium uliginosum,-123.59,49.572778
Vaccinium uliginosum,-140.980408,64.736389
Vaccinium uliginosum,-63.530289,44.493092
Vaccinium uliginosum,-60.209945,55.457692
Vaccinium uliginosum,-56.89877,51.066003
Vaccinium uliginosum,-70.464348,47.888016
Vaccinium uliginosum,-57.432175,49.192688
Vaccinium uliginosum,-87.18208,50.811159
Vaccinium uliginosum,-89.30102,48.39768
Vaccinium uliginosum,-54.182608,46.821629
Vaccinium uliginosum,-90.185943,48.93801
Vaccinium uliginosum,-119.044758,68.338751
Vaccinium uliginosum,-135.939636,60.965072
Vaccinium uliginosum,-53.011365,48.615932
Vaccinium uliginosum,-135.951675,60.828767
Vaccinium uliginosum,-68.143934,51.496677
Vaccinium uliginosum,-68.115032,51.6353
Vaccinium uliginosum,-56.939708,50.841754
Vaccinium uliginosum,-58.478574,48.791427
Vaccinium uliginosum,-66.013512,48.96007
Vaccinium uliginosum,-87.335152,52.989432
Vaccinium uliginosum,-113.001713,64.551378
Vaccinium uliginosum,-87.590045,56.071527
Vaccinium uliginosum,-128.240467,61.494109
Vaccinium uliginosum,-124.069583,48.4866
Vaccinium uliginosum,-73.577415,45.508684
Vaccinium uliginosum,-94.349738,58.39132
Vaccinium uliginosum,-58.078679,49.496844
Vaccinium uliginosum,-55.548919,52.213253
Vaccinium uliginosum,-77.388889,62.524722
Vaccinium uliginosum,-69.596493,59.299396
Vaccinium uliginosum,-124.929356,61.411726
Vaccinium uliginosum,-55.636808,51.305112
Vaccinium uliginosum,-70.796312,48.612475
Vaccinium uliginosum,-86.237115,48.450139
Vaccinium uliginosum,-123.030797,49.765208
Vaccinium uliginosum,-123.210731,49.400522
Vaccinium uliginosum,-68.534561,63.776148
Vaccinium uliginosum,-136.052052,60.567602
Vaccinium uliginosum,-135.90849,60.300918
Vaccinium uliginosum,-89.153978,50.76998
Vaccinium uliginosum,-86.188688,48.366087
Vaccinium uliginosum,-89.290855,50.819442
Vaccinium uliginosum,-71.95,61.6
Vaccinium uliginosum,-79.708401,54.63331
Vaccinium uliginosum,-111.710878,62.32925
Vaccinium uliginosum,-127.185775,54.634888
Vaccinium uliginosum,-132.140858,53.049966
Vaccinium uliginosum,-137.77386,61.791367
Vaccinium uliginosum,-135.110955,61.467069
Vaccinium uliginosum,-125.612808,49.685047
Vaccinium uliginosum,-123.258839,49.988978
Vaccinium uliginosum,-130.102158,63.199455
Vaccinium uliginosum,-55.953297,51.6046
Vaccinium uliginosum,-128.09555,52.149772
Vaccinium uliginosum,-127.728264,52.451939
Vaccinium uliginosum,-122.607576,49.060564
Vaccinium uliginosum,-138.290917,65.358277
Vaccinium uliginosum,-127.954815,51.610052
Vaccinium uliginosum,-125.821273,49.07873
Vaccinium uliginosum,-125.873047,49.857067
Vaccinium uliginosum,-123.59977,48.50713
Vaccinium uliginosum,-123.073753,49.949661
Vaccinium uliginosum,-134.738432,60.594439
Vaccinium uliginosum,-55.53343,51.596424
Vaccinium uliginosum,-132.101604,64.504391
Vaccinium uliginosum,-136.81548,59.930333
Vaccinium uliginosum,-70.269741,48.255046
Vaccinium uliginosum,-125.296083,50.171837
Vaccinium uliginosum,-126.47922,53.55976
Vaccinium uliginosum,-122.868233,57.054492
Vaccinium uliginosum,-128.006089,52.232464
Vaccinium uliginosum,-125.657722,49.011989
Vaccinium uliginosum,-125.619,49.838
Vaccinium uliginosum,-128.094765,51.637305
Vaccinium uliginosum,-54.805857,49.685658
Vaccinium uliginosum,-53.266945,47.664165
Vaccinium uliginosum,-126.353842,50.218078
Vaccinium uliginosum,-127.872467,51.776628
Vaccinium uliginosum,-116.342468,52.328625
Vaccinium uliginosum,-63.216667,55.333333
Vaccinium uliginosum,-52.623968,47.522369
Vaccinium uliginosum,-58.283333,52.833333
Vaccinium uliginosum,-61.416667,55.216667
Vaccinium uliginosum,-53.910469,48.567497
Vaccinium uliginosum,-61.858333,53.463889
Vaccinium uliginosum,-114.364417,62.585433
Vaccinium uliginosum,-135.792145,63.806575
Vaccinium uliginosum,-63.402563,50.201797
Vaccinium uliginosum,-86.619142,48.775258
Vaccinium uliginosum,-66.342045,44.255192
Vaccinium uliginosum,-124.203994,48.540123
Vaccinium uliginosum,-67.16075,49.78028
Vaccinium uliginosum,-71.011882,47.292686
Vaccinium uliginosum,-134.890573,60.667737
Vaccinium uliginosum,-134.899613,60.112811
Vaccinium uliginosum,-111.581903,64.871353
Vaccinium uliginosum,-136.017848,60.187776
Vaccinium uliginosum,-86.236765,48.766808
Vaccinium uliginosum,-82.657732,68.390254
Vaccinium uliginosum,-135.244763,60.752933
Vaccinium uliginosum,-53.598962,49.294942
Vaccinium uliginosum,-135.063903,60.732307
Vaccinium uliginosum,-128.325552,50.677544
Vaccinium uliginosum,-132.280062,53.352975
Vaccinium uliginosum,-81.304158,72.264309
Vaccinium uliginosum,-125.989682,49.170094
Vaccinium uliginosum,-87.163697,52.861436
Vaccinium uliginosum,-134.133333,68.7
Vaccinium uliginosum,-125.086075,49.591245
Vaccinium uliginosum,-65.228281,66.615464
Vaccinium uliginosum,-71.245193,47.455929
Vaccinium uliginosum,-68.303634,53.272898
Vaccinium uliginosum,-128.750632,62.203281
Vaccinium uliginosum,-128.596939,60.017686
Vaccinium uliginosum,-127.827728,52.062481
Vaccinium uliginosum,-86.374688,52.71732
Vaccinium uliginosum,-137.783433,65.785047
Vaccinium uliginosum,-88.65679,48.350418
Vaccinium uliginosum,-134.623145,60.058188
Vaccinium uliginosum,-66.375792,50.213297
Vaccinium uliginosum,-88.139705,48.604653
Vaccinium uliginosum,-87.113143,48.7697
Vaccinium uliginosum,-87.941237,48.701387
Vaccinium uliginosum,-88.463963,48.436252
Vaccinium uliginosum,-140.416667,68.1
Vaccinium uliginosum,-138.392138,64.632352
Vaccinium uliginosum,-82.3,74.5
Vaccinium uliginosum,-84.67,75.55
Vaccinium uliginosum,-136.314382,66.666833
Vaccinium uliginosum,-53.13764,48.797162
Vaccinium uliginosum,-79.083528,53.973655
Vaccinium uliginosum,-70.028784,58.496198
Vaccinium uliginosum,-133.447443,68.187537
Vaccinium uliginosum,-71.571484,57.406273
Vaccinium uliginosum,-75.663328,62.201508
Vaccinium uliginosum,-59.17334,55.092141
Vaccinium uliginosum,-57.791505,49.59306
Vaccinium uliginosum,-76.158597,57.749763
Vaccinium uliginosum,-68.372168,58.173119
Vaccinium uliginosum,-86.399875,48.748533
Vaccinium uliginosum,-136.890383,66.23556
Vaccinium uliginosum,-115.108611,67.824889
Vaccinium uliginosum,-70.007783,60.016317
Vaccinium uliginosum,-111.308271,62.31121
Vaccinium uliginosum,-140.428196,68.935287
Vaccinium uliginosum,-136.696336,67.778656
Vaccinium uliginosum,-140.157847,69.158735
Vaccinium uliginosum,-62.812201,50.285677
Vaccinium uliginosum,-128.943722,60.18227
Vaccinium uliginosum,-137.065413,60.454246
Vaccinium uliginosum,-132.085156,53.935129
Vaccinium uliginosum,-107.130453,66.245381
Vaccinium uliginosum,-131.818886,54.065688
Vaccinium uliginosum,-84.332489,55.246661
Vaccinium uliginosum,-136.037175,60.720493
Vaccinium uliginosum,-96.700675,65.388742
Vaccinium uliginosum,-55.866595,51.441542
Vaccinium uliginosum,-138.28,65.78
Vaccinium uliginosum,-59.33,55.28
Vaccinium uliginosum,-134.471787,64.576417
Vaccinium uliginosum,-85.310467,55.376116
Vaccinium uliginosum,-61.716572,56.529647
Vaccinium uliginosum,-53.089383,48.697979
Vaccinium uliginosum,-85.423405,55.01429
Vaccinium uliginosum,-74.570644,71.822243
Vaccinium uliginosum,-65.680326,66.140661
Vaccinium uliginosum,-140.985393,68.652375
Vaccinium uliginosum,-127.5,50.72
Vaccinium uliginosum,-128.7,54.8
Vaccinium uliginosum,-136,68.6
Vaccinium uliginosum,-133.91,69.35
Vaccinium uliginosum,-122,50.3
Vaccinium uliginosum,-133.1,61.6
Vaccinium uliginosum,-125.1,58.9
Vaccinium uliginosum,-122.82,49.07
Vaccinium uliginosum,-82,63
Vaccinium uliginosum,-135.1,67.8
Vaccinium uliginosum,-131.07,69.4
Vaccinium uliginosum,-128.49,57.83
Vaccinium uliginosum,-124.94,49.68
Vaccinium uliginosum,-101.05,56.85
Vaccinium uliginosum,-127.91,52.74
Vaccinium uliginosum,-127.69,52.35
Vaccinium uliginosum,-94.1,56.5
Vaccinium uliginosum,-116.5,49.1
Vaccinium uliginosum,-123.3,59.9
Vaccinium uliginosum,-126.58,50.22
Vaccinium uliginosum,-76.33,45.17
Vaccinium uliginosum,-128.6,54.52
Vaccinium uliginosum,-139.43,64.06
Vaccinium uliginosum,-130.1,54.3
Vaccinium uliginosum,-122,58.6
Vaccinium uliginosum,-94,58.8
Vaccinium uliginosum,-134.3,68.5
Vaccinium uliginosum,-119.85,49.82
Vaccinium uliginosum,-135.01,68.22
Vaccinium uliginosum,-133.6,69.5
Vaccinium uliginosum,-132.31,69.09
Vaccinium uliginosum,-77,62
Vaccinium uliginosum,-124.1,57.2
Vaccinium uliginosum,-123,57
Vaccinium uliginosum,-131.84,56.65
Vaccinium uliginosum,-121.5,64
Vaccinium uliginosum,-125.4,58.5
Vaccinium uliginosum,-87.744199,48.753729
Vaccinium uliginosum,-66.02,50.304167
Vaccinium uliginosum,-124.264444,57.683278
Vaccinium uliginosum,-129.941583,57.549194
Vaccinium uliginosum,-127.565333,54.098167
Vaccinium uliginosum,-126.715028,53.239833
Vaccinium uliginosum,-127.218333,57.593333
Vaccinium uliginosum,-127.959444,57.864444
Vaccinium uliginosum,-132.821944,59.399444
Vaccinium uliginosum,-132.5375,59.021667
Vaccinium uliginosum,-134.4525,59.988333
Vaccinium uliginosum,-134.857222,59.938056
Vaccinium uliginosum,-136.5775,59.823889
Vaccinium uliginosum,-125.503611,59.0025
Vaccinium uliginosum,-128.255278,58.715833
Vaccinium uliginosum,-128.965833,58.304167
Vaccinium uliginosum,-129.5225,58.7175
Vaccinium uliginosum,-125.909444,59.035556
Vaccinium uliginosum,-127.762778,56.052778
Vaccinium uliginosum,-128.703333,54.894722
Vaccinium uliginosum,-128.5925,55.066389
Vaccinium uliginosum,-129.478611,58.530556
Vaccinium uliginosum,-123.883333,48.891667
Vaccinium uliginosum,-130.273056,56.761667
Vaccinium uliginosum,-129.057222,53.275
Vaccinium uliginosum,-130.53,53.569722
Vaccinium uliginosum,-128.938333,59.464722
Vaccinium uliginosum,-131.470278,58.458889
Vaccinium uliginosum,-130.54,59.240278
Vaccinium uliginosum,-140.359444,64.193333
Vaccinium uliginosum,-125.272222,56.558056
Vaccinium uliginosum,-126.492222,53.660278
Vaccinium uliginosum,-127.251111,53.735556
Vaccinium uliginosum,-125.14,48.8
Vaccinium uliginosum,-130.75,54.383333
Vaccinium uliginosum,-126.606389,50.444722
Vaccinium uliginosum,-126.066667,49.283333
Vaccinium uliginosum,-125.348056,49.922222
Vaccinium uliginosum,-127.75,53.133333
Vaccinium uliginosum,-137.533333,59.516667
Vaccinium uliginosum,-137.166667,59.716667
Vaccinium uliginosum,-127.233333,52.45
Vaccinium uliginosum,-127.15,53.033333
Vaccinium uliginosum,-123.916667,59.383333
Vaccinium uliginosum,-135.133333,59.616667
Vaccinium uliginosum,-133.816667,59.433333
Vaccinium uliginosum,-126.2,59.2
Vaccinium uliginosum,-127.733333,50.145
Vaccinium uliginosum,-133.65,58.583333
Vaccinium uliginosum,-120.283333,54
Vaccinium uliginosum,-125.3,49.733333
Vaccinium uliginosum,-123.133333,49.15
Vaccinium uliginosum,-124.95,51.133333
Vaccinium uliginosum,-125.553333,49.461667
Vaccinium uliginosum,-121.416667,57.2
Vaccinium uliginosum,-137.7,59.616667
Vaccinium uliginosum,-124.266667,49.15
Vaccinium uliginosum,-127.495833,55.35
Vaccinium uliginosum,-126.95,52.833333
Vaccinium uliginosum,-125.383333,48.85
Vaccinium uliginosum,-125.9,50.016667
Vaccinium uliginosum,-128.783333,57.583333
Vaccinium uliginosum,-122.033333,59.866667
Vaccinium uliginosum,-129.416667,53.083333
Vaccinium uliginosum,-131.883333,59.95
Vaccinium uliginosum,-124.45,58.666667
Vaccinium uliginosum,-125.45,59.716667
Vaccinium uliginosum,-136.583333,59.683333
Vaccinium uliginosum,-127.066667,50.566667
Vaccinium uliginosum,-133.366667,59.7
Vaccinium uliginosum,-123.383333,48.491667
Vaccinium uliginosum,-133.966667,59.3
Vaccinium uliginosum,-129.75,58.25
Vaccinium uliginosum,-132.05,53.683333
Vaccinium uliginosum,-130.333333,59.916667
Vaccinium uliginosum,-131.833333,52.7
Vaccinium uliginosum,-128.55,54.016667
Vaccinium uliginosum,-128.033333,54.533333
Vaccinium uliginosum,-127.166667,54.45
Vaccinium uliginosum,-130.316667,54.316667
Vaccinium uliginosum,-133.7,59.566667
Vaccinium uliginosum,-127.666667,50.75
Vaccinium uliginosum,-126,49.5
Vaccinium uliginosum,-125.45,50.016667
Vaccinium uliginosum,-127,54
Vaccinium uliginosum,-129,58.4
Vaccinium uliginosum,-126.8,52.283333
Vaccinium uliginosum,-136.5,59.5
Vaccinium uliginosum,-129.75,59.25
Vaccinium uliginosum,-124.6,49.216667
Vaccinium uliginosum,-125.216667,49.65
Vaccinium uliginosum,-123.866667,48.583333
Vaccinium uliginosum,-131.983333,59.45
Vaccinium uliginosum,-128.516667,52.583333
Vaccinium uliginosum,-60.569185,46.640878
Vaccinium uliginosum,-64.76074,56.398852
Vaccinium uliginosum,-138.833,61.5833
Vaccinium uliginosum,-133.85,60.3667
Vaccinium uliginosum,-102.583,64.1667
Vaccinium uliginosum,-136.683,63.4167
Vaccinium uliginosum,-135.499373,60.793922
Vaccinium uliginosum,-122.649497,49.349456
Vaccinium uliginosum,-65.75,61.83
Vaccinium uliginosum,-70,66.67
Vaccinium uliginosum,-55.92,52.92
Vaccinium uliginosum,-73.6958,50.7289
Vaccinium uliginosum,-129.747962,64.28019
Vaccinium uliginosum,-123.059,69.192
Vaccinium uliginosum,-89.4001,65.8761
Vaccinium uliginosum,-65.3551,67.563
Vaccinium uliginosum,-66.4252,67.0188
Vaccinium uliginosum,-67.1802,67.6672
Vaccinium uliginosum,-55.7476,51.572395
Vaccinium uliginosum,-113.551369,62.496075
Vaccinium uliginosum,-138.613958,64.418368
Vaccinium uliginosum,-123.570564,72.501258
Vaccinium uliginosum,-89.25,48.75
