SPECIES,longitude,latitude
Vaccinium vitis-idaea,-125.763389,58.923614
Vaccinium vitis-idaea,-69.192736,48.573817
Vaccinium vitis-idaea,-129.100525,59.366566
Vaccinium vitis-idaea,-130.184265,57.530785
Vaccinium vitis-idaea,-125.657554,49.013044
Vaccinium vitis-idaea,-60.019547,45.917198
Vaccinium vitis-idaea,-124.425831,58.65308
Vaccinium vitis-idaea,-125.897179,59.159466
Vaccinium vitis-idaea,-125.711114,58.777661
Vaccinium vitis-idaea,-66.627158,45.148547
Vaccinium vitis-idaea,-122.270394,56.154158
Vaccinium vitis-idaea,-117.385963,52.416809
Vaccinium vitis-idaea,-134.389708,69.661658
Vaccinium vitis-idaea,-92.066815,62.91919
Vaccinium vitis-idaea,-92.19349,62.999827
Vaccinium vitis-idaea,-117.790712,53.47158
Vaccinium vitis-idaea,-111.306313,56.477642
Vaccinium vitis-idaea,-113.217129,55.184149
Vaccinium vitis-idaea,-125.492308,55.735675
Vaccinium vitis-idaea,-78.738443,51.48722
Vaccinium vitis-idaea,-111.436665,56.742368
Vaccinium vitis-idaea,-109.149453,59.870322
Vaccinium vitis-idaea,-113.526195,54.187795
Vaccinium vitis-idaea,-64.769656,45.33766
Vaccinium vitis-idaea,-114.662933,53.708988
Vaccinium vitis-idaea,-139.480575,64.073908
Vaccinium vitis-idaea,-80.651635,51.267687
Vaccinium vitis-idaea,-104.80973,54.189683
Vaccinium vitis-idaea,-115.586776,53.595005
Vaccinium vitis-idaea,-61.354712,45.187326
Vaccinium vitis-idaea,-79.079577,53.974101
Vaccinium vitis-idaea,-63.840635,44.786127
Vaccinium vitis-idaea,-106.284297,53.980927
Vaccinium vitis-idaea,-116.622055,52.079881
Vaccinium vitis-idaea,-98.379737,55.206427
Vaccinium vitis-idaea,-63.349351,45.137901
Vaccinium vitis-idaea,-86.768633,52.026778
Vaccinium vitis-idaea,-91.648797,51.24533
Vaccinium vitis-idaea,-117.885474,52.663714
Vaccinium vitis-idaea,-122.719231,58.812819
Vaccinium vitis-idaea,-101.141412,53.973803
Vaccinium vitis-idaea,-52.832504,47.282668
Vaccinium vitis-idaea,-100.959947,53.989265
Vaccinium vitis-idaea,-70.496285,47.427438
Vaccinium vitis-idaea,-93.868272,58.764008
Vaccinium vitis-idaea,-91.739555,51.125422
Vaccinium vitis-idaea,-69.963105,48.249358
Vaccinium vitis-idaea,-117.120419,53.726482
