SPECIES,longitude,latitude
Viburnum dentatum,-76.447217,44.119964
Viburnum dentatum,-73.850274,45.320226
Viburnum dentatum,-65.207401,44.437457
Viburnum dentatum,-75.672948,45.039285
Viburnum dentatum,-79.385463,43.132538
Viburnum dentatum,-75.649409,45.352851
Viburnum dentatum,-79.05,43.13
Viburnum dentatum,-76.51,44.23
Viburnum dentatum,-75.84586,44.430586
Viburnum dentatum,-75.65229,45.446385
Viburnum dentatum,-74.320675,45.208556
Viburnum dentatum,-67.316667,45.15
Viburnum dentatum,-67.45,45.4
Viburnum dentatum,-76.660131,45.593286
