SPECIES,longitude,latitude
Viburnum edule,-126.179475,54.843361
Viburnum edule,-123.337678,53.690869
Viburnum edule,-128.608397,54.111492
Viburnum edule,-125.895622,59.158909
Viburnum edule,-128.379119,54.597753
Viburnum edule,-125.755325,58.917191
Viburnum edule,-123.188613,49.832339
Viburnum edule,-122.340408,56.143647
Viburnum edule,-60.698742,46.369436
Viburnum edule,-128.789413,53.697929
Viburnum edule,-123.032318,55.063622
Viburnum edule,-103.037366,52.061636
Viburnum edule,-116.020561,51.239917
Viburnum edule,-123.519475,50.693258
Viburnum edule,-122.710128,55.456694
Viburnum edule,-128.362789,53.513884
Viburnum edule,-121.697158,55.811086
Viburnum edule,-120.999832,56.306053
Viburnum edule,-139.113342,64.053222
Viburnum edule,-121.714008,54.024886
Viburnum edule,-117.845086,52.571328
Viburnum edule,-80.63312,51.260512
Viburnum edule,-67.081139,52.79108
Viburnum edule,-119.433949,55.077221
Viburnum edule,-117.660122,53.205644
Viburnum edule,-68.73862,48.361711
Viburnum edule,-58.111755,48.952492
Viburnum edule,-126.466433,53.342329
Viburnum edule,-137.411606,63.557025
Viburnum edule,-75.184188,49.704217
Viburnum edule,-78.809833,47.893083
Viburnum edule,-135.324111,61.891197
Viburnum edule,-116.303694,51.603767
Viburnum edule,-135.463022,61.245483
Viburnum edule,-122.499558,50.367388
Viburnum edule,-134.571217,60.067035
Viburnum edule,-100.005511,50.797656
Viburnum edule,-115.002186,53.601007
Viburnum edule,-111.397904,54.677724
Viburnum edule,-117.546937,53.415805
Viburnum edule,-127.866214,53.991436
Viburnum edule,-118.316679,52.877476
Viburnum edule,-125.356621,56.231896
Viburnum edule,-88.628088,48.355178
Viburnum edule,-116.098031,62.727322
Viburnum edule,-115.93173,50.776769
Viburnum edule,-60.830693,46.817155
Viburnum edule,-106.274195,53.986139
Viburnum edule,-122.940338,54.90655
Viburnum edule,-125.359958,49.094555
Viburnum edule,-81.63975,49.286592
Viburnum edule,-114.452853,49.570584
Viburnum edule,-123.580915,49.47857
Viburnum edule,-122.849964,54.037663
Viburnum edule,-129.633225,61.411597
Viburnum edule,-63.799185,50.213903
Viburnum edule,-106.488531,54.151568
Viburnum edule,-128.779078,60.084978
Viburnum edule,-116.735893,54.808348
Viburnum edule,-129.231095,60.678812
Viburnum edule,-134.965453,62.181337
Viburnum edule,-101.606803,51.660379
Viburnum edule,-125.967533,49.73524
Viburnum edule,-114.026034,53.054877
Viburnum edule,-134.385925,62.197678
Viburnum edule,-117.52671,57.44816
Viburnum edule,-106.694836,53.729589
Viburnum edule,-137.026611,63.503628
Viburnum edule,-123.499268,55.426838
Viburnum edule,-114.783976,50.140346
Viburnum edule,-108.330344,57.514318
Viburnum edule,-138.823396,64.033454
Viburnum edule,-122.671326,54.475437
Viburnum edule,-126.295433,52.243489
Viburnum edule,-120.984039,55.113839
Viburnum edule,-112.424164,54.630568
Viburnum edule,-70.582528,47.762445
Viburnum edule,-69.696933,47.888019
Viburnum edule,-136.99637,61.082225
Viburnum edule,-121.405075,49.014729
Viburnum edule,-114.429971,50.812785
Viburnum edule,-125.261889,49.689095
Viburnum edule,-139.441997,64.083664
Viburnum edule,-114.277394,62.509262
Viburnum edule,-130.000295,55.938536
Viburnum edule,-114.026414,62.588158
Viburnum edule,-135.9236,61.016303
Viburnum edule,-122.431178,52.637225
Viburnum edule,-118.790612,50.896881
Viburnum edule,-136.353653,62.270112
Viburnum edule,-135.712587,62.113975
