SPECIES,longitude,latitude
Viburnum lantana,-79.707651,44.198258
Viburnum lantana,-75.676962,45.34039
Viburnum lantana,-74.729885,45.008514
Viburnum lantana,-79.24067,43.729086
Viburnum lantana,-78.818006,44.531275
Viburnum lantana,-73.854097,45.629099
Viburnum lantana,-78.645452,44.447257
Viburnum lantana,-65.701897,47.709846
Viburnum lantana,-80.200638,43.54653
Viburnum lantana,-79.159673,43.817348
Viburnum lantana,-80.797958,43.208717
Viburnum lantana,-60.401497,46.645563
Viburnum lantana,-79.931488,43.245572
Viburnum lantana,-79.212722,43.241925
Viburnum lantana,-78.876665,43.946327
Viburnum lantana,-80.408293,43.684574
Viburnum lantana,-73.443451,45.460926
Viburnum lantana,-73.588605,45.42849
Viburnum lantana,-76.124022,45.183567
Viburnum lantana,-73.861964,45.438789
Viburnum lantana,-76.276932,44.410954
Viburnum lantana,-78.282891,44.415239
Viburnum lantana,-80.128326,43.926724
Viburnum lantana,-79.467518,44.497112
Viburnum lantana,-78.800003,43.874058
Viburnum lantana,-73.43641,45.59137
Viburnum lantana,-81.617002,44.173818
Viburnum lantana,-71.936858,45.393017
Viburnum lantana,-79.685213,44.424131
Viburnum lantana,-84.352613,46.510253
Viburnum lantana,-79.94015,43.835247
Viburnum lantana,-77.43352,44.143033
Viburnum lantana,-73.7,45.5
Viburnum lantana,-71.214966,46.836416
Viburnum lantana,-79.383317,43.827253
Viburnum lantana,-81.180344,43.041142
Viburnum lantana,-76.684307,44.403831
Viburnum lantana,-77.545061,44.041833
Viburnum lantana,-80.171533,43.179394
Viburnum lantana,-79.216958,43.084136
Viburnum lantana,-73.07131,45.475148
Viburnum lantana,-79.436376,43.943465
Viburnum lantana,-79.5,43.6
Viburnum lantana,-79.52173,43.849483
Viburnum lantana,-83.127567,45.955192
Viburnum lantana,-79.490303,44.596
Viburnum lantana,-76.596312,44.83421
Viburnum lantana,-81.18311,42.749539
Viburnum lantana,-80.149528,43.419395
Viburnum lantana,-79.964722,43.710556
Viburnum lantana,-75.427571,45.557466
Viburnum lantana,-79.604097,43.1917
Viburnum lantana,-57.920793,48.938378
Viburnum lantana,-71.776262,48.398097
Viburnum lantana,-80.590613,43.477825
Viburnum lantana,-79.792988,43.946333
Viburnum lantana,-78.736535,44.341955
Viburnum lantana,-79.860635,43.353946
Viburnum lantana,-80.368297,43.308181
Viburnum lantana,-80.320305,44.494709
Viburnum lantana,-79.830338,43.19051
Viburnum lantana,-80.773473,43.47964
Viburnum lantana,-77.717927,44.05394
Viburnum lantana,-80.466928,43.593047
Viburnum lantana,-76.806679,44.281975
Viburnum lantana,-73.565999,45.563201
Viburnum lantana,-78.31237,44.323678
Viburnum lantana,-79.683205,43.675782
Viburnum lantana,-79.4894,44.121069
Viburnum lantana,-79.355836,43.627657
Viburnum lantana,-63.302476,46.207642
Viburnum lantana,-75.8157,45.323832
Viburnum lantana,-79.670944,43.566478
Viburnum lantana,-79.692603,43.41427
Viburnum lantana,-79.796401,43.743443
Viburnum lantana,-81.005928,43.01009
Viburnum lantana,-80.418395,43.442918
Viburnum lantana,-79.455164,43.684849
Viburnum lantana,-79.95633,45.1085
Viburnum lantana,-75.697005,45.212947
Viburnum lantana,-75.7,45.4333
Viburnum lantana,-75.485214,45.233581
Viburnum lantana,-80.396691,42.5827
Viburnum lantana,-76.357912,45.444184
Viburnum lantana,-80.026978,43.457294
Viburnum lantana,-68.80385,48.34979
