SPECIES,longitude,latitude
Viburnum rafinesqueanum,-94.751625,49.708794
Viburnum rafinesqueanum,-78.047493,44.623117
Viburnum rafinesqueanum,-99.556875,50.682816
Viburnum rafinesqueanum,-98.265973,49.008497
Viburnum rafinesqueanum,-75.127672,45.597702
Viburnum rafinesqueanum,-94.538671,49.794267
Viburnum rafinesqueanum,-96.767067,50.151936
Viburnum rafinesqueanum,-89.464549,48.087616
Viburnum rafinesqueanum,-96.839331,49.37935
Viburnum rafinesqueanum,-96.550214,49.661196
Viburnum rafinesqueanum,-76.91164,44.371123
Viburnum rafinesqueanum,-94.567253,49.603455
Viburnum rafinesqueanum,-96.512603,49.81892
Viburnum rafinesqueanum,-93.550063,48.575436
Viburnum rafinesqueanum,-96.033773,50.11615
Viburnum rafinesqueanum,-76.801356,44.605921
Viburnum rafinesqueanum,-80.188574,42.813967
Viburnum rafinesqueanum,-75.849208,45.470246
Viburnum rafinesqueanum,-97.497864,49.87273
Viburnum rafinesqueanum,-100.260437,51.831512
Viburnum rafinesqueanum,-96.992625,50.706798
Viburnum rafinesqueanum,-93.439605,50.780345
Viburnum rafinesqueanum,-92.73343,48.890485
Viburnum rafinesqueanum,-77.052761,44.870093
Viburnum rafinesqueanum,-77.975169,44.11322
Viburnum rafinesqueanum,-89.749488,48.2448
Viburnum rafinesqueanum,-97.289411,49.862892
Viburnum rafinesqueanum,-97.242423,49.954941
Viburnum rafinesqueanum,-82.915171,45.900436
Viburnum rafinesqueanum,-76.090919,45.494161
Viburnum rafinesqueanum,-80.352449,43.224129
Viburnum rafinesqueanum,-80.151017,43.321888
Viburnum rafinesqueanum,-76.227613,44.909268
Viburnum rafinesqueanum,-76.395672,44.252508
Viburnum rafinesqueanum,-82.632592,41.757617
Viburnum rafinesqueanum,-76.139753,44.445654
Viburnum rafinesqueanum,-93.836021,48.918031
Viburnum rafinesqueanum,-76.943803,44.93361
Viburnum rafinesqueanum,-77.59694,44.291513
Viburnum rafinesqueanum,-78.028847,44.289703
Viburnum rafinesqueanum,-79.137556,44.691672
Viburnum rafinesqueanum,-77.119736,44.560789
Viburnum rafinesqueanum,-76.626288,45.659076
Viburnum rafinesqueanum,-77.063761,45.634507
Viburnum rafinesqueanum,-81.386651,42.955655
Viburnum rafinesqueanum,-93.268486,48.765918
Viburnum rafinesqueanum,-80.568037,42.792392
Viburnum rafinesqueanum,-76.385821,45.335941
Viburnum rafinesqueanum,-95.373872,50.078372
Viburnum rafinesqueanum,-96.5197,50.719055
Viburnum rafinesqueanum,-79.679044,44.883652
Viburnum rafinesqueanum,-98.645112,49.776478
Viburnum rafinesqueanum,-79.667358,44.775925
Viburnum rafinesqueanum,-79.545466,44.832548
Viburnum rafinesqueanum,-96.919403,50.123628
Viburnum rafinesqueanum,-96.000947,50.477962
Viburnum rafinesqueanum,-96.293931,50.081536
Viburnum rafinesqueanum,-95.979737,49.608913
Viburnum rafinesqueanum,-97.080111,49.826988
Viburnum rafinesqueanum,-96.884294,50.006636
Viburnum rafinesqueanum,-97.113752,50.654986
Viburnum rafinesqueanum,-95.24005,50.049167
Viburnum rafinesqueanum,-97.936129,50.860192
Viburnum rafinesqueanum,-98.136659,49.173801
Viburnum rafinesqueanum,-82.45269,45.91877
Viburnum rafinesqueanum,-96.213953,50.349705
Viburnum rafinesqueanum,-79.872925,43.036625
Viburnum rafinesqueanum,-96.541215,50.411103
Viburnum rafinesqueanum,-95.869882,50.160786
Viburnum rafinesqueanum,-96.094314,49.695946
Viburnum rafinesqueanum,-96.239352,50.172637
Viburnum rafinesqueanum,-96.950411,49.260032
Viburnum rafinesqueanum,-96.630796,50.175383
Viburnum rafinesqueanum,-76.098005,44.302574
Viburnum rafinesqueanum,-82.28617,45.961838
Viburnum rafinesqueanum,-75.796739,45.367884
Viburnum rafinesqueanum,-77.801026,44.294555
Viburnum rafinesqueanum,-79.381721,44.850215
Viburnum rafinesqueanum,-76.627617,44.242979
Viburnum rafinesqueanum,-89.602762,48.173634
Viburnum rafinesqueanum,-81.759399,42.561938
Viburnum rafinesqueanum,-79.722523,43.079477
Viburnum rafinesqueanum,-80.361785,43.320849
Viburnum rafinesqueanum,-94.163292,48.882075
Viburnum rafinesqueanum,-79.342859,42.888028
Viburnum rafinesqueanum,-96.121866,50.257202
Viburnum rafinesqueanum,-95.892131,49.045244
Viburnum rafinesqueanum,-81.816272,43.106911
Viburnum rafinesqueanum,-95.526874,49.914077
Viburnum rafinesqueanum,-89.589749,48.664388
Viburnum rafinesqueanum,-99.981041,49.036498
Viburnum rafinesqueanum,-76.77554,45.262642
Viburnum rafinesqueanum,-76.987558,43.905127
Viburnum rafinesqueanum,-82.514113,41.926822
Viburnum rafinesqueanum,-97.034168,50.490569
Viburnum rafinesqueanum,-96.559352,50.524769
Viburnum rafinesqueanum,-94.696461,48.826165
Viburnum rafinesqueanum,-81.897522,43.223422
Viburnum rafinesqueanum,-92.669962,48.760687
Viburnum rafinesqueanum,-79.634573,42.911434
Viburnum rafinesqueanum,-89.496046,48.331128
Viburnum rafinesqueanum,-93.282778,48.665278
Viburnum rafinesqueanum,-76.791969,44.337097
Viburnum rafinesqueanum,-77.671771,44.464668
Viburnum rafinesqueanum,-76.204415,45.277237
Viburnum rafinesqueanum,-79.72767,43.45493
Viburnum rafinesqueanum,-76.594787,45.571015
Viburnum rafinesqueanum,-77.316302,44.380457
Viburnum rafinesqueanum,-77.301392,44.479586
Viburnum rafinesqueanum,-80.33872,42.700644
Viburnum rafinesqueanum,-80.284807,43.395866
Viburnum rafinesqueanum,-95.617723,50.113394
Viburnum rafinesqueanum,-79.494163,43.705788
Viburnum rafinesqueanum,-95.243524,49.735188
Viburnum rafinesqueanum,-78.218697,44.500777
Viburnum rafinesqueanum,-94.272359,49.1289
Viburnum rafinesqueanum,-79.155559,43.772827
Viburnum rafinesqueanum,-76.396977,44.580629
Viburnum rafinesqueanum,-79.51166,44.944113
Viburnum rafinesqueanum,-81.650518,43.161195
Viburnum rafinesqueanum,-82.832889,42.041194
Viburnum rafinesqueanum,-76.924807,45.884599
Viburnum rafinesqueanum,-81.411562,45.185495
Viburnum rafinesqueanum,-78.090613,44.171151
Viburnum rafinesqueanum,-81.790716,42.663068
Viburnum rafinesqueanum,-94.334361,49.639539
Viburnum rafinesqueanum,-78.354788,44.660008
Viburnum rafinesqueanum,-80.12312,43.413044
Viburnum rafinesqueanum,-76.867414,43.946572
Viburnum rafinesqueanum,-81.109424,44.895609
Viburnum rafinesqueanum,-77.130372,44.004072
Viburnum rafinesqueanum,-79.001403,44.792892
Viburnum rafinesqueanum,-80.898035,44.778991
Viburnum rafinesqueanum,-79.008636,44.631778
Viburnum rafinesqueanum,-76.440325,44.440281
Viburnum rafinesqueanum,-95.328469,49.834566
Viburnum rafinesqueanum,-80.205869,43.196178
Viburnum rafinesqueanum,-75.996572,44.494528
Viburnum rafinesqueanum,-89.624003,48.400274
Viburnum rafinesqueanum,-96.568055,50.256728
Viburnum rafinesqueanum,-81.675842,45.829273
Viburnum rafinesqueanum,-76.988362,44.590626
Viburnum rafinesqueanum,-97.419045,50.483525
Viburnum rafinesqueanum,-78.495545,44.540788
Viburnum rafinesqueanum,-78.965054,42.905639
Viburnum rafinesqueanum,-76.527114,44.56355
Viburnum rafinesqueanum,-96.042289,50.571353
Viburnum rafinesqueanum,-78.171179,44.095172
Viburnum rafinesqueanum,-82.753375,45.792515
Viburnum rafinesqueanum,-76.778748,45.776668
Viburnum rafinesqueanum,-78.099442,44.540108
Viburnum rafinesqueanum,-75.574934,45.47066
Viburnum rafinesqueanum,-80.106457,43.87361
Viburnum rafinesqueanum,-79.943128,42.94854
Viburnum rafinesqueanum,-97.631297,51.182404
Viburnum rafinesqueanum,-78.887737,44.860812
Viburnum rafinesqueanum,-81.294942,45.23858
Viburnum rafinesqueanum,-76.238907,44.765342
Viburnum rafinesqueanum,-81.783083,43.279655
Viburnum rafinesqueanum,-82.397778,42.670468
Viburnum rafinesqueanum,-76.359506,45.443763
Viburnum rafinesqueanum,-76.086958,45.376974
Viburnum rafinesqueanum,-76.65782,45.174024
Viburnum rafinesqueanum,-76.21851,45.483123
Viburnum rafinesqueanum,-79.835415,44.756111
Viburnum rafinesqueanum,-77.448742,44.421751
Viburnum rafinesqueanum,-76.398345,44.683883
