SPECIES,longitude,latitude
Viburnum rafinesquianum,-96.735583,49.077944
Viburnum rafinesquianum,-76.683333,45.466667
Viburnum rafinesquianum,-97,51
Viburnum rafinesquianum,-79.372873,43.680722
Viburnum rafinesquianum,-76.455273,44.524317
Viburnum rafinesquianum,-79.815556,44.833056
Viburnum rafinesquianum,-80.264199,43.416684
Viburnum rafinesquianum,-79.044324,43.142764
Viburnum rafinesquianum,-79.777376,43.434624
Viburnum rafinesquianum,-79.268333,43.118611
Viburnum rafinesquianum,-79.521036,43.699508
Viburnum rafinesquianum,-79.80561,43.893888
Viburnum rafinesquianum,-79.460992,44.853697
Viburnum rafinesquianum,-79.15,43.8
Viburnum rafinesquianum,-81.25,42.983333
Viburnum rafinesquianum,-77.106834,45.619694
Viburnum rafinesquianum,-76.452656,44.226642
Viburnum rafinesquianum,-76.700361,44.682724
Viburnum rafinesquianum,-79.649283,42.881386
Viburnum rafinesquianum,-76.859642,44.095457
Viburnum rafinesquianum,-81.756738,43.312264
Viburnum rafinesquianum,-77.507512,44.12059
Viburnum rafinesquianum,-81.866667,42.283333
Viburnum rafinesquianum,-76.1875,44.304167
Viburnum rafinesquianum,-79.8908,43.335393
Viburnum rafinesquianum,-79.840714,43.243623
Viburnum rafinesquianum,-77.059475,44.04172
Viburnum rafinesquianum,-77.384063,44.163527
Viburnum rafinesquianum,-76.900445,43.932344
Viburnum rafinesquianum,-80.983982,42.771891
Viburnum rafinesquianum,-79.40506,44.015534
Viburnum rafinesquianum,-94.6833,48.8
Viburnum rafinesquianum,-77.9833,45.5333
Viburnum rafinesquianum,-92.3667,49.8667
Viburnum rafinesquianum,-77.8333,45.0833
Viburnum rafinesquianum,-81.35,45.1667
Viburnum rafinesquianum,-77.7833,45.7167
Viburnum rafinesquianum,-93.2333,48.7
Viburnum rafinesquianum,-79.5833,48.95
Viburnum rafinesquianum,-77.0167,45.5167
Viburnum rafinesquianum,-76.4,44.6833
Viburnum rafinesquianum,-75.55,44.7
Viburnum rafinesquianum,-77.1167,44.55
Viburnum rafinesquianum,-76.3333,45.3
Viburnum rafinesquianum,-76.6667,45.6667
Viburnum rafinesquianum,-77.125,45.1736
Viburnum rafinesquianum,-76.25,45.4333
Viburnum rafinesquianum,-98.75,51.7
Viburnum rafinesquianum,-91.9,49.9667
Viburnum rafinesquianum,-75.5667,45.4667
Viburnum rafinesquianum,-76.4389,45.3792
Viburnum rafinesquianum,-89.5833,48.3667
Viburnum rafinesquianum,-76.8,45.9
Viburnum rafinesquianum,-79.05,44.65
Viburnum rafinesquianum,-93.8167,49.1667
Viburnum rafinesquianum,-94.5667,49.7167
Viburnum rafinesquianum,-77.4,45.6167
Viburnum rafinesquianum,-81.8,43.1167
Viburnum rafinesquianum,-96.05725,49.030722
Viburnum rafinesquianum,-98.093889,49.063306
Viburnum rafinesquianum,-96.266667,49.103611
Viburnum rafinesquianum,-97.49624385,50.50089916
Viburnum rafinesquianum,-96.513861,50.227331
Viburnum rafinesquianum,-97.58644932,50.74230004
Viburnum rafinesquianum,-97.16689308,49.79989749
Viburnum rafinesquianum,-99.24058466,50.94989395
Viburnum rafinesquianum,-96.21720194,50.56690455
Viburnum rafinesquianum,-100.2503393,50.88288879
Viburnum rafinesquianum,-96.582556,50.582
Viburnum rafinesquianum,-96.98022812,50.64351298
Viburnum rafinesquianum,-96.833333,51.166667
Viburnum rafinesquianum,-98.00026969,51.35379095
Viburnum rafinesquianum,-95.63933642,49.03517909
Viburnum rafinesquianum,-99.6186501,50.76878018
Viburnum rafinesquianum,-95.196667,49.625278
Viburnum rafinesquianum,-97.316667,51.166667
Viburnum rafinesquianum,-98.13664055,49.17711361
Viburnum rafinesquianum,-99.54111254,50.59679065
Viburnum rafinesquianum,-97.26422814,49.68289669
Viburnum rafinesquianum,-95.58317636,50.06690458
Viburnum rafinesquianum,-96.15019438,49.98590216
Viburnum rafinesquianum,-75.944722,45.416233
Viburnum rafinesquianum,-75.816812,45.38207
Viburnum rafinesquianum,-80.996129,43.366662
Viburnum rafinesquianum,-89.50782,48.08123
Viburnum rafinesquianum,-88.301303,49.562677
Viburnum rafinesquianum,-91.625521,48.757169
Viburnum rafinesquianum,-76.624613,44.26827
Viburnum rafinesquianum,-80.466667,42.65
Viburnum rafinesquianum,-73.1667,45.3333
Viburnum rafinesquianum,-81.214739,42.664675
Viburnum rafinesquianum,-82.739099,42.036503
Viburnum rafinesquianum,-80.054456,43.344571
Viburnum rafinesquianum,-72.213363,47.366223
Viburnum rafinesquianum,-75.690712,44.602214
Viburnum rafinesquianum,-75.70732,45.45264
