SPECIES,longitude,latitude
Vitis aestivalis,-79.031897,44.680187
Vitis aestivalis,-81.969914,43.205558
Vitis aestivalis,-80.010274,44.851454
Vitis aestivalis,-79.611266,44.325892
Vitis aestivalis,-79.403274,44.411413
Vitis aestivalis,-82.389999,42.990002
Vitis aestivalis,-80.337925,43.255156
Vitis aestivalis,-75.649985,45.526535
Vitis aestivalis,-75.785993,45.4242
Vitis aestivalis,-80.062041,42.456448
Vitis aestivalis,-81.847139,42.263214
Vitis aestivalis,-77.509421,44.496662
Vitis aestivalis,-76.032222,44.506667
Vitis aestivalis,-80.07718,43.414174
Vitis aestivalis,-78.30048,44.312139
Vitis aestivalis,-81.063212,42.888554
Vitis aestivalis,-80.502392,43.460167
Vitis aestivalis,-82.014433,42.437777
Vitis aestivalis,-75.648953,45.345253
Vitis aestivalis,-74.358952,45.139988
Vitis aestivalis,-79.48552,43.7047
Vitis aestivalis,-80.336143,42.643014
Vitis aestivalis,-80.246992,43.696108
Vitis aestivalis,-80.419782,43.390026
Vitis aestivalis,-76.148,44.843332
Vitis aestivalis,-79.133611,43.778056
Vitis aestivalis,-80.317215,42.940231
Vitis aestivalis,-76.432082,44.351938
Vitis aestivalis,-80.479553,42.682497
Vitis aestivalis,-79.492547,44.121608
Vitis aestivalis,-81.798624,43.274202
Vitis aestivalis,-79.676414,43.555111
Vitis aestivalis,-81.786001,42.728893
Vitis aestivalis,-77.998725,44.106603
Vitis aestivalis,-81.85,42.533333
Vitis aestivalis,-82.6667,41.7833
Vitis aestivalis,-79.9333,43.2167
Vitis aestivalis,-82.1,42.0833
Vitis aestivalis,-82.7667,42.0167
Vitis aestivalis,-83.0167,42.3
Vitis aestivalis,-80.605976,42.734688
Vitis aestivalis,-80.156238,42.548972
Vitis aestivalis,-79.87363,43.296335
Vitis aestivalis,-81.818662,42.64223
Vitis aestivalis,-75.87846,44.47735
Vitis aestivalis,-77.905556,43.795555
