SPECIES,longitude,latitude
Vitis riparia,-79.889865,43.409921
Vitis riparia,-78.857452,44.491058
Vitis riparia,-75.633177,45.441068
Vitis riparia,-73.620655,45.743401
Vitis riparia,-80.475106,42.660603
Vitis riparia,-79.796237,43.301267
Vitis riparia,-80.829042,44.234397
Vitis riparia,-81.745895,44.063197
Vitis riparia,-75.973056,44.752222
Vitis riparia,-76.284538,44.228882
Vitis riparia,-79.295463,42.909963
Vitis riparia,-78.652548,44.779253
Vitis riparia,-78.766442,44.406369
Vitis riparia,-75.635166,45.168939
Vitis riparia,-80.424265,43.510503
Vitis riparia,-79.616706,43.649588
Vitis riparia,-76.591942,44.278738
Vitis riparia,-75.843855,45.076078
Vitis riparia,-78.855117,44.614722
Vitis riparia,-79.931717,44.59367
Vitis riparia,-76.033127,44.511436
Vitis riparia,-73.8697,45.67527
Vitis riparia,-76.201317,44.864658
Vitis riparia,-76.914881,44.573957
Vitis riparia,-75.766457,44.990616
Vitis riparia,-96.987349,50.715325
Vitis riparia,-79.213908,44.446053
Vitis riparia,-80.167356,44.149217
Vitis riparia,-73.161018,45.432499
Vitis riparia,-76.235375,44.95933
Vitis riparia,-76.383747,45.139121
Vitis riparia,-80.239837,42.561731
Vitis riparia,-76.618135,44.921805
Vitis riparia,-74.766774,45.015906
Vitis riparia,-94.607198,48.930513
Vitis riparia,-78.588577,43.8992
Vitis riparia,-79.950022,43.858137
Vitis riparia,-79.104889,44.642678
Vitis riparia,-79.449858,43.930395
Vitis riparia,-78.04985,44.011829
Vitis riparia,-79.277314,43.200173
Vitis riparia,-80.049567,42.424279
Vitis riparia,-78.001661,44.355878
Vitis riparia,-79.917821,44.243782
Vitis riparia,-79.491351,44.119993
Vitis riparia,-76.942086,44.254672
Vitis riparia,-80.558268,44.560139
Vitis riparia,-78.298217,44.945478
Vitis riparia,-80.831047,44.418578
Vitis riparia,-81.002464,44.08009
Vitis riparia,-80.738267,43.093017
Vitis riparia,-78.318763,44.180375
Vitis riparia,-79.933622,43.149006
Vitis riparia,-80.84014,42.670334
Vitis riparia,-75.930616,45.252395
Vitis riparia,-82.74354,42.060286
Vitis riparia,-76.264997,45.176347
Vitis riparia,-81.929425,42.622952
Vitis riparia,-73.659373,45.603285
Vitis riparia,-99.563533,49.666064
Vitis riparia,-76.138041,44.44472
Vitis riparia,-81.111975,44.753136
Vitis riparia,-73.431572,45.576814
Vitis riparia,-76.014839,44.889202
Vitis riparia,-78.44356,44.478937
Vitis riparia,-76.430924,44.856498
Vitis riparia,-72.728947,46.145514
Vitis riparia,-66.594933,45.978409
Vitis riparia,-78.832209,44.195335
Vitis riparia,-64.57901,45.817315
Vitis riparia,-74.406533,45.552567
Vitis riparia,-80.078288,44.054462
Vitis riparia,-79.45224,44.585893
Vitis riparia,-76.108011,44.951053
Vitis riparia,-80.145833,43.307222
Vitis riparia,-67.580473,46.145543
Vitis riparia,-73.996486,45.493542
Vitis riparia,-67.70017,46.200274
Vitis riparia,-94.457748,48.977959
Vitis riparia,-81.046871,42.736749
Vitis riparia,-80.23209,43.17915
Vitis riparia,-75.833416,45.41092
Vitis riparia,-80.317878,43.071689
Vitis riparia,-75.200333,45.045536
Vitis riparia,-78.29998,44.576967
Vitis riparia,-81.590302,44.294655
Vitis riparia,-79.380505,43.132798
Vitis riparia,-77.832017,44.83485
Vitis riparia,-79.41102,43.826837
Vitis riparia,-80.774506,43.480769
Vitis riparia,-75.699822,45.338867
Vitis riparia,-78.129469,44.281505
Vitis riparia,-77.463859,44.349554
Vitis riparia,-75.840518,44.904682
Vitis riparia,-82.336667,42.996111
Vitis riparia,-78.595785,45.550973
Vitis riparia,-80.376503,42.578388
Vitis riparia,-81.833361,42.791231
Vitis riparia,-80.00128,44.822286
Vitis riparia,-99.272722,49.662128
Vitis riparia,-79.071006,43.094963
Vitis riparia,-77.28958,43.909912
Vitis riparia,-77.457536,44.177678
Vitis riparia,-75.036806,44.9625
Vitis riparia,-81.376413,44.497292
Vitis riparia,-80.276122,43.530403
Vitis riparia,-76.434286,44.433423
Vitis riparia,-81.140642,44.596488
Vitis riparia,-81.676103,43.566045
Vitis riparia,-80.170012,43.003696
Vitis riparia,-79.956981,42.810791
Vitis riparia,-81.705087,43.669603
Vitis riparia,-80.331696,43.255425
Vitis riparia,-97.034049,49.959346
Vitis riparia,-81.3246,42.674112
Vitis riparia,-73.57678,45.064212
Vitis riparia,-82.419605,42.91099
Vitis riparia,-79.743981,43.455284
Vitis riparia,-80.306887,42.938403
Vitis riparia,-79.117184,43.795269
Vitis riparia,-78.454597,44.009656
Vitis riparia,-79.464072,44.22907
Vitis riparia,-78.969387,42.885215
Vitis riparia,-81.086246,44.28785
Vitis riparia,-79.709348,44.9132
Vitis riparia,-76.710638,44.465176
Vitis riparia,-76.522091,44.161323
Vitis riparia,-74.691288,45.533301
Vitis riparia,-80.426649,42.748016
Vitis riparia,-75.817938,44.490834
Vitis riparia,-79.214506,43.727718
Vitis riparia,-73.800826,45.252849
Vitis riparia,-80.966132,44.601769
Vitis riparia,-79.008207,44.741638
Vitis riparia,-76.389169,44.549089
Vitis riparia,-79.321902,45.023814
Vitis riparia,-81.620712,44.201
Vitis riparia,-73.760972,45.391571
Vitis riparia,-79.678448,44.333164
Vitis riparia,-80.039507,44.727562
Vitis riparia,-81.806342,42.662697
Vitis riparia,-97.465887,49.862273
Vitis riparia,-72.695396,45.407329
Vitis riparia,-72.341091,46.535022
Vitis riparia,-81.139427,43.256382
Vitis riparia,-73.583763,45.502533
Vitis riparia,-81.961861,42.385105
Vitis riparia,-71.634062,46.691807
Vitis riparia,-77.083146,43.869316
Vitis riparia,-100.545331,49.724591
Vitis riparia,-79.148195,43.165755
Vitis riparia,-82.965699,42.315194
Vitis riparia,-79.226764,43.93728
Vitis riparia,-77.70515,43.989017
Vitis riparia,-79.684672,44.422964
Vitis riparia,-76.179173,45.269935
Vitis riparia,-73.290246,45.439163
Vitis riparia,-73.70348,45.14639
Vitis riparia,-78.53335,44.605147
Vitis riparia,-83.074905,42.264802
Vitis riparia,-80.632888,43.445903
Vitis riparia,-80.130841,43.113198
Vitis riparia,-80.202429,44.281853
Vitis riparia,-80.326683,43.358844
Vitis riparia,-80.31993,42.840397
Vitis riparia,-73.434643,45.431255
Vitis riparia,-73.983331,45.124984
Vitis riparia,-75.700367,45.082008
Vitis riparia,-81.218513,42.778305
Vitis riparia,-81.672467,42.564394
Vitis riparia,-70.886855,47.042718
Vitis riparia,-79.81578,44.301267
Vitis riparia,-66.350535,45.886547
Vitis riparia,-73.491266,45.690879
Vitis riparia,-78.462168,44.150583
Vitis riparia,-72.035382,46.589601
Vitis riparia,-81.787836,43.276726
Vitis riparia,-78.156181,44.371781
Vitis riparia,-79.190525,44.261249
Vitis riparia,-77.554605,44.102674
Vitis riparia,-82.615145,42.032522
Vitis riparia,-83.946063,46.061976
Vitis riparia,-76.297008,44.385241
Vitis riparia,-97.133139,49.794357
Vitis riparia,-82.337342,42.76433
Vitis riparia,-76.694178,44.217512
Vitis riparia,-79.969867,43.251524
Vitis riparia,-77.525808,43.958747
Vitis riparia,-77.339061,44.301858
Vitis riparia,-81.075908,42.989728
Vitis riparia,-81.844167,42.322614
Vitis riparia,-79.597439,43.824767
Vitis riparia,-78.776731,43.870676
Vitis riparia,-77.156452,43.999506
Vitis riparia,-80.056327,42.546743
Vitis riparia,-78.948683,44.109725
Vitis riparia,-78.20988,44.066169
Vitis riparia,-81.531565,43.156092
Vitis riparia,-78.347817,44.383623
Vitis riparia,-78.255672,44.267971
Vitis riparia,-76.253667,44.76694
Vitis riparia,-75.486204,45.085944
Vitis riparia,-80.513105,46.508592
Vitis riparia,-80.843023,44.061928
Vitis riparia,-63.622238,44.646125
Vitis riparia,-78.685985,44.592729
Vitis riparia,-75.19,44.9
Vitis riparia,-67.473574,46.037701
Vitis riparia,-77.007819,43.99929
Vitis riparia,-80.695733,44.535163
Vitis riparia,-76.742037,44.561828
Vitis riparia,-81.90518,43.216522
Vitis riparia,-80.007762,43.768407
Vitis riparia,-81.44468,44.410092
Vitis riparia,-76.223678,45.47638
Vitis riparia,-74.291362,45.438263
Vitis riparia,-78.48117,44.250747
Vitis riparia,-76.388435,44.141236
Vitis riparia,-80.24752,43.695763
Vitis riparia,-80.533956,42.576183
Vitis riparia,-97.195587,49.887037
Vitis riparia,-76.417601,44.241993
Vitis riparia,-78.132133,44.620403
Vitis riparia,-79.40927,44.695305
Vitis riparia,-78.876914,43.946502
Vitis riparia,-73.300326,45.540342
Vitis riparia,-73.616077,46.03166
Vitis riparia,-81.307104,44.172949
Vitis riparia,-79.772778,43.886389
Vitis riparia,-75.263517,45.15418
Vitis riparia,-74.870986,45.489193
Vitis riparia,-76.116303,45.057278
Vitis riparia,-79.76,43.7
Vitis riparia,-76.376312,45.335486
Vitis riparia,-76.505022,45.092424
Vitis riparia,-77.87754,44.423347
Vitis riparia,-75.499114,45.501028
Vitis riparia,-79.466738,43.633971
Vitis riparia,-75.184184,45.444786
Vitis riparia,-77.281517,45.587769
Vitis riparia,-74.462619,45.351671
Vitis riparia,-66.821372,45.967514
Vitis riparia,-75.819428,45.170355
Vitis riparia,-80.615774,43.582607
Vitis riparia,-73.71829,45.50448
Vitis riparia,-80.958086,42.9118
Vitis riparia,-79.179965,44.54732
Vitis riparia,-75.94828,45.344963
Vitis riparia,-76.045784,45.200932
Vitis riparia,-80.237072,44.386578
Vitis riparia,-80.714065,43.709836
Vitis riparia,-74.221349,45.092601
Vitis riparia,-79.00386,43.857117
Vitis riparia,-78.775567,44.285375
Vitis riparia,-79.666808,43.224265
Vitis riparia,-79.496511,43.189281
Vitis riparia,-75.718125,44.620011
Vitis riparia,-79.608733,43.516297
Vitis riparia,-81.277273,44.728617
Vitis riparia,-82.848658,41.996572
Vitis riparia,-96.450486,50.183358
Vitis riparia,-80.4383,43.966386
Vitis riparia,-75.791967,45.274458
Vitis riparia,-81.721692,43.801048
Vitis riparia,-79.462311,44.490363
Vitis riparia,-76.719165,44.125654
Vitis riparia,-75.699792,44.845182
Vitis riparia,-74.616204,45.096508
Vitis riparia,-80.338967,44.532467
Vitis riparia,-80.790389,44.596751
Vitis riparia,-79.576363,44.651445
Vitis riparia,-80.199408,44.49942
Vitis riparia,-74.655057,45.646721
Vitis riparia,-75.352842,45.52394
Vitis riparia,-80.463071,43.409292
Vitis riparia,-76.855453,44.461953
Vitis riparia,-79.898109,44.153435
Vitis riparia,-80.043423,44.480023
Vitis riparia,-77.243857,45.884658
Vitis riparia,-79.053018,44.546648
Vitis riparia,-79.885094,44.743454
Vitis riparia,-83.938378,46.575488
Vitis riparia,-79.345817,44.100178
Vitis riparia,-96.497892,50.297106
Vitis riparia,-81.098412,46.549978
Vitis riparia,-81.016162,46.457186
Vitis riparia,-80.195105,45.362395
Vitis riparia,-80.140506,43.640725
Vitis riparia,-77.721324,44.172453
Vitis riparia,-76.208947,44.315053
Vitis riparia,-78.224771,44.499954
Vitis riparia,-81.33255,42.828959
Vitis riparia,-71.93,45.394078
Vitis riparia,-76.838487,44.156375
Vitis riparia,-76.590002,43.927043
Vitis riparia,-77.916017,44.077386
Vitis riparia,-80.643428,43.229033
Vitis riparia,-79.806548,43.206185
Vitis riparia,-79.944428,44.040558
Vitis riparia,-67.600955,46.460009
Vitis riparia,-76.081609,45.486961
Vitis riparia,-80.025395,42.963022
Vitis riparia,-73.601784,45.255491
Vitis riparia,-81.323588,42.942122
Vitis riparia,-75.484348,45.245615
Vitis riparia,-94.054194,48.620135
Vitis riparia,-75.796478,45.531009
Vitis riparia,-81.263487,43.041343
Vitis riparia,-76.085282,45.591649
Vitis riparia,-77.1127,45.82023
Vitis riparia,-77.318504,44.484753
Vitis riparia,-75.505365,45.365529
Vitis riparia,-76.57154,45.405041
Vitis riparia,-73.958187,45.332694
Vitis riparia,-77.798478,44.29318
Vitis riparia,-81.427216,42.891926
Vitis riparia,-81.418761,42.757826
Vitis riparia,-79.95923,43.53352
Vitis riparia,-80.99426,44.790601
Vitis riparia,-82.255965,45.904652
Vitis riparia,-80.330587,42.676943
Vitis riparia,-79.997831,44.913511
Vitis riparia,-78.163843,44.192296
Vitis riparia,-79.357498,43.694168
Vitis riparia,-79.776786,43.576644
Vitis riparia,-82.066667,42.266667
Vitis riparia,-81.170134,42.663
Vitis riparia,-71.023888,45.631111
Vitis riparia,-82.509811,41.916961
Vitis riparia,-73.157128,45.536358
Vitis riparia,-80.103722,43.41795
Vitis riparia,-82.687366,41.682201
Vitis riparia,-72.5814,46.3362
Vitis riparia,-81.023569,43.200296
Vitis riparia,-96.872947,50.131778
Vitis riparia,-78.53397,44.336068
Vitis riparia,-78.357904,45.58399
Vitis riparia,-76.580088,44.506163
Vitis riparia,-79.324336,44.335308
Vitis riparia,-76.480915,44.98521
Vitis riparia,-74.69224,45.268114
Vitis riparia,-78.988417,44.872208
Vitis riparia,-76.758987,44.375847
Vitis riparia,-79.8833,43.65
Vitis riparia,-79.85,44.8667
Vitis riparia,-72.166992,45.308783
Vitis riparia,-75.623946,45.262159
Vitis riparia,-83.114277,42.107418
Vitis riparia,-99.09728805,49.7008889
Vitis riparia,-96.562778,50.702222
Vitis riparia,-80.463245,44.416802
Vitis riparia,-66.085083,45.511097
Vitis riparia,-93.441007,50.763679
Vitis riparia,-71.632247,45.422384
Vitis riparia,-75.4356,44.900693
Vitis riparia,-98.238889,49.792222
Vitis riparia,-80.489788,44.308756
Vitis riparia,-75.263366,45.263322
Vitis riparia,-78.043431,44.12507
Vitis riparia,-76.065829,44.351198
Vitis riparia,-79.519561,42.990248
Vitis riparia,-96.99028,49.441944
Vitis riparia,-79.421575,44.021492
Vitis riparia,-80.063743,44.323064
Vitis riparia,-72.193333,45.043056
Vitis riparia,-75.1,45.6
Vitis riparia,-72.177,46.21
Vitis riparia,-74.296339,45.975115
Vitis riparia,-74.183333,45.283333
Vitis riparia,-72.2,46.5
Vitis riparia,-71.188,46.809
Vitis riparia,-70.919,46.876
Vitis riparia,-72.022162,46.697298
Vitis riparia,-74.116667,45.45
Vitis riparia,-76.360179,45.441432
Vitis riparia,-75.377787,45.31108
Vitis riparia,-73.845556,45.543611
Vitis riparia,-80.934407,43.499645
Vitis riparia,-82.900344,45.84425
Vitis riparia,-71.333333,46.746389
Vitis riparia,-70.6675,47.0275
Vitis riparia,-67.033333,45.916667
Vitis riparia,-74.331389,45.196667
Vitis riparia,-67.723932,46.805933
Vitis riparia,-72.500447,45.881325
Vitis riparia,-73.13531,45.06146
